Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"117218, Москва г, пр-кт. Нахимовский, д. 38",42c54155-cb1f-4f1b-b919-2d13ba2fd35c,42c54155-cb1f-4f1b-b919-2d13ba2fd35c,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,12142.7,4914.8,-,нет,-,,,,,77:06:0004002:1008,2d24af68-7be7-443f-b383-23fd8bbe0e2c,,,37.5669929,55.67744099999999,14,POINT (37.5669929 55.67744099999999)
"117218, Москва г, пр-кт. Нахимовский, д. 40",bb426962-17c3-4e8c-b401-c05317927ca2,640f77d6-72e3-4c26-9485-b2913d97cb19,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,6198.8,4859.3,-,нет,-,,,,,77:06:0004001:1030,f6d48930-80a1-450a-87bc-109f02580648,,,37.565941,55.67735500000001,14,POINT (37.565941 55.67735500000001)
"117218, Москва г, пр-кт. Нахимовский, д. 42",55eebf10-ef16-4631-b3b7-59f212dc5eb2,55eebf10-ef16-4631-b3b7-59f212dc5eb2,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,6198.8,4846.6,-,нет,-,,,,,77:06:0004001:1030,76e65d60-0f82-4b87-9933-22348d6441f5,,,37.56445679999999,55.677857,14,POINT (37.56445679999999 55.677857)
"117218, Москва г, ул. Большая Черёмушкинская, д. 25, корп. 2",119fe587-e01b-4ac0-86f5-adee827e3d58,119fe587-e01b-4ac0-86f5-adee827e3d58,45903000,ТСЖ,1087746149974.0,772701001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""БОЛЬШАЯ ЧЕРЕМУШКИНСКАЯ. Д.25, К.1-5""",Многоквартирный,Исправный,607.0,556,-,-,-,,,,,нет,1e794deb-c850-42cf-9577-a92711d51050,,,37.582814,55.677667,14,POINT (37.582814 55.677667)
"117218, Москва г, ул. Кржижановского, д. 27",76f5d6ae-a3c2-4348-90bf-b9d5d863caae,76f5d6ae-a3c2-4348-90bf-b9d5d863caae,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,10793.0,10469,-,-,-,,,,,77:06:0004003:1000,03036f6c-1d02-41d7-9e17-edb359e6cdac,,,37.580304,55.676604,14,POINT (37.580304 55.676604)
"117218, Москва г, ул. Профсоюзная, д. 17, корп. 3",e708ee1f-7468-470e-95c2-a2a050659a1f,e708ee1f-7468-470e-95c2-a2a050659a1f,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,2438.9,1909,-,нет,-,,,,,77:06:0004001:1011,c87f243e-c83d-48a3-bcc3-7dc4ea9e3e88,,,37.565705,55.678097,14,POINT (37.565705 55.678097)
"117218, Москва г, ул. Профсоюзная, д. 19",2a4575fe-eeb4-4484-ac80-ed16f7f8ae5f,2a4575fe-eeb4-4484-ac80-ed16f7f8ae5f,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,6294.0,4747.2,-,нет,-,,,,,77:06:0004001:1012,3cce9dcf-b3e3-41f1-888a-c8bfaf5806a5,,,37.564241,55.67849099999999,14,POINT (37.564241 55.67849099999999)
"117292, Москва г, пр-кт. 60-летия Октября, д. 10/1",fa844609-84ef-4f05-8414-74b25c56fce1,fa844609-84ef-4f05-8414-74b25c56fce1,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,3448.0,2652.3,-,нет,-,,,,,77:06:0002007:1011,78b3456a-45ef-4655-9ea0-ea8eb6d3ee2a,,,37.575026,55.692282,14,POINT (37.575026 55.692282)
"117292, Москва г, пр-кт. 60-летия Октября, д. 12",6793bac3-20b7-4e42-b53a-73dc9be6c309,6793bac3-20b7-4e42-b53a-73dc9be6c309,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,3456.7,2644.2,-,нет,-,,,,,77:06:0002007:1012,35ad18d4-5f11-49e1-a3dd-bf5fdeaea14c,,,37.5750712,55.692144,14,POINT (37.5750712 55.692144)
"117292, Москва г, пр-кт. 60-летия Октября, д. 14",c55b1076-d005-4c06-8a12-c30c57172e0f,c55b1076-d005-4c06-8a12-c30c57172e0f,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,4093.5,3368.7,-,нет,-,,,,,77:06:0002007:1013,19103aee-c989-4d33-b16a-936ffe9bc644,,,37.574776,55.691443,14,POINT (37.574776 55.691443)
"117292, Москва г, пр-кт. 60-летия Октября, д. 16, корп. 1",7f78f929-ef62-4ed4-9e70-c9499a617dee,7f78f929-ef62-4ed4-9e70-c9499a617dee,45397000,УО,1137746572303.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АКАДЕМИЧЕСКИЙ""",Многоквартирный,Исправный,4034.1,3401.6,-,нет,-,,,,,77:06:0002007:1014,adc46ceb-83ec-4031-ad6b-289c479f5f9d,,,37.5745154,55.6906234,14,POINT (37.5745154 55.6906234)
