Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"129164, Москва г, б-р. Ракетный, д. 10",fe6063da-066f-4480-88a3-549184cec131,fe6063da-066f-4480-88a3-549184cec131,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2549.3,2550.0,-,-,-,,,,,77:02:0023007:1010,12a4919d-358a-4216-8b65-34d18a999d2e,,,37.6523229,55.8174783,84,POINT (37.6523229 55.8174783)
"129164, Москва г, б-р. Ракетный, д. 12",ca6e6cac-0071-4708-9a73-da263101a573,ca6e6cac-0071-4708-9a73-da263101a573,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2578.3,2578.0,-,-,-,,,,,77:02:0023007:1011,47ae6e55-2fc9-448f-9f17-99e2ac2a52ec,,,37.6532133,55.8174644,84,POINT (37.6532133 55.8174644)
"129164, Москва г, б-р. Ракетный, д. 8",f9e35792-cd44-4a14-bd21-aa05d1fab4f1,f9e35792-cd44-4a14-bd21-aa05d1fab4f1,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3961.7,3254.0,-,-,-,,,,,77:02:0023007:1009,ec574f73-702d-43b9-b600-94abfd3f672f,,,37.6510379,55.81767,84,POINT (37.6510379 55.81767)
"129164, Москва г, пер. Зубарев, д. 17",a1416bb6-2110-42d1-8df0-82e13e79cf52,a1416bb6-2110-42d1-8df0-82e13e79cf52,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,5391.2,5198.0,-,-,-,,,,,77:02:0023012:1005,7d990635-8934-4a6f-81d2-34a5dcad5a2a,,,37.6432463,55.8118261,84,POINT (37.6432463 55.8118261)
"129164, Москва г, пр-кт. Мира, д. 118",48bd5dc3-aa63-41ba-9753-721a06e2e5db,3d08368e-8e63-4f8e-8380-c207063282fb,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,25390.2,20524.0,-,-,-,,,,,77:02:0023012:1015,4aa1bf29-0296-4a04-8c55-011c37116f06,,,37.6385271,55.8102355,84,POINT (37.6385271 55.8102355)
"129164, Москва г, пр-кт. Мира, д. 118А",c6cef185-0e6b-485d-8cee-7c5e24e433af,c6cef185-0e6b-485d-8cee-7c5e24e433af,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,24717.9,21023.0,-,-,-,,,,,77:02:0023012:1016,bfca7df7-abc7-4d35-afea-89aaf5d3ee6d,,,37.64072669999999,55.81042790000001,84,POINT (37.64072669999999 55.81042790000001)
"129164, Москва г, пр-кт. Мира, д. 120",98a69632-b6a8-4780-a661-95c22f285a11,30ccf79f-211d-429c-826d-9de2e41e80c0,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,25334.9,21031.0,-,-,-,,,,,77:02:0023012:1017,03bd2457-744e-4bb9-83d2-c89ec0949165,,,37.6392841,55.8119903,84,POINT (37.6392841 55.8119903)
"129164, Москва г, пр-кт. Мира, д. 122",9c42b34f-3743-4ea8-b4d4-626e40ee4152,659c3399-6713-44f3-9688-2c9c1e2c3077,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,25105.4,20043.0,-,-,-,,,,,77:02:0023012:1018,d7ba562d-0db7-4ce0-bf9d-576b93988a79,,,37.6389858,55.81344379999999,84,POINT (37.6389858 55.81344379999999)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 1",4c128049-3574-42aa-9d6a-c6bb2b01c45c,4c128049-3574-42aa-9d6a-c6bb2b01c45c,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2359.2,1992.0,-,-,-,,,,,77:02:0023008:1002,8757ad3b-e356-42f1-a6d7-c47fa9ac7d42,,,37.6407362,55.81634140000001,84,POINT (37.6407362 55.81634140000001)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 10",1b58cbfe-c362-48be-9492-9c766a168baf,5689a134-6ae2-4bbb-8c80-2ea39512818a,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,1628.5,1390.0,-,-,-,,,,,77:02:0023008:1010,dc829487-249f-420b-b6f0-93ab7490544c,,,37.63955139999999,55.8138324,84,POINT (37.63955139999999 55.8138324)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 11",80cb9dd8-86fc-4f06-869c-777e84d8bfc7,80cb9dd8-86fc-4f06-869c-777e84d8bfc7,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2333.8,1952.0,-,-,-,,,,,77:02:0023008:1011,b0ed382b-bfef-475d-b5ed-c6921fbf298b,,,37.6403015,55.81379399999999,84,POINT (37.6403015 55.81379399999999)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 12",4942c1da-c965-4681-b4c0-31898f3a027d,6fbe3159-0e2f-42c5-9399-592e20931202,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2315.6,1944.0,-,-,-,,,,,77:02:0023008:1012,4aeabf57-df5e-4366-a26c-b5ba7d74545e,,,37.6404405,55.81468049999999,84,POINT (37.6404405 55.81468049999999)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 13",579a507d-1b5b-43a5-8c43-9262e830988b,579a507d-1b5b-43a5-8c43-9262e830988b,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2330.4,1382.0,-,-,-,,,,,77:02:0023008:1013,7fe164f1-557e-489c-9884-6094c3447952,,,37.6405323,55.8154523,84,POINT (37.6405323 55.8154523)
"129164, Москва г, пр-кт. Мира, д. 124, корп. 14",01bd2fc0-87eb-46ac-a368-fae41cbdc7d3,01bd2fc0-87eb-46ac-a368-fae41cbdc7d3,45349000,УО,5147746301038.0,771701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛЕКСЕЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,2695.5,1325.0,-,-,-,,,,,77:02:0023008:1014,29689b8c-1633-43fd-a5c3-42a805c24e2d,,,37.640967,55.815865,84,POINT (37.640967 55.815865)
