Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127410, Москва г, проезд. Путевой, д. 10",b5c8b60d-7c32-4c0c-9ae6-99630a8d3837,b5c8b60d-7c32-4c0c-9ae6-99630a8d3837,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,4063.1,3361.6,-,-,-,,,,,77:02:0003004:1034,08cd6de1-22aa-4d01-a548-e8d6d5e017cd,,,37.5800849,55.874601,16,POINT (37.5800849 55.874601)
"127410, Москва г, проезд. Путевой, д. 12",b84accf9-224d-40a3-89bf-b3b859d7c553,b84accf9-224d-40a3-89bf-b3b859d7c553,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,4091.6,3383.4,-,-,-,,,,,77:02:0003004:1036,34a6f940-faec-4430-86ca-849a1778bbc3,,,37.5790912,55.8744883,16,POINT (37.5790912 55.8744883)
"127410, Москва г, проезд. Путевой, д. 14",cd42e79f-1e4e-4b73-8619-8844fe16af92,cd42e79f-1e4e-4b73-8619-8844fe16af92,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,1006.8,1006.8,-,-,-,,,,,77:02:0003004:1037,f79e129f-b912-4c92-ad0b-9df9a509a455,,,37.577659,55.87438299999999,16,POINT (37.577659 55.87438299999999)
"127410, Москва г, проезд. Путевой, д. 14, корп. 1",2805628d-2fd0-42ae-8cce-6b0ed42d82fe,2805628d-2fd0-42ae-8cce-6b0ed42d82fe,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,14958.6,14790.3,-,-,-,,,,,77:02:0003004:1038,b0fbc3c6-8d11-440d-bb0d-42253ffd1bf5,,,37.5774462,55.8744144,16,POINT (37.5774462 55.8744144)
"127410, Москва г, проезд. Путевой, д. 16",559b95b1-2d98-40d0-9945-84bad1e78242,559b95b1-2d98-40d0-9945-84bad1e78242,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,1033.2,997.3,-,-,-,,,,,77:02:0003004:1039,46c32c26-550a-46a3-a925-fbee2c4386b1,,,37.5775963,55.8739536,16,POINT (37.5775963 55.8739536)
"127410, Москва г, проезд. Путевой, д. 18",c03f8037-6d7e-40f4-aa36-fc3feb93d4fb,c03f8037-6d7e-40f4-aa36-fc3feb93d4fb,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,996.3,996.3,-,-,-,,,,,77:02:0003004:1040,b70572a8-b796-43f9-9ee6-ff4e12f24227,,,37.5770332,55.87410389999999,16,POINT (37.5770332 55.87410389999999)
"127410, Москва г, проезд. Путевой, д. 2",57252955-5c36-4816-9a75-a0d0a71e1a65,57252955-5c36-4816-9a75-a0d0a71e1a65,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,4137.9,2699.6,-,-,-,,,,,77:02:0003004:1030,bd40f1a6-b37d-4287-802a-cb995a858ef3,,,37.584152,55.875466,16,POINT (37.584152 55.875466)
"127410, Москва г, проезд. Путевой, д. 20, корп. 1",e20f499d-3a10-4720-8e81-fcc6a96f53fd,e20f499d-3a10-4720-8e81-fcc6a96f53fd,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,5443.9,5326.80,-,-,-,,,,,77:02:0003004:1041,1dc3ea52-cc52-4b6d-bee1-8bcc7d853637,,,37.57656250000001,55.8752901,16,POINT (37.57656250000001 55.8752901)
"127410, Москва г, проезд. Путевой, д. 4",487d7578-c8f1-4540-8b67-06f323044399,487d7578-c8f1-4540-8b67-06f323044399,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3422.4,3422,-,-,-,,,,,77:02:0003004:1031,009b7a2b-a442-4c5f-90d5-42ff6b2321f7,,,37.5830482,55.875161,16,POINT (37.5830482 55.875161)
"127410, Москва г, проезд. Путевой, д. 6",f53f4dc9-c35c-4fa8-bb5c-9dc57e3d3c1f,f53f4dc9-c35c-4fa8-bb5c-9dc57e3d3c1f,45350000,УО,5147746339362.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК АЛТУФЬЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,3382.4,3382.4,-,-,-,,,,,77:02:0003004:1032,917ce7e0-4bba-4f44-bec6-ab3d8c5ded3a,,,37.5820192,55.8749688,16,POINT (37.5820192 55.8749688)
