Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"121069, Москва г, б-р. Новинский, д. 10, строение 1",777963b3-13ca-4c4f-97cc-cbe9e2725259,777963b3-13ca-4c4f-97cc-cbe9e2725259,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,1623.1,1164.6,-,-,-,,,,,77:01:0001062:1076,a5f25147-84ed-4354-886e-e8c65df11c3b,,,37.585091,55.753203,90,POINT (37.585091 55.753203)
"121069, Москва г, б-р. Новинский, д. 12",007e2b43-095a-48d3-b295-0b298c066e61,4a26a42b-4732-4f0a-9df8-84c02eeca010,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,5932.3,4480.4,-,-,-,,,,,77:01:0001062:1077,367b45cf-6fe4-48b3-8019-cd1913fca746,,,37.5841133,55.7529666,90,POINT (37.5841133 55.7529666)
"121069, Москва г, б-р. Новинский, д. 14",14b843d9-da7a-4151-ae5b-1adefb7f44eb,14b843d9-da7a-4151-ae5b-1adefb7f44eb,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,2775.6,2369.2,-,-,-,,,,,77:01:0001062:1078,932cf8c8-0e61-4285-a939-3ec99fda2a64,,,37.5844531,55.7536262,90,POINT (37.5844531 55.7536262)
"121069, Москва г, б-р. Новинский, д. 16А",64662bff-3d55-42aa-8e74-4fd0ce8969a7,64662bff-3d55-42aa-8e74-4fd0ce8969a7,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,1752.8,1499.7,-,-,-,,,,,77:01:0001062:1081,41ae882c-106f-448d-9c3b-3f6d00f2a4c1,,,37.5856395,55.75362089999999,90,POINT (37.5856395 55.75362089999999)
"121069, Москва г, б-р. Новинский, д. 16, строение 2",bbd0a04d-afbf-43e5-9007-42e3f344328e,bbd0a04d-afbf-43e5-9007-42e3f344328e,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,2643.9,2083.7,-,-,-,,,,,77:01:0001062:1079,3a56ff1e-1225-4311-bec0-0c5f0a489036,,,37.5857052,55.7538435,90,POINT (37.5857052 55.7538435)
"121069, Москва г, б-р. Новинский, д. 16, строение 4",f94aa65e-e069-49a7-aa7f-72582dedfe03,f94aa65e-e069-49a7-aa7f-72582dedfe03,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,1853.4,1391.7,-,-,-,,,,,77:01:0001062:1080,a11d6fd4-6cda-4bfc-96f1-d3822f2253b7,,,37.585038,55.753571,90,POINT (37.585038 55.753571)
"121069, Москва г, б-р. Новинский, д. 18А",e1cdc0ac-d165-47e0-ab94-b421dafbb7d9,e1cdc0ac-d165-47e0-ab94-b421dafbb7d9,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,2900.0,2321.7,-,-,-,,,,,77:01:0001062:1085,25f183c3-945f-4a44-93e4-8fe41504b2d3,,,37.5856009,55.75430799999999,90,POINT (37.5856009 55.75430799999999)
"121069, Москва г, б-р. Новинский, д. 18Б",37d84e4c-364f-4346-9b31-d0ea5b473b27,37d84e4c-364f-4346-9b31-d0ea5b473b27,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,1984.5,1575.6,-,-,-,,,,,77:01:0001062:1084,30555eba-9f51-4b9b-8a0b-1a9fab91fc6a,,,37.585298,55.754833,90,POINT (37.585298 55.754833)
"121069, Москва г, б-р. Новинский, д. 18, корп. 2",9cf139c4-448b-4eae-acd0-c6f2ac07464e,9cf139c4-448b-4eae-acd0-c6f2ac07464e,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,2194.2,2192.3,-,-,-,,,,,77:01:0001062:1083,8f1e5693-0ac8-4e2f-a321-97fb7e2f5353,,,37.585048,55.754112,90,POINT (37.585048 55.754112)
"121069, Москва г, б-р. Новинский, д. 18, строение 1",99e6ebbf-3407-4f32-9950-11a3fe51e85a,99e6ebbf-3407-4f32-9950-11a3fe51e85a,45374000,УО,5147746267906.0,770401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА АРБАТ""",Многоквартирный,Исправный,27139.1,21380.4,-,-,-,,,,,77:01:0001062:1082,00ef7fba-ca0a-403b-972b-e369e554810e,,,37.584522,55.754938,90,POINT (37.584522 55.754938)
