Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 16",581087dc-c30c-424b-843e-11eeb0cd0cc7,bcb58a52-622c-4f86-858b-07473429ab91,45955000,Не выбран,,,,Жилой,Исправный,270.5,,-,-,-,,,,,77:18:0180501:195,ea8410ba-a680-44fd-b334-9114bc633538,,,37.6650851,55.8605078,17,POINT (37.6650851 55.8605078)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 18",a0fa2987-1be3-4e48-a08e-ee210ffbddcd,a414eed6-3f4f-490c-9a95-1f5cf1533303,45955000,Не выбран,,,,Жилой,Исправный,443.8,,-,-,-,,,,,77:18:0180501:196,5e2ab623-d439-41a2-a798-e3c6fe76e88b,,,37.6638887,55.8602869,17,POINT (37.6638887 55.8602869)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 2",6e8fea08-fe03-4e0a-b7da-356a3fdc13c2,07801aff-4ee8-4d27-b3dc-ce1447fdf37d,45955000,Не выбран,,,,Жилой,Исправный,248.5,,-,-,-,,,,,77:18:0180501:194,eafcc407-d748-45ba-be79-edfbbdb52133,,,37.673496,55.860923,17,POINT (37.673496 55.860923)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 20",543ae84f-5519-4520-baea-e46ddd1d1ab7,543ae84f-5519-4520-baea-e46ddd1d1ab7,45955000,Не выбран,,,,Жилой,Исправный,239.2,,-,-,-,,,,,77:18:0180501:197,cd7047b0-bb53-48d4-b02b-6e527af740b1,,,37.6637797,55.8598617,17,POINT (37.6637797 55.8598617)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 22",327a1241-5435-45f1-96ff-7a516a60cf33,327a1241-5435-45f1-96ff-7a516a60cf33,45955000,Не выбран,,,,Жилой,Исправный,226.3,,-,-,-,,,,,77:18:0180501:198,d320fcbc-65d7-44e6-a586-d269d04ea35d,,,37.6631666,55.8609994,17,POINT (37.6631666 55.8609994)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Радужная, д. 4",e7dc016e-62a6-48c0-92f8-5b5cb1ed5b33,faa63b98-15d9-4d7f-95aa-b315fa00a665,45955000,Не выбран,,,,Жилой,Исправный,414.0,,-,-,-,,,,,77:18:0180518:49,d587a7e0-3718-4184-ac2e-73be6a47d4c9,,,37.672339,55.860848,17,POINT (37.672339 55.860848)
"108828, Москва г, п. Краснопахорское, с. Былово, ул. Радужная, д. 1",6dcfdad2-19eb-4e6b-bf4f-895888067b55,b64a846a-037c-45d8-9991-dea4543d9cd8,45948000,Не выбран,,,,Жилой,Исправный,221.4,,-,-,-,,,,,,c28f43a7-1c20-4b51-a281-dcfee13053ea,,,37.6735638,55.8607123,17,POINT (37.6735638 55.8607123)
"108828, Москва г, п. Краснопахорское, с. Былово, ул. Радужная, д. 10",91522e12-1113-42d3-848d-79d460da41e9,756678ce-1619-4672-ba34-846fc1256533,45948000,Не выбран,,,,Жилой,Исправный,206.8,,-,-,-,,,,,,cbc7a79d-5b6a-440c-8749-ce227a0825a9,,,37.669205,55.86068,17,POINT (37.669205 55.86068)
"108828, Москва г, п. Краснопахорское, с. Былово, ул. Радужная, д. 11",83aec206-47e8-45f4-9222-a7625c713921,556b99b1-3bb6-48c0-a66f-7df422736ce5,45948000,Не выбран,,,,Жилой,Исправный,43.3,,-,-,-,,,,,,45c89cc8-89cb-493d-87b2-51b1ed0fd9bc,,,37.665344,55.859778,17,POINT (37.665344 55.859778)
"108828, Москва г, п. Краснопахорское, с. Былово, ул. Радужная, д. 12",5ace05bc-2f9c-4553-8a4c-c2a7c60f8e77,516abd7a-d301-475e-aba9-dc4afadb2b60,45948000,Не выбран,,,,Жилой,Исправный,198.0,,-,-,-,,,,,,1ba5e0c9-f07c-416b-8aac-208959b95e7b,,,37.6685162,55.8604084,17,POINT (37.6685162 55.8604084)
