Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"101000, Москва г, б-р. Покровский, д. 4/17, строение 10",46b06783-0804-463b-bbd4-28486206fd34,021f35f5-fe8e-4291-b7f1-48eecca62b6e,45375000,ТСЖ,1037739239922.0,770901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""УСПЕХ""",Многоквартирный,Исправный,5149.2,2745,-,-,-,,,,,77:01:0001026:1059,062135fd-ebfd-4162-8c1c-c41bdb006e91,,,37.645223,55.758366,91,POINT (37.645223 55.758366)
"101000, Москва г, б-р. Покровский, д. 4/17, строение 6",126a5b9a-9f06-42be-8861-c881d39d8ae7,6c3e4413-da17-40a0-b7c0-376b4cd165dd,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,995.2,839.5,-,-,-,,,,,нет,ee48def3-641a-4845-aa96-a4072fbe85c4,,,37.644243,55.75776500000001,91,POINT (37.644243 55.75776500000001)
"101000, Москва г, б-р. Покровский, д. 4/17, строение 7",4e91f1bb-df1a-494a-aacd-879db2f23cc6,4e91f1bb-df1a-494a-aacd-879db2f23cc6,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,1465.8,1099.2,-,-,-,,,,,77:01:0001026:1056,a2f6f9e6-dbe4-434c-836e-91b4366881ec,,,37.644241,55.758079,91,POINT (37.644241 55.758079)
"101000, Москва г, б-р. Чистопрудный, д. 10, строение 1",c3ad3eec-7dc2-4b25-b319-6f6dfd27f73a,c3ad3eec-7dc2-4b25-b319-6f6dfd27f73a,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,3982.1,3301,-,-,-,,,,,77:01:0001031:1016,f1b555a3-bf2c-4308-9be1-f07fec55fb6c,,,37.642065,55.7623663,91,POINT (37.642065 55.7623663)
"101000, Москва г, б-р. Чистопрудный, д. 11, строение 1",48b59faf-999e-47d0-9a18-70d8e1fa4149,48b59faf-999e-47d0-9a18-70d8e1fa4149,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,4436.1,555,-,-,-,,,,,77:01:0001030:1053,5070c6ac-b064-42e9-a27d-135a49ddd7d7,,,37.6443275,55.7625436,91,POINT (37.6443275 55.7625436)
"101000, Москва г, б-р. Чистопрудный, д. 11, строение 2",0958f701-1a8f-468e-8ce0-e243e3ca4dbc,0958f701-1a8f-468e-8ce0-e243e3ca4dbc,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,584.4,321.5,-,-,-,,,,,,4802bc78-b8c4-4c33-9579-c8c44567e175,,,37.64479,55.7626347,91,POINT (37.64479 55.7626347)
"101000, Москва г, б-р. Чистопрудный, д. 11, строение 4",3bb67ea3-3ba7-40e4-b8a8-4b0425f04d4c,3bb67ea3-3ba7-40e4-b8a8-4b0425f04d4c,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,2118.0,1817,-,-,-,,,,,,05326398-82e1-4bed-a19b-3e0d8d31e295,,,37.64503800000001,55.76296300000001,91,POINT (37.64503800000001 55.76296300000001)
"101000, Москва г, б-р. Чистопрудный, д. 12, корп. 2",2af9cf69-fa80-416c-b331-4bd52ffa501a,56541c60-e486-45b0-bf59-15e672481686,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,10503.0,8429.4,-,-,-,,,,,77:01:0001031:1017,e7c70c67-4d58-478e-b7cb-2ead88c6c595,,,37.6428334,55.76077890000001,91,POINT (37.6428334 55.76077890000001)
"101000, Москва г, б-р. Чистопрудный, д. 12, корп. 3",263dde29-ff64-4d19-9ee6-dc8fbb6da74a,263dde29-ff64-4d19-9ee6-dc8fbb6da74a,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,3658.6,3658,-,-,-,,,,,77:01:0001031:1012,0eb0b85d-5a4d-4cfa-a469-af528a13d326,,,37.6421159,55.7612836,91,POINT (37.6421159 55.7612836)
"101000, Москва г, б-р. Чистопрудный, д. 12, корп. 4",0249d52a-a181-46a8-b4a9-a4f8694b8fc3,bc4c7e0b-e4f0-4220-ae81-b98810d64d94,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,8660.7,7310.7,-,-,-,,,,,77:01:0001031:1013,de632c33-4db7-4ff0-8533-1dd77050b1aa,,,37.6428381,55.7615749,91,POINT (37.6428381 55.7615749)
"101000, Москва г, б-р. Чистопрудный, д. 12, корп. 5",8dd7e559-51f9-4354-9166-84cd66e43995,8dd7e559-51f9-4354-9166-84cd66e43995,45375000,УО,5137746116657.0,770101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БАСМАННОГО РАЙОНА""",Многоквартирный,Исправный,1443.0,1343,-,-,-,,,,,77:01:0001031:1014,6944a8f8-0860-41e4-a3d1-f37e8934cdc4,,,37.642442,55.760976,91,POINT (37.642442 55.760976)
