Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 1",52b101f8-8fdf-4c57-916a-2a87da76b273,72f5a236-6b80-4906-8f71-3011b832e148,45954000,Не выбран,,,,Жилой,Исправный,331.3,,-,-,-,,,,,50:26:0140401:1046,ed69cadf-1038-4999-8d47-b77d078afb64,,,37.57651329999999,55.7773098,27,POINT (37.57651329999999 55.7773098)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 12",66146a6b-7905-4465-b6a5-a272d96ac838,b384c9bb-1b7b-4190-81f7-6db36eb4e548,45954000,Не выбран,,,,Жилой,Исправный,418.1,,-,-,-,,,,,77:21:0140404:21,a2c17429-c514-4eb9-b236-fa31931c7d7c,,,37.5763131,55.7778609,27,POINT (37.5763131 55.7778609)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 2",9a274cce-debb-4ff8-9e03-d2a55a06597b,4f8d8f4c-ac8d-4cab-8ea5-003c9966524b,45954000,Не выбран,,,,Жилой,Исправный,230.6,,-,-,-,,,,,77:21:0140404:22,7d9cda6c-7888-4ce1-a360-c92515a2c5b6,,,37.5765053,55.7772813,27,POINT (37.5765053 55.7772813)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 3",72c3cb66-0cbc-4fb4-a85a-a9930cb97eb0,32d3ea22-dd3f-4f59-b8bd-af201a79e020,45954000,Не выбран,,,,Жилой,Исправный,199.5,,-,-,-,,,,,77:18:0000000:37036,4443dcd6-690f-4a80-ae6c-b327a68601d1,,,37.57576299999999,55.777489,27,POINT (37.57576299999999 55.777489)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 5",dcd917b7-d0b8-4c11-b2e9-3041197c9bbf,d3a60e7b-dabf-4f0d-a925-4b42fe469f53,45954000,Не выбран,,,,Жилой,Исправный,224.7,,-,-,-,,,,,77:21:0140404:53,2b973d20-b965-4039-a513-f70e7b830322,,,37.5758737,55.7776173,27,POINT (37.5758737 55.7776173)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 6",af0d6a52-3cf5-4979-bd74-34c171e107fd,841b1051-1b48-4021-bc17-17f659b26f21,45954000,Не выбран,,,,Жилой,Исправный,513.0,,-,-,-,,,,,50:26:0140401:1102,f60ef8c0-5508-4dd5-b306-afc868b32af8,,,37.5770646,55.7769463,27,POINT (37.5770646 55.7769463)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 7",132e9dc4-063c-4403-8355-0798c57f9f1f,b0333e71-52d7-44b5-a532-8d1836270575,45954000,Не выбран,,,,Жилой,Исправный,310.3,,-,-,-,,,,,77:18:0000000:37037,f34c3d2a-770e-4839-bf37-ac750e155ab4,,,37.57546079999999,55.7776976,27,POINT (37.57546079999999 55.7776976)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 8",bf0b11f5-3cd9-4bc6-9f88-33449dcfba1b,7b800803-804c-48c6-b233-08d44425a27c,45954000,Не выбран,,,,Жилой,Исправный,377.4,,-,-,-,,,,,77:21:0140404:23,7f57559b-8f07-42cf-8e56-f2807ef7a3b2,,,37.5762557,55.7773651,27,POINT (37.5762557 55.7773651)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 8, строение 1",499920ef-e6aa-4e4f-9df8-bc011455a573,499920ef-e6aa-4e4f-9df8-bc011455a573,45954000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,154.3,,-,-,-,,,,,77:06:0003012:5754,a8195141-b30b-48d1-be68-df93d41c6f2a,,,37.5762557,55.7773651,27,POINT (37.5762557 55.7773651)
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Верхняя, д. 9",2cb4d3d1-f2e5-41ea-ad0f-a6561d48acdb,4901b85f-caf7-40ce-8c5c-fcdc0d45f989,45954000,Не выбран,,,,Жилой,Исправный,218.9,,-,-,-,,,,,77:21:0140404:54,c2e08061-4c19-4b5a-ad6c-cd6831f275c9,,,37.57534709999999,55.77793490000001,27,POINT (37.57534709999999 55.77793490000001)
