Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127349, Москва г, проезд. Шенкурский, д. 10",9e102903-5108-4532-b7e1-732855451e64,9e102903-5108-4532-b7e1-732855451e64,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,5983.5,5175.9,-,-,-,,,,,77:02:0002010:1031,9bd013ed-3611-4edf-9da3-607574fe2476,,,37.5911725,55.89536380000001,3,POINT (37.5911725 55.89536380000001)
"127349, Москва г, проезд. Шенкурский, д. 10Б",2f5f8e4e-ff4a-4d26-9416-7ced5d447bc4,2f5f8e4e-ff4a-4d26-9416-7ced5d447bc4,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,10281.7,10187.3,-,-,-,,,,,77:02:0002010:1032,9c27df09-eb3b-4abc-9646-1e8c35f2eb7c,,,37.5954264,55.89451159999999,3,POINT (37.5954264 55.89451159999999)
"127349, Москва г, проезд. Шенкурский, д. 10В",edd10a7d-09e5-4c60-a772-068fd2bad242,edd10a7d-09e5-4c60-a772-068fd2bad242,45352000,ЖК,1027700463780.0,771501001.0,"Жилищно - строительный кооператив "" МАЯК-4 """,Многоквартирный,Исправный,10091.0,6636,-,-,-,,,,,77:02:0002010:1033,28b240d3-074e-41ab-8435-d422dfaf2147,,,37.5964461,55.89445259999999,3,POINT (37.5964461 55.89445259999999)
"127349, Москва г, проезд. Шенкурский, д. 11",bcb85fa8-6931-421f-821c-0bf17dafb954,bcb85fa8-6931-421f-821c-0bf17dafb954,45352000,УО,1117746161422.0,771501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ФЕНИКС""",Многоквартирный,Исправный,17531.0,11391,нет,нет,-,,,,,77:02:0002009:1017,fad3f338-f383-4956-af7f-b8fc4f91c227,,,37.5902111,55.8947973,3,POINT (37.5902111 55.8947973)
"127349, Москва г, проезд. Шенкурский, д. 12",563d7f41-2bfb-40b1-922c-2e70ac847256,563d7f41-2bfb-40b1-922c-2e70ac847256,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,20086.9,19918,-,-,-,,,,,77:02:0002010:1034,c3f5f743-00f5-4450-9f37-e2915b77af61,,,37.5912736,55.8963274,3,POINT (37.5912736 55.8963274)
"127349, Москва г, проезд. Шенкурский, д. 12А",6bbc49fa-1444-4252-8805-0fd74c362244,6bbc49fa-1444-4252-8805-0fd74c362244,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,10620.4,10604.1,-,-,-,,,,,77:02:0002010:1035,6f0706df-620c-4ade-9cc1-155d9f86ef4d,,,37.5930341,55.8955195,3,POINT (37.5930341 55.8955195)
"127349, Москва г, проезд. Шенкурский, д. 14",3834e903-ae84-44dd-a12a-cc54a716a275,3834e903-ae84-44dd-a12a-cc54a716a275,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,6404.9,5280.7,-,-,-,,,,,77:02:0002010:1036,500af837-651c-44ba-9b36-5dddbc24f2f3,,,37.5915358,55.8977099,3,POINT (37.5915358 55.8977099)
"127349, Москва г, проезд. Шенкурский, д. 2",b03aa1b7-de4c-48fb-8c07-dfe71767b0a0,b03aa1b7-de4c-48fb-8c07-dfe71767b0a0,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,6379.4,5119,-,-,-,,,,,77:02:0002010:1025,b660eee3-58db-42ff-9055-043590a35455,,,37.591444,55.8906398,3,POINT (37.591444 55.8906398)
"127349, Москва г, проезд. Шенкурский, д. 4",8a5f0a6c-4d54-43eb-a57d-b8c608dcadc9,8a5f0a6c-4d54-43eb-a57d-b8c608dcadc9,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,20090.8,19857.8,-,-,-,,,,,77:02:0002010:1026,c08d2b65-8d5f-4518-81ce-119d00f93825,,,37.5912178,55.89178990000001,3,POINT (37.5912178 55.89178990000001)
"127349, Москва г, проезд. Шенкурский, д. 6",7620d6d7-09f1-480f-ad85-d983e6884267,7620d6d7-09f1-480f-ad85-d983e6884267,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,6066.2,5145.8,-,-,-,,,,,77:02:0002010:1027,9f7d74ff-0e0c-4e2e-8e7e-ba638c2b5b37,,,37.5911572,55.8929553,3,POINT (37.5911572 55.8929553)
"127349, Москва г, проезд. Шенкурский, д. 6Б",421f3cff-f87d-4aca-835e-fda1d3d080fc,421f3cff-f87d-4aca-835e-fda1d3d080fc,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,10137.6,10074.9,-,-,-,,,,,77:02:0002010:1028,71f4a0ad-bf2b-4923-bb6a-17ddbb9713ac,,,37.5927036,55.8926196,3,POINT (37.5927036 55.8926196)
"127349, Москва г, проезд. Шенкурский, д. 8",e3bd2f72-5f05-48ad-9f2d-c0c081e79288,e3bd2f72-5f05-48ad-9f2d-c0c081e79288,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,19986.5,19753.9,-,-,-,,,,,77:02:0002010:1029,b1f63887-7f18-446e-8de6-ab37d8caeac3,,,37.5912069,55.89365859999999,3,POINT (37.5912069 55.89365859999999)
"127349, Москва г, проезд. Шенкурский, д. 8Б",341771fc-6693-4bed-951d-b7be3d58dc90,341771fc-6693-4bed-951d-b7be3d58dc90,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,13997.8,13882.2,-,-,-,,,,,77:02:0002010:1030,e22a7ca0-58d4-43fc-a994-c28c0e8d04d1,,,37.5942774,55.8934842,3,POINT (37.5942774 55.8934842)
"127349, Москва г, ул. Лескова, д. 10",d2e92b6b-249a-4fb3-ba45-130ac866c94f,faa99bdf-7da8-448f-bfe7-3418b6f35d79,45352000,УО,1117746161422.0,771501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ФЕНИКС""",Многоквартирный,Исправный,22170.1,13425,-,-,-,,,,,77:02:0002010:1016,805ed0fa-126d-466a-884d-8031aac5975f,,,37.6007976,55.89765800000001,3,POINT (37.6007976 55.89765800000001)
"127349, Москва г, ул. Лескова, д. 10А",62231072-4e64-439d-aea5-37f7d3c750d3,738fab21-b498-4b23-be09-c6b79d65e46c,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,14173.9,14052,-,-,-,,,,,77:02:0002010:1020,40d32610-b220-4370-8f15-d80a451b1715,,,37.5986339,55.896606,3,POINT (37.5986339 55.896606)
"127349, Москва г, ул. Лескова, д. 10Б",2af5847e-6a48-40a0-858f-a5c4c7e5c51e,920ceb90-1c1f-41ac-898f-5ff9dadbff3c,45352000,УО,1157746499415.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИБИРЕВО""",Многоквартирный,Исправный,13668.7,13533,-,-,-,,,,,77:02:0002010:1019,f9946fe5-175f-4634-bb71-e794d263816d,,,37.597536,55.896778,3,POINT (37.597536 55.896778)
