Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 1",0440ccbe-7915-4e9e-a9ed-07b6553a8dda,5b21d148-a4c3-4964-9416-8a331c399f0f,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,20504.73,13529.3,-,-,-,,,,,,fd5b4072-b493-4591-a658-61f8d246f357,,,37.664444,55.6070581,28,POINT (37.664444 55.6070581)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 10",1dcdc52a-f8fc-4a0f-864d-93826b0e1c02,3613563f-8f96-4d6f-a5bd-bbd610140de8,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,40189.54,18698.3,-,-,-,,,,,нет,b03ed8fa-e8cd-4bd3-abf6-6683957331fb,,,37.66674100000001,55.6091766,28,POINT (37.66674100000001 55.6091766)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 11",8569363b-881c-4316-bca1-62322dd3a25e,ccde84d2-d528-429c-bab5-ec3a726403cd,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,23900.1,16302.9,-,-,-,,,,,,975514d9-227c-42c1-b2a4-a6e88f7d9edd,,,37.6593002,55.6068778,28,POINT (37.6593002 55.6068778)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 4",e9469bfe-ef43-43f3-a31d-f4f5e9996844,9a1ca52d-615d-4b15-9ed6-f4f41a5d83da,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,33119.2,20731.8,-,-,-,,,,,,755adeff-1f4f-421c-b619-4ec696c2fcc8,,,37.6604834,55.6062877,28,POINT (37.6604834 55.6062877)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 5",35742b98-2ee0-4114-82be-28ab46c4d974,39bd60f3-bcf9-4513-947d-cbd7bece4ce9,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,15724.5,8150.4,-,-,-,,,,,,c326335b-5a8c-40ae-9dd2-fe8675ce1d68,,,37.661909,55.6057494,28,POINT (37.661909 55.6057494)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 6",6ebbd5b8-a8b3-4418-aa27-01c62265fdd4,fd37fc52-c415-41c6-8e60-ce528a6ee178,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,42453.9,24285.8,-,-,-,,,,,нет,8f0202a3-6de8-4c34-8cc8-08f0997a3b03,,,37.664627,55.60551419999999,28,POINT (37.664627 55.60551419999999)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 7",d07245ff-dfb7-46df-aafd-11be331576a7,298948b7-e636-4d87-9848-52e0205a42b3,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,27364.9,11000.2,-,-,-,,,,,нет,10198405-2be9-48b7-81bd-a3c4d7e5841c,,,37.6656497,55.60516999999999,28,POINT (37.6656497 55.60516999999999)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 8",52a02a78-a136-416e-a195-11f71f99c6b0,c897455c-0002-4d4c-a8d8-7d9f34ae17e3,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,25771.0,8225.8,-,-,-,,,,,нет,c140438e-3200-49da-bcb7-81cd73c05957,,,37.6629059,55.6052759,28,POINT (37.6629059 55.6052759)
"115404, Москва г, ул. 6-я Радиальная, д. 3, корп. 9",8ad818f2-79d8-48e0-a334-57624675249b,df55afb4-6354-4adb-9982-516aca822c5c,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,44878.0,19707.7,-,-,-,,,,,нет,057154a0-faf2-44dc-b00b-b35fdee39d06,,,37.6648115,55.6046464,28,POINT (37.6648115 55.6046464)
"115404, Москва г, ул. 6-я Радиальная, д. 5, корп. 1",3022d067-6740-4535-a5e7-a4660931bf01,0be3a63a-f8e9-4cb9-bfae-d0fb38cd2e49,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,24944.0,16066.0,-,-,-,,,,,нет,e2641832-f535-49c6-a9c6-7e215520ef26,,,37.6577936,55.60671490000001,28,POINT (37.6577936 55.60671490000001)
"115404, Москва г, ул. 6-я Радиальная, д. 5, корп. 2",2e8a395b-8ae7-40a8-a870-a62b1b831204,2e8a395b-8ae7-40a8-a870-a62b1b831204,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,105042.42,74203.3,-,-,-,,,,,,435bd5ee-ad76-4874-b9fe-d2480f19008f,,,37.6597654,55.6044765,28,POINT (37.6597654 55.6044765)
"115404, Москва г, ул. 6-я Радиальная, д. 5, корп. 3",0a2efad8-541a-48c8-8073-90b5ab019107,df6ff9f3-8c18-4aed-979e-ab0e66b07966,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,102100.5,73151.8,-,-,-,,,,,,1b947883-1b25-43be-9dfc-66aec71ae3a8,,,37.6611355,55.6046944,28,POINT (37.6611355 55.6046944)
"115404, Москва г, ул. 6-я Радиальная, д. 5, корп. 4",f8450735-a541-45a2-8012-4b63910a3996,0efb9b06-3ff2-4d9c-ac04-8616df4b3ce8,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,57165.4,29563.7,-,-,-,,,,,нет,8ce02a4c-bbda-4f90-b242-2a1b7b44ee03,,,37.6641801,55.603556,28,POINT (37.6641801 55.603556)
"115404, Москва г, ул. 6-я Радиальная, д. 7/6, корп. 1",9e5773de-7227-4f17-8a67-9eb7d8dbf139,8845081d-7abd-4c2f-9592-20d96d16da59,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,29129.9,12460.2,-,-,-,,,,,,3965e815-5ca1-4a0a-8ab2-756edd426a3d,,,37.655665,55.60720999999999,28,POINT (37.655665 55.60720999999999)
"115404, Москва г, ул. 6-я Радиальная, д. 7/6, корп. 2",57653f7b-115a-4e45-b674-9a63b041b511,e01718ac-55fa-47c3-89a5-9ec4c00ed610,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,28538.6,12552.4,-,-,-,,,,,,c1ffcdfb-ff85-48a6-8ae2-acd757c6e2f9,,,37.655665,55.60720999999999,28,POINT (37.655665 55.60720999999999)
"115404, Москва г, ул. 6-я Радиальная, д. 7/6, корп. 3",bff1e9fb-5c98-4249-97ba-ed8ee19ca947,239e6783-f05b-4585-894a-67ef181a35c6,45911000,УО,1157746813223.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ ЛИДЕР""",Многоквартирный,Исправный,84052.0,38495.0,-,-,-,,,,,,c3adef86-e4fa-40b7-a39a-335804263de4,,,37.655665,55.60720999999999,28,POINT (37.655665 55.60720999999999)
"115404, Москва г, ул. Бирюлёвская, д. 11, корп. 3",c6449a71-423f-4c47-b293-f3c284a90653,c6449a71-423f-4c47-b293-f3c284a90653,45911000,УО,5147746267928.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ВОСТОЧНОЕ""",Многоквартирный,Исправный,9680.1,9665.3,-,-,-,,,,,77:05:0010003:1023,d981e021-cd7c-4d6b-825c-7b6317d29e2b,,,37.666234,55.5977995,28,POINT (37.666234 55.5977995)
"115404, Москва г, ул. Бирюлёвская, д. 13, корп. 3",26e0fa33-9a89-4248-8f7d-035039a8c2da,26e0fa33-9a89-4248-8f7d-035039a8c2da,45911000,УО,5147746267928.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ВОСТОЧНОЕ""",Многоквартирный,Исправный,10691.5,10691.5,-,-,-,,,,,77:05:0010003:1028,800216c6-0d39-48e1-86b2-69d2a79e3d4b,,,37.6686209,55.5971852,28,POINT (37.6686209 55.5971852)
"115404, Москва г, ул. Бирюлёвская, д. 1, корп. 1",8549de18-676b-47af-b405-6390e2f6161a,8549de18-676b-47af-b405-6390e2f6161a,45911000,УО,1107746777412.0,772701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТИНЖСТРОЙ""",Многоквартирный,Исправный,22829.3,22040.9,-,-,-,,,,,77:05:0010002:1012,a972b2db-9ec6-42be-b95d-2cfd8e1405ca,,,37.6647448,55.60203850000001,28,POINT (37.6647448 55.60203850000001)
"115404, Москва г, ул. Бирюлёвская, д. 1, корп. 2",c6807100-bca4-44ef-8749-24dd6150dc58,c6807100-bca4-44ef-8749-24dd6150dc58,45911000,УО,1067746430190.0,772401001.0,"Общество с ограниченной ответственностью ""Управляющая компания ""Отделстройконтракт""",Многоквартирный,Исправный,11417.6,11030.1,-,-,-,,,,,77:05:0010002:1013,ec6f003e-fab8-4169-b1c0-bf27bafff13e,,,37.6666416,55.602203,28,POINT (37.6666416 55.602203)
"115404, Москва г, ул. Бирюлёвская, д. 1, корп. 3",a82d3736-67e6-4828-a549-62d769966b2e,a82d3736-67e6-4828-a549-62d769966b2e,45911000,УО,1067746430190.0,772401001.0,"Общество с ограниченной ответственностью ""Управляющая компания ""Отделстройконтракт""",Многоквартирный,Исправный,22813.0,22020.2,-,-,-,,,,,77:05:0010002:1014,47dff0c2-62ac-420e-8a83-ddff5062712e,,,37.6631765,55.60036969999999,28,POINT (37.6631765 55.60036969999999)
"115404, Москва г, ул. Бирюлёвская, д. 2",04ebef89-6dd2-4b03-af53-62320222afdc,04ebef89-6dd2-4b03-af53-62320222afdc,45911000,УО,5147746267928.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ВОСТОЧНОЕ""",Многоквартирный,Исправный,4222.6,4221.3,-,-,-,,,,,77:05:0010003:1050,d741e310-6d87-4b12-b39a-a21bc62a1bca,,,37.6604836,55.6012103,28,POINT (37.6604836 55.6012103)
