Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"117403, Москва г, проезд. Булатниковский, д. 10, корп. 1",a132e395-603f-4ba6-84cb-a7f2b1ea8bdc,a132e395-603f-4ba6-84cb-a7f2b1ea8bdc,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,9858.6,9798.1,-,-,-,,,,,77:05:0009002:1020,c720339d-ee6c-4eb7-9173-39f6bcaba7f4,,,37.65342589999999,55.59013179999999,29,POINT (37.65342589999999 55.59013179999999)
"117403, Москва г, проезд. Булатниковский, д. 10, корп. 2",f47542d5-ae03-459f-81df-bbfa05b78974,f47542d5-ae03-459f-81df-bbfa05b78974,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,10451.4,10422.3,-,-,-,,,,,77:05:0009002:1021,4ec4f795-2843-41bc-a52c-e5cf43e68bfb,,,37.6542256,55.58955770000001,29,POINT (37.6542256 55.58955770000001)
"117403, Москва г, проезд. Булатниковский, д. 10, корп. 3",5a97a9f7-5d00-4abd-a561-fcfeca8ae6b1,5a97a9f7-5d00-4abd-a561-fcfeca8ae6b1,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,10416.5,10401.5,-,-,-,,,,,77:05:0009002:1022,839c0b13-17e9-4702-85be-6505a94bd602,,,37.6547406,55.5887213,29,POINT (37.6547406 55.5887213)
"117403, Москва г, проезд. Булатниковский, д. 10, корп. 4",99fe01a5-08b6-4b45-bc61-3dafcd728482,99fe01a5-08b6-4b45-bc61-3dafcd728482,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,10254.3,10211.8,-,-,-,,,,,77:05:0009002:1023,23c0f0a1-ed87-4f66-af47-ace1a8c99f5b,,,37.654928,55.5876004,29,POINT (37.654928 55.5876004)
"117403, Москва г, проезд. Булатниковский, д. 14, корп. 2",509e57af-a798-4636-a286-f766a11a6fb6,509e57af-a798-4636-a286-f766a11a6fb6,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,9619.8,9605.3,-,-,-,,,,,77:05:0009003:1037,cdfbb1ef-0aea-49be-9d25-543143ae8ff4,,,37.6335317,55.5819684,29,POINT (37.6335317 55.5819684)
"117403, Москва г, проезд. Булатниковский, д. 14, корп. 3",e7f9237b-8c22-4616-b1f7-7514d726b3af,e7f9237b-8c22-4616-b1f7-7514d726b3af,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,9601.8,9588.8,-,-,-,,,,,77:05:0009003:1038,7a93c2fd-b642-46a2-83ff-80ac9fb44105,,,37.6325472,55.5817736,29,POINT (37.6325472 55.5817736)
"117403, Москва г, проезд. Булатниковский, д. 16Б",1880ad66-6073-4ee0-ab05-5985a7877b83,1880ad66-6073-4ee0-ab05-5985a7877b83,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,7925.3,4127.8,-,-,-,,,,,77:05:0009003:18627,6949ebd9-1328-475c-a4ce-8726e8258098,,,37.63222349999999,55.5812046,29,POINT (37.63222349999999 55.5812046)
"117403, Москва г, проезд. Востряковский, д. 11, корп. 1",2c858629-74f4-421d-a69f-a9861e5da7fd,2c858629-74f4-421d-a69f-a9861e5da7fd,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,24240.6,24226.2,-,-,-,,,,,77:05:0009003:1081,2f15918c-a37a-4dc0-9a1e-b1ca00d17281,,,37.6458293,55.5797112,29,POINT (37.6458293 55.5797112)
"117403, Москва г, проезд. Востряковский, д. 11, корп. 2",f5439119-5ab1-4b0e-bc97-1e4e894493e2,f5439119-5ab1-4b0e-bc97-1e4e894493e2,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,10509.3,10509.3,-,-,-,,,,,77:05:0009003:1082,f7af9f30-707e-4f7e-89ba-98d80228173c,,,37.6441922,55.578608,29,POINT (37.6441922 55.578608)
"117403, Москва г, проезд. Востряковский, д. 13, корп. 1",c53ceb08-8382-4c2d-a3b8-84a2cf88ea87,c53ceb08-8382-4c2d-a3b8-84a2cf88ea87,45912000,УО,5147746341914.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БИРЮЛЕВО ЗАПАДНОЕ""",Многоквартирный,Исправный,10531.2,10494.5,-,-,-,,,,,77:05:0009003:1083,a4414989-232a-43bd-8e96-f6d2baccc00a,,,37.6471836,55.57834399999999,29,POINT (37.6471836 55.57834399999999)
