Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107076, Москва г, ул. Краснобогатырская, д. 75, корп. 1",4152d786-279c-4f09-a012-c8c1f42fff5a,8ab710c4-1965-4d14-bb96-0d28abb1553f,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,12960.4,6810,-,-,-,,,,,77:03:0001004:1030,ae73a38f-c02f-4f6c-b328-ba56f278e2ed,,,37.706531,55.808088,4,POINT (37.706531 55.808088)
"107076, Москва г, ул. Краснобогатырская, д. 75, корп. 2",7f3be069-b103-4351-acbe-9e65ef2ad402,7f3be069-b103-4351-acbe-9e65ef2ad402,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,6557.2,5581,-,-,-,,,,,77:03:0001004:1031,aa2935b4-abed-4325-b54e-12caa4a33b35,,,37.7074341,55.8086547,4,POINT (37.7074341 55.8086547)
"107076, Москва г, ул. Краснобогатырская, д. 77",97638d4d-7da5-4525-b0e7-5ec2e10ad985,a1908ae5-e346-4b71-b00d-75b117486abe,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,13085.1,11267,-,-,-,,,,,77:03:0001004:1032,0444bbc3-7ff6-4995-96b0-b65474da1327,,,37.7070418,55.8068156,4,POINT (37.7070418 55.8068156)
"107076, Москва г, ул. Краснобогатырская, д. 79",24ad9ed8-1ea8-4054-93d2-494f657bb6b6,24ad9ed8-1ea8-4054-93d2-494f657bb6b6,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,13157.7,13157.7,-,-,-,,,,,77:00:0000000:1079,5f21bb83-ce07-48a2-8fea-99c6f28f8951,,,37.7073231,55.8055043,4,POINT (37.7073231 55.8055043)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 10",a2acae6a-d825-45c2-89f7-b816ef6969b0,a2acae6a-d825-45c2-89f7-b816ef6969b0,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,2612.7,2564.6,-,-,-,,,,,77:03:0001012:1060,1af9d015-31cf-43a5-8668-9399c13d3e7b,,,37.726099,55.812059,4,POINT (37.726099 55.812059)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 12",4ef02e9d-fad7-484f-865e-ad4493bec6c7,4ef02e9d-fad7-484f-865e-ad4493bec6c7,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,3543.7,3492.4,-,-,-,,,,,77:03:0001012:1061,483d7ca1-51b4-45b3-a8b3-d33f2ce11f69,,,37.725394,55.8120379,4,POINT (37.725394 55.8120379)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 14",fbb5f1bf-a9dc-4c4b-9307-8c1fe648a9f4,fbb5f1bf-a9dc-4c4b-9307-8c1fe648a9f4,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,2594.7,2487,-,-,-,,,,,77:03:0001012:1062,97188949-b97b-494d-b765-49042094cd3e,,,37.7243983,55.8126849,4,POINT (37.7243983 55.8126849)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 18",9747cb09-3245-4037-b62f-89801d32a31b,9747cb09-3245-4037-b62f-89801d32a31b,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,2601.6,2191.2,-,-,-,,,,,77:03:0001012:1063,056059be-b00b-4112-8e29-c595ec9d1eb9,,,37.7232539,55.81331669999999,4,POINT (37.7232539 55.81331669999999)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 20/18, строение 1",4493f23f-e37e-4cf7-a1ec-54112e95010c,0b2a5722-11d5-46d8-b8d3-2ec7dc7f6b59,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,3557.9,3507,-,-,-,,,,,77:03:0001012:1064,98b8d763-9dcc-42a6-a0f1-1ea26f5e2f2d,,,37.722367,55.81363,4,POINT (37.722367 55.81363)
"107150, Москва г, б-р. Маршала Рокоссовского, д. 21/21",8c735986-c108-4044-9a5a-2bc3f72386a0,8c735986-c108-4044-9a5a-2bc3f72386a0,45301000,УО,1147746064300.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",Многоквартирный,Исправный,7003.9,5517,-,-,-,,,,,77:03:0001010:1040,b4daa2ff-6f40-4172-86e6-080f48902fa8,,,37.7201588,55.8135989,4,POINT (37.7201588 55.8135989)
