Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 1",db1b7b83-62d1-49af-9b9d-a077bb421d96,c65ee0d6-c8d9-49fb-a2e4-dfe03b3e80f8,45955000,Не выбран,,,,Жилой,Исправный,778.7,,-,-,-,,,,,77:18:0190506:54,379c3dc9-cbdb-4b83-a5b1-9ec436833e19,,,37.7577746,55.6377837,5,POINT (37.7577746 55.6377837)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 11",e67988f2-7e2d-44fb-9e02-f2e5bf602750,d54cf023-820e-42c0-81a9-9b17446c8a26,45955000,Не выбран,,,,Жилой,Исправный,410.2,,-,-,-,,,,,77:18:0190204:88,3cef40a2-b8d9-43a7-9154-5e60bb22866e,,,37.7596557,55.636442,5,POINT (37.7596557 55.636442)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 12",9dfeec4d-03df-433c-ad7c-0e4ecb51dd50,9dfeec4d-03df-433c-ad7c-0e4ecb51dd50,45955000,Не выбран,,,,Жилой,Исправный,505.5,,-,-,-,,,,,77:18:0190204:1,47874fa3-aac9-454d-a7c4-3b38ce560214,,,37.7592805,55.6358581,5,POINT (37.7592805 55.6358581)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 5",729d745f-e891-47a2-9c64-3470f6008c2f,8da9b552-8cfb-4d30-9138-05f997c99924,45955000,Не выбран,,,,Жилой,Исправный,476.7,,-,-,-,,,,,77:18:0190506:113,b994595d-7b9f-4a14-a2ee-66bb69730eb1,,,37.7656969,55.6315596,5,POINT (37.7656969 55.6315596)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 6",b35c1309-2b26-46d9-b5e5-84b150499688,b35c1309-2b26-46d9-b5e5-84b150499688,45955000,Не выбран,,,,Жилой,Исправный,449.8,,-,-,-,,,,,50:26:0190201:358,d91baad4-5394-4ecd-b496-96882a2cc335,,,37.7574535,55.63771209999999,5,POINT (37.7574535 55.63771209999999)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 7",426d12de-410d-4e02-b827-18c6c2d85ce2,426d12de-410d-4e02-b827-18c6c2d85ce2,45955000,Не выбран,,,,Жилой,Исправный,510.6,,-,-,-,,,,,50:26:0190201:364,cade1420-b668-4ee0-b56e-e0a490a050bc,,,37.7653914,55.6310611,5,POINT (37.7653914 55.6310611)
"108808, Москва г, п. Первомайское, д. Кривошеино, ул. Ключевая, д. 8",c3e20474-a89a-4016-90a6-eae6fa167976,c3e20474-a89a-4016-90a6-eae6fa167976,45955000,Не выбран,,,,Жилой,Исправный,414.5,,-,-,-,,,,,50:26:0190201:368,b9e9772f-7d30-41ef-9e21-33623fd3c828,,,37.75749,55.636629,5,POINT (37.75749 55.636629)
"115211, Москва г, ул. Борисовские Пруды, д. 10, корп. 1",f2eae3ed-6e37-4f21-8beb-201e20f80947,9b1ee5d5-62f6-474c-9f80-6b9bfdb0164d,45913000,ЖК,1037739078189.0,772401001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""БРАТЕЕВО-2""",Многоквартирный,Исправный,28209.8,25143.0,-,-,-,,,,,77:05:0012004:1017,f60000f3-efd5-491e-8274-37be54898b37,,,37.74011350000001,55.6354877,5,POINT (37.74011350000001 55.6354877)
"115211, Москва г, ул. Борисовские Пруды, д. 10, корп. 4",aeaf65cc-b6dd-48ba-9a74-ca132fdbfb7d,cb87c1b4-c84f-46c7-8ec4-1f2fed8bd20a,45913000,УО,1157746520051.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БРАТЕЕВО""",Многоквартирный,Исправный,13446.1,12412.5,-,-,-,,,,,нет,62b1e014-6e8f-46cb-b2b5-5375a33439a2,,,37.740348,55.6332337,5,POINT (37.740348 55.6332337)
"115211, Москва г, ул. Борисовские Пруды, д. 10, корп. 6",5f3231fc-bf9b-4ef5-9e58-0004d8cc2ddc,cc6c1d53-1f54-47ee-97af-945b25d233e9,45913000,УО,1157746520051.0,772401001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА БРАТЕЕВО""",Многоквартирный,Исправный,21642.5,21387.0,-,-,-,,,,,нет,6a82e3e2-a087-4aca-9ca5-848c012c286d,,,37.7418033,55.63315739999999,5,POINT (37.7418033 55.63315739999999)
