Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127254, Москва г, проезд. Добролюбова, д. 11",05f7683b-723c-4db0-b37b-34279091b770,05f7683b-723c-4db0-b37b-34279091b770,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,6351.2,5446,-,-,-,,,,,77:02:0021004:1037,7891cc3b-1b8d-4820-a5f6-b54614661851,,,37.5884765,55.80941989999999,18,POINT (37.5884765 55.80941989999999)
"127254, Москва г, проезд. Добролюбова, д. 5",ef3c0075-62b5-428f-a31c-528ddbb5bce3,ef3c0075-62b5-428f-a31c-528ddbb5bce3,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,2531.3,2531,-,-,-,,,,,77:02:0021004:1001,581ab675-210a-4075-8078-a1729c31184f,,,37.5892684,55.8100959,18,POINT (37.5892684 55.8100959)
"127254, Москва г, проезд. Добролюбова, д. 5А",23a59a00-d8b0-415c-903f-d301dcfd9ba7,23a59a00-d8b0-415c-903f-d301dcfd9ba7,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,2671.8,2502,-,-,-,,,,,77:02:0021004:1002,5cfb101f-898b-456e-aed6-dfbd9f5c580d,,,37.589205,55.80909699999999,18,POINT (37.589205 55.80909699999999)
"127254, Москва г, проезд. Добролюбова, д. 7",34d1ea2b-17d9-49ff-ba50-52e9ea16ace4,34d1ea2b-17d9-49ff-ba50-52e9ea16ace4,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,1641.3,1642,-,-,-,,,,,77:02:0021004:1003,dc500a37-7e62-4dc1-8e95-802f16c23ffb,,,37.58845,55.810175,18,POINT (37.58845 55.810175)
"127254, Москва г, проезд. Добролюбова, д. 9",b81accab-e74a-423b-bf3a-a4a18e8f162d,b81accab-e74a-423b-bf3a-a4a18e8f162d,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,1984.1,1707,-,-,-,,,,,77:02:0021004:1004,f239b6bc-676a-4af8-b01b-0f142aae550d,,,37.5884321,55.8098367,18,POINT (37.5884321 55.8098367)
"127254, Москва г, проезд. Огородный, д. 17",eb013d71-6886-4f7c-b4c3-72260318eb09,24c3efd5-392a-441b-a8a2-a99b3aee11ff,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,4517.4,3245,-,-,-,,,,,77:02:0021002:1019,5d83a717-dca4-4846-9d9b-5e781cd8f60c,,,37.5984507,55.8153172,18,POINT (37.5984507 55.8153172)
"127254, Москва г, ул. Руставели, д. 10, корп. 2",2013fc01-cb16-428c-b941-aa728143f2d4,73b839b2-92e1-41d9-829b-1b2c870a85da,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,3078.0,2270,-,-,-,,,,,77:02:0021004:1014,84b0892f-8a58-4f64-a41a-2b9f1132004f,,,37.5920569,55.811876,18,POINT (37.5920569 55.811876)
"127254, Москва г, ул. Руставели, д. 10, корп. 3",eb07eb44-ba4b-4bbe-8d3a-b33aed427665,398aade5-9d05-4c57-a0ff-44785e7d9ae0,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,3426.6,2164,-,-,-,,,,,77:02:0021004:1015,14e29874-226b-4dcb-acd0-b653430fab59,,,37.592157,55.811526,18,POINT (37.592157 55.811526)
"127254, Москва г, ул. Руставели, д. 10, корп. 4",d61aa90d-4e9c-49fc-9772-b3a325344791,d61aa90d-4e9c-49fc-9772-b3a325344791,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,2716.3,2701,-,-,-,,,,,77:02:0021004:1016,bfeada9c-b9f4-4843-a3e9-49022e7876f8,,,37.592636,55.812649,18,POINT (37.592636 55.812649)
"127254, Москва г, ул. Руставели, д. 12/7, корп. А",bbf28bfb-9d25-4894-8ae9-dc83a880199e,bbf28bfb-9d25-4894-8ae9-dc83a880199e,45353000,УО,1157746494938.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК БУТЫРСКОГО РАЙОНА""",Многоквартирный,Исправный,4245.1,3065,-,-,-,,,,,77:02:0021004:1017,9d2e51f2-7a4f-4ec0-bf65-23995e1fa236,,,37.593477,55.812779,18,POINT (37.593477 55.812779)
