Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108842, Москва г, г. Троицк, ул. Рассветная, д. 1",f6aaf590-e7ff-4df8-bf13-f1417be4a668,09fe4f39-e555-483a-9d4d-0d2b247c8771,45931000,Не выбран,,,,Жилой,Исправный,70.0,,-,-,-,,,,,77:19:0020106:5,1c7a15c6-2905-4a50-84b0-9410a4bd02ef,,,37.7717089,55.7339739,30,POINT (37.7717089 55.7339739)
"108842, Москва г, г. Троицк, ул. Рассветная, д. 2",b6c60d19-ff1e-4af9-9351-42c78b2c4e06,7e4cabb3-32d0-4571-98f8-292b7babfa9e,45931000,Не выбран,,,,Жилой,Исправный,264.2,,-,-,-,,,,,77:19:0020214:89,c93b7d9b-ba98-4af5-ae8d-8f421263e901,,,37.7747231,55.7342936,30,POINT (37.7747231 55.7342936)
"108842, Москва г, г. Троицк, ул. Рассветная, д. 3",55f42d33-ff1f-462e-bfb4-a6dd4c2bf8d5,2a3427dd-f645-4824-94c5-fc6a1a50194a,45931000,Не выбран,,,,Жилой,Исправный,511.1,,-,-,-,,,,,77:19:0020214:91,bcfa0d8b-dd27-4957-b2ae-e917339391ab,,,37.775081,55.7354374,30,POINT (37.775081 55.7354374)
"108842, Москва г, г. Троицк, ул. Рассветная, д. 4",d68f4b68-3b37-4ab7-99c1-2498532d473b,f90ee8d6-ad48-4cec-9f8d-0bdf14b9e08c,45931000,Не выбран,,,,Жилой,Исправный,211.1,,-,-,-,,,,,77:19:0020214:189,3b9701c5-9ab5-4d7c-b343-a7c661f1cb3e,,,37.7753972,55.73479099999999,30,POINT (37.7753972 55.73479099999999)
"108842, Москва г, г. Троицк, ул. Рассветная, д. 5",5b96170c-e75c-4065-aa92-763f2ed47eb6,101d09c4-7973-44c3-9beb-591b596b0a2c,45931000,Не выбран,,,,Жилой,Исправный,270.1,,-,-,-,,,,,77:19:0020214:92,fbd57e50-894b-4d6e-8796-d5ad3f7a3eab,,,37.8082169,55.7419899,30,POINT (37.8082169 55.7419899)
"111395, Москва г, аллея. Маёвки Первой, д. 11, корп. 1",403c5ef6-dd51-4e3c-8823-4ab9b5bcf9be,403c5ef6-dd51-4e3c-8823-4ab9b5bcf9be,45302000,УО,5147746369139.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВЕШНЯКИ""",Многоквартирный,Исправный,2315.1,1464.4,-,-,-,,,,,77:03:0007001:1012,fbca5883-94d8-4b63-b43e-5dc79ff1aedd,,,37.795944,55.725074,30,POINT (37.795944 55.725074)
"111395, Москва г, аллея. Маёвки Первой, д. 11, корп. 2",6989e669-32a1-4924-8e52-ba9735f84108,6989e669-32a1-4924-8e52-ba9735f84108,45302000,УО,5147746369139.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВЕШНЯКИ""",Многоквартирный,Исправный,2378.6,1176.4,-,-,-,,,,,77:03:0007001:1013,143c6e6e-069c-4f48-855a-8c7da58f902d,,,37.7963647,55.725468,30,POINT (37.7963647 55.725468)
"111395, Москва г, аллея. Маёвки Первой, д. 13, корп. 1",a9a715d0-bd73-4ffb-ab0f-7a03403893dc,a9a715d0-bd73-4ffb-ab0f-7a03403893dc,45302000,УО,5147746369139.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВЕШНЯКИ""",Многоквартирный,Исправный,1857.4,1002.2,-,-,-,,,,,77:03:0007001:1014,4986b860-a3a2-447f-ae25-830fc5be14f4,,,37.79685449999999,55.7247566,30,POINT (37.79685449999999 55.7247566)
"111395, Москва г, аллея. Маёвки Первой, д. 13, корп. 2",1c66ea8a-4149-432b-b5c1-418e8ee6f1bd,1c66ea8a-4149-432b-b5c1-418e8ee6f1bd,45302000,УО,5147746369139.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВЕШНЯКИ""",Многоквартирный,Исправный,2356.4,1178.1,-,-,-,,,,,77:03:0007001:1015,3f41ecdd-35a3-42a5-89cf-5bc099b53880,,,37.7973583,55.7252112,30,POINT (37.7973583 55.7252112)
"111395, Москва г, ул. Вешняковская, д. 22, корп. 1",e6c8f3d6-8102-4654-a5d7-e6e48189dc51,e6c8f3d6-8102-4654-a5d7-e6e48189dc51,45302000,УО,5147746369139.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВЕШНЯКИ""",Многоквартирный,Исправный,4303.3,2394.0,-,-,-,,,,,77:03:0007003:1036,dcd377cb-76cb-4bb2-ac77-4fe6bd63b681,,,37.820908,55.71997,30,POINT (37.820908 55.71997)
