Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 11",3cabdf3e-46e6-423d-90da-f9475bab24fc,e2b601d1-9dce-4daa-93c2-633ee59f7f5c,45317000,Не выбран,,,,Жилой,Исправный,90.0,,-,-,-,,,,,,e35a21e9-67f2-4f23-8ce4-ac612faf1617,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 13",2a018a41-7a74-4c3d-a344-5acc98e4b2dd,1389f7e1-1948-43c5-a769-944efdf1777d,45317000,Не выбран,,,,Жилой,Исправный,211.0,,-,-,-,,,,,нет,aa3fac94-7f73-4b19-90c1-e37f44c18e41,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 14",b1252bad-026c-47f9-8008-1bcd037ce7f8,1bd548bd-d46a-4991-9062-57eeb638a2ce,45317000,Не выбран,,,,Жилой,Исправный,113.0,,-,-,-,,,,,нет,2f425822-4ee5-4c9a-9972-7ef1a0274c42,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 14, строение 1",3e2e8c96-b486-40d9-8430-82080a5544b3,ac2010c3-0c83-47e6-b67e-ea555f181975,45317000,Не выбран,,,,Жилой,Исправный,275.0,,-,-,-,,,,,,b7b9d5bb-e932-437f-8662-96fede681cb8,,,37.1928963,55.6036271,0,POINT (37.1928963 55.6036271)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 15",3cd18f5c-0d3b-42c1-8f66-7e2aa9600b4e,55cc8c65-03a7-46f2-ae61-e8a6e3420b25,45317000,Не выбран,,,,Жилой,Исправный,69.0,,-,-,-,,,,,,4bdf6f2e-2da0-478f-ba69-ebdcdd0b5e56,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 16",97579fa4-aa20-4350-825b-1ea4596ae872,f737b366-5776-4bfa-a25d-3f559dcfac13,45317000,Не выбран,,,,Жилой,Исправный,79.0,,-,-,-,,,,,,1b05d0ea-fc44-4689-8f4d-7b30006c62bf,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 18А",9891ed29-2162-44af-ba4a-d27a51c4af59,f15cce81-7ca6-4dd5-b9f3-f28395cc7946,45317000,Не выбран,,,,Жилой,Исправный,71.0,,-,-,-,,,,,,1ab3a26a-b3c8-4831-9102-71b1b961ff2a,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 1Б",46be4128-a31a-44dc-bb5f-4069feff391f,3bcb5060-5836-48ed-a8de-03b7c1816e53,45317000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,97.0,,-,-,-,,,,,,f95fa396-b1d6-4723-9c2c-94c0293467a6,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 1, строение 1",b91bfe1e-1f54-453b-a38e-dcfa7b39a65c,c41c0051-0540-48e9-9d13-0d5289b2187f,45317000,Не выбран,,,,Жилой,Исправный,14.0,,-,-,-,,,,,,b02a25b0-ca9a-4b6a-9dc3-8422f97bb020,,,37.187625,55.607006,0,POINT (37.187625 55.607006)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 20",54df56c2-86b7-4505-8ae8-4cba3790adef,0157feab-31e2-4a88-b68e-3b721c528f89,45317000,Не выбран,,,,Жилой,Исправный,81.0,,-,-,-,,,,,,1140ba4b-5c58-44b9-8f59-aa918a6bba08,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 20А",c0941dab-1c69-48d5-89e5-01b8f30a0065,c464126b-3486-44ad-83fa-20e930be28bd,45317000,Не выбран,,,,Жилой,Исправный,104.0,,-,-,-,,,,,,0bd0ad49-52bd-4825-8641-7344bf2b0386,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 21",6cc6b5a1-d6bd-44b1-86a1-cff7822cda61,6fd2169e-10e5-4995-884d-e1444445400c,45317000,Не выбран,,,,Жилой,Исправный,37.0,,-,-,-,,,,,,f0b55119-8544-4a6f-a0dc-558a2e8b760c,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 23",fe9da49f-1204-4822-bddb-742f364cc8b2,f24c9851-b57c-4b59-b109-17fe4aa7a544,45317000,Не выбран,,,,Жилой,Исправный,93.0,,-,-,-,,,,,,d90d7cfa-7b29-478d-a40b-e1d849799486,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
"108809, Москва г, д. Толстопальцево, ул. Советская, д. 25",bb769bc5-335e-492c-b9c3-46ed9165b5c0,d691bfdd-4970-4efb-acbc-23b5d3f783dc,45317000,Не выбран,,,,Жилой,Исправный,154.0,,-,-,-,,,,,,75b1cd53-8475-4727-8b7c-fbe470bce086,,,37.1898994,55.6071768,0,POINT (37.1898994 55.6071768)
