Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"125130, Москва г, пер. 2-й Новоподмосковный, д. 10, корп. 1",cd3e256d-cfe3-475f-a77b-bbd418ec3ef5,cd3e256d-cfe3-475f-a77b-bbd418ec3ef5,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,1654.0,1610.8,-,-,-,,,,,77:09:0003018:1064,f774a5da-8ee6-4e78-a9a6-66ab788b6277,,,37.5092074,55.8196829,19,POINT (37.5092074 55.8196829)
"125130, Москва г, пер. 2-й Новоподмосковный, д. 10, корп. 2",d7279ae3-08fb-4948-a029-8bd263aa0205,d7279ae3-08fb-4948-a029-8bd263aa0205,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,1662.8,1616.9,-,-,-,,,,,77:09:0003018:1065,8fce1bda-d134-4981-a359-d378517abeea,,,37.5099376,55.8198799,19,POINT (37.5099376 55.8198799)
"125130, Москва г, пер. 2-й Новоподмосковный, д. 4",301515a1-d8e7-4661-9578-6698ab89a022,301515a1-d8e7-4661-9578-6698ab89a022,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,4242.1,4078,-,-,-,,,,,77:09:0003018:1060,87e3fea9-9855-407e-a7f3-b6cd97aeff42,,,37.5104466,55.81761419999999,19,POINT (37.5104466 55.81761419999999)
"125130, Москва г, пер. 2-й Новоподмосковный, д. 6",8e53be0b-4bcf-46bd-8c65-72757e39c600,8e53be0b-4bcf-46bd-8c65-72757e39c600,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,14261.0,14258.8,-,-,-,,,,,77:09:0003018:1062,6d23290d-b5ab-41bd-b1b1-c874d615f571,,,37.5118661,55.81881060000001,19,POINT (37.5118661 55.81881060000001)
"125130, Москва г, пер. 2-й Новоподмосковный, д. 8",2ccfc6d5-4033-42a3-b6e5-370f0b9c6ef5,2ccfc6d5-4033-42a3-b6e5-370f0b9c6ef5,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,8537.1,6377.5,-,-,-,,,,,77:09:0003018:1063,33a38024-fe4f-45e7-a573-6479bd513c94,,,37.509441,55.819053,19,POINT (37.509441 55.819053)
"125130, Москва г, пер. 3-й Новоподмосковный, д. 3, корп. 3",002101d3-f97f-4d37-8f5a-20a8dce78bf0,002101d3-f97f-4d37-8f5a-20a8dce78bf0,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,1518.1,1518.1,-,-,-,,,,,77:09:0003018:1066,220e1065-3854-42f3-a187-53fe123c54db,,,37.512541,55.81839189999999,19,POINT (37.512541 55.81839189999999)
"125130, Москва г, пер. 3-й Новоподмосковный, д. 4, корп. 4",bfba94d5-1080-463f-8991-927e6b36d218,bfba94d5-1080-463f-8991-927e6b36d218,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,1593.1,1593.1,-,-,-,,,,,77:09:0003018:1067,b598e651-4ef8-46b0-8346-1326bcd75507,,,37.5137156,55.8187353,19,POINT (37.5137156 55.8187353)
"125130, Москва г, пер. 3-й Новоподмосковный, д. 6",429a0774-f4c5-48c6-97cb-6abdb6701651,429a0774-f4c5-48c6-97cb-6abdb6701651,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,15807.7,14164.6,-,-,-,,,,,77:09:0003018:1068,90e55ab7-8504-4062-a3d8-b2efd1d237a0,,,37.51446,55.819507,19,POINT (37.51446 55.819507)
"125130, Москва г, пер. 3-й Новоподмосковный, д. 8",14783e91-ae00-414c-b061-af06f62a4013,14783e91-ae00-414c-b061-af06f62a4013,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,4259.5,4259.5,-,-,-,,,,,77:09:0003018:1069,407ac74f-565f-4092-885b-239d8eea38fd,,,37.5140267,55.8201494,19,POINT (37.5140267 55.8201494)
"125130, Москва г, пер. 4-й Новоподмосковный, д. 3",6f1d9626-7775-45a7-b931-9007fcabacbb,6f1d9626-7775-45a7-b931-9007fcabacbb,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,3945.5,2645.7,-,-,-,,,,,77:09:0003016:1018,a16e4c82-ce4b-4dc4-9960-3a1c9b0c9025,,,37.502392,55.8221139,19,POINT (37.502392 55.8221139)
