Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дублинская, д. 12",65fc4a50-ede3-4b70-a448-eb4192b26c1c,82639ca1-bbd9-4f22-92d5-844d5a8b77bb,45948000,Не выбран,,,,Жилой,Исправный,73.9,,-,-,-,,,,,,a2023eab-a739-43f9-8c52-8363806b01f0,,,37.5666333,55.86393270000001,31,POINT (37.5666333 55.86393270000001)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дублинская, д. 20",c578aaeb-1b7d-4dfd-a523-810becf55022,be01b9fe-502c-4d74-b7eb-9dfb7d1c7677,45948000,Не выбран,,,,Жилой,Исправный,206.8,,-,-,-,,,,,,7a9e63c3-83c3-40ec-8704-6a749c94e787,,,37.559759,55.8727427,31,POINT (37.559759 55.8727427)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дублинская, д. 22",c353e708-715f-45fd-913e-43ffe2b7f0ce,15488b63-6772-4f54-b1aa-63962185275e,45948000,Не выбран,,,,Жилой дом блокированной застройки,,,,-,-,-,,,,,,6503f463-072d-44f5-850e-4e500f282bdc,,,37.5585296,55.8738009,31,POINT (37.5585296 55.8738009)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дублинская, д. 24",61876889-9cd3-4957-b681-db2e8a650ac7,fcfd82fe-28f5-446e-8e63-315eab1aca13,45948000,Не выбран,,,,Жилой,Исправный,211.3,,-,-,-,,,,,,68e433d6-eda8-4d21-8c70-ef84f293a798,,,37.559569,55.8731795,31,POINT (37.559569 55.8731795)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дублинская, д. 6",de7719fa-5811-4750-9677-016db39272d1,abacee97-be55-4986-9363-998af0d99e06,45948000,Не выбран,,,,Жилой,Исправный,79.5,,-,-,-,,,,,,599e403f-a117-43dd-aa65-f8c3caafbde7,,,37.5684907,55.85942069999999,31,POINT (37.5684907 55.85942069999999)
"127247, Москва г, ул. 800-летия Москвы, д. 14",377206f1-b68b-4950-b236-1aa381fc4cba,377206f1-b68b-4950-b236-1aa381fc4cba,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,14913.9,14231,-,-,-,,,,,,acc27c24-689b-4951-95d7-747059351f52,,,37.548174,55.8784,31,POINT (37.548174 55.8784)
"127247, Москва г, ул. 800-летия Москвы, д. 16",16d6fae1-b95b-4bd1-ac71-f61100aa5192,16d6fae1-b95b-4bd1-ac71-f61100aa5192,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,24442.5,24153,-,-,-,,,,,,50251bad-3f58-4d8e-8f06-75fa87ac6109,,,37.5509975,55.8783901,31,POINT (37.5509975 55.8783901)
"127247, Москва г, ул. 800-летия Москвы, д. 18",66280c22-4929-4d86-8ed5-1b3c76ab49ed,66280c22-4929-4d86-8ed5-1b3c76ab49ed,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,7544.4,7084,-,-,-,,,,,,7620e74b-b88c-4235-ac5b-671e98f5a64a,,,37.5533682,55.8793387,31,POINT (37.5533682 55.8793387)
"127247, Москва г, ул. 800-летия Москвы, д. 20",ee3974b8-218a-4fa5-9029-f6ae3cdfb132,ee3974b8-218a-4fa5-9029-f6ae3cdfb132,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,24545.5,14822,-,-,-,,,,,,7ff73974-83bb-421f-8fa1-3a53bff6882a,,,37.554254,55.8789527,31,POINT (37.554254 55.8789527)
"127247, Москва г, ул. 800-летия Москвы, д. 22, корп. 1",f4b8d754-c664-42aa-b3f7-3677fea0341d,f4b8d754-c664-42aa-b3f7-3677fea0341d,45337000,ЖК,1027700110976.0,771301001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СВИЯГА""",Многоквартирный,Исправный,7390.8,6956.3,-,-,-,,,,,77:09:0002027:1060,aeab40a2-f928-4cc5-9024-405183cbc1f1,,,37.5573239,55.8791877,31,POINT (37.5573239 55.8791877)
"127247, Москва г, ул. 800-летия Москвы, д. 22, корп. 2",8c508cc2-2d64-4b3e-8f6e-e788f79421b9,8c508cc2-2d64-4b3e-8f6e-e788f79421b9,45337000,ЖК,1027700325564.0,771301001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СВИРЬ""",Многоквартирный,Исправный,9419.2,6952.1,-,-,-,,,,,77:09:0002027:1061,fb97b4d4-29c2-4827-8f6d-63c2e0b8a130,,,37.55638769999999,55.8793771,31,POINT (37.55638769999999 55.8793771)
"127474, Москва г, б-р. Бескудниковский, д. 8, корп. 1",d9ee55a7-f77b-42d9-b1bc-a37a646e13cf,834fafa9-3699-4f77-8a16-f6dfab5248b5,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,9268.9,4962,-,-,-,,,,,,adc5e806-b5f3-462e-a47a-830157005279,,,37.5646788,55.8597548,31,POINT (37.5646788 55.8597548)
"127474, Москва г, б-р. Бескудниковский, д. 8, корп. 2",42c8bb43-a92f-481f-87c3-574321a0a7c0,81f37216-3747-4146-97ec-9638e9b35a8e,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,9231.7,5301,-,-,-,,,,,,954670b1-8c1b-4a30-b2a3-91a12a9e828a,,,37.5640619,55.8605376,31,POINT (37.5640619 55.8605376)
"127474, Москва г, б-р. Бескудниковский, д. 8, корп. 3",cb141279-c773-4ca4-9fcd-2793f68eccb8,e6129434-d9b5-4153-9424-2919f6b10035,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,6138.2,6228.7,-,-,-,,,,,,bfa70b7b-0455-4815-9ab9-e3be16372c15,,,37.5660639,55.8599583,31,POINT (37.5660639 55.8599583)
"127474, Москва г, б-р. Бескудниковский, д. 8, корп. 4",f6927b9d-52f2-4e14-aad7-9acca28e8abf,f6927b9d-52f2-4e14-aad7-9acca28e8abf,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,11239.6,10547,-,-,-,,,,,,6a2d376c-9aa3-4d29-85ed-56182637a252,,,37.5643357,55.861144,31,POINT (37.5643357 55.861144)
"127474, Москва г, ул. Дубнинская, д. 13",9e8b22c6-8574-47d9-9d37-33ad3c2281b1,62c0d6f6-a64e-467b-bd98-1a1f8c3aeef8,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,19740.6,10680,-,-,-,,,,,,40633609-f766-4a43-b755-594bada9409c,,,37.56701839999999,55.8600248,31,POINT (37.56701839999999 55.8600248)
"127474, Москва г, ул. Дубнинская, д. 15, корп. 1",80ac3536-9d3b-432b-87ef-044e43fee592,80ac3536-9d3b-432b-87ef-044e43fee592,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,7660.5,4070,-,-,-,,,,,,7689e8d1-8d29-4a92-9b41-ba401cd82257,,,37.567281,55.860553,31,POINT (37.567281 55.860553)
"127474, Москва г, ул. Дубнинская, д. 15, корп. 2",2caa1df4-5827-405a-91f8-99b3f15b9aa3,2caa1df4-5827-405a-91f8-99b3f15b9aa3,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,7680.0,4077,-,-,-,,,,,,375d3d72-242d-4e90-b578-f2b508e9a2a0,,,37.5660219,55.86072,31,POINT (37.5660219 55.86072)
"127474, Москва г, ул. Дубнинская, д. 17, корп. 1",ed90b013-1217-4b3b-b257-533db370cc04,da38a988-3d05-49dd-8d94-60a03c489c9f,45337000,УО,1157746503903.0,771301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНОЕ ДЕГУНИНО""",Многоквартирный,Исправный,8263.3,4392,-,-,-,,,,,,244dbfa2-f81a-4059-8b68-1c6e76bd06cd,,,37.567179,55.861043,31,POINT (37.567179 55.861043)
