Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"105173, Москва г, ул. Главная, д. 1",848ed496-7e90-4ce1-bad7-e0120dafa98b,848ed496-7e90-4ce1-bad7-e0120dafa98b,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,1976.6,1724,-,-,-,,,,,77:03:0008001:1156,09662f3a-8e92-4e65-988d-c389e557794d,,,37.8606145,55.8179329,1,POINT (37.8606145 55.8179329)
"105173, Москва г, ул. Главная, д. 11",bedfa4f0-92fa-4c56-989a-bc48505aaf0d,bedfa4f0-92fa-4c56-989a-bc48505aaf0d,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,2527.6,1916,-,-,-,,,,,77:03:0008001:1166,5b2732e7-49ea-4673-9b19-2890f7ebb4e6,,,37.8656692,55.8193705,1,POINT (37.8656692 55.8193705)
"105173, Москва г, ул. Главная, д. 15",94d90cb0-58dc-4685-9a91-f1806b24d61d,94d90cb0-58dc-4685-9a91-f1806b24d61d,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,3401.8,3402,-,-,-,,,,,77:03:0008001:1168,d80d1832-245a-421c-926b-a3f6b1fb819b,,,37.8673954,55.8199453,1,POINT (37.8673954 55.8199453)
"105173, Москва г, ул. Главная, д. 17",0b0f0887-56d3-4136-a589-1d6e9e296336,0b0f0887-56d3-4136-a589-1d6e9e296336,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,3487.5,3488,-,-,-,,,,,77:03:0008001:1171,29288b2b-7bf3-41cf-bcd0-0042a1703e95,,,37.8681746,55.81989309999999,1,POINT (37.8681746 55.81989309999999)
"105173, Москва г, ул. Главная, д. 19",d5b2e1bf-f7c2-4762-9371-9ac0dd41303b,d5b2e1bf-f7c2-4762-9371-9ac0dd41303b,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,3380.9,3381,-,-,-,,,,,77:03:0008001:1173,21326672-00b4-4b3c-9103-83a590dc745f,,,37.8687559,55.8200953,1,POINT (37.8687559 55.8200953)
"105173, Москва г, ул. Главная, д. 19А",9468d8ee-0783-445f-bdb9-ddcc1d706517,9468d8ee-0783-445f-bdb9-ddcc1d706517,45304000106,УО,1067746822813.0,771901001.0,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ №56 РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,10599.7,10585,-,-,-,,,,,77:03:0008001:1174,20e86e72-2fad-4b67-ae72-c4ce0660070c,,,37.869203,55.82019,1,POINT (37.869203 55.82019)
"105173, Москва г, ул. Главная, д. 2",4ea097d0-b39f-46e7-9040-ddbafce06c5c,4ea097d0-b39f-46e7-9040-ddbafce06c5c,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,1953.3,1720,-,-,-,,,,,77:03:0008001:1157,19a828a2-86cc-4da3-a5e9-0809acad0836,,,37.86130199999999,55.817392,1,POINT (37.86130199999999 55.817392)
"105173, Москва г, ул. Главная, д. 21",6f5b274a-0a0c-48a3-aa04-62977433b90c,6f5b274a-0a0c-48a3-aa04-62977433b90c,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,3394.5,3395,-,-,-,,,,,77:03:0008001:1176,7c26ad76-5a8f-4655-b87f-d830eb5bcf9e,,,37.87005,55.820618,1,POINT (37.87005 55.820618)
"105173, Москва г, ул. Главная, д. 22",eaed4b0a-a9f6-4f80-9963-55b91c89c011,eaed4b0a-a9f6-4f80-9963-55b91c89c011,45304000,УО,5137746233598.0,771901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,2488.8,2007,-,-,-,,,,,77:03:0008001:1177,e237dbf6-e97e-4e3f-bf3e-82f5d886850f,,,37.8708134,55.8197851,1,POINT (37.8708134 55.8197851)
"105173, Москва г, ул. Главная, д. 23",b1fc3e8f-669d-448e-9770-eb30396844f5,b1fc3e8f-669d-448e-9770-eb30396844f5,45304000106,УО,1067746822813.0,771901001.0,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ №56 РАЙОНА ВОСТОЧНЫЙ""",Многоквартирный,Исправный,7138.3,7124.3,-,-,-,,,,,77:03:0008001:1178,a2627ef4-4b8c-4ce9-ac34-3972b34ba16c,,,37.8713604,55.8218276,1,POINT (37.8713604 55.8218276)
