Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"109145, Москва г, б-р. Жулебинский, д. 1",cfe721bf-d4fe-42ad-aa8e-923a8010b3b8,cfe721bf-d4fe-42ad-aa8e-923a8010b3b8,45385000,УО,5137746246303.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ВЫХИНО РАЙОНА ""ВЫХИНО-ЖУЛЕБИНО""",Многоквартирный,Исправный,12292.2,5679,-,-,-,,,,,77:04:0005004:1020,c0e0f011-d0ff-4da3-b394-11d16ae4d970,,,37.8426136,55.6996884,82,POINT (37.8426136 55.6996884)
"109145, Москва г, б-р. Жулебинский, д. 2, корп. 2",0c593429-3fa7-4b7c-b89d-23a12e4f5a40,0c593429-3fa7-4b7c-b89d-23a12e4f5a40,45385000,ЖК,1037739516374.0,772101001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЖУЛЕБИНО-7""",Многоквартирный,Исправный,11900.8,11720,-,-,-,,,,,77:04:0005004:1014,49f078db-9501-40b1-9ccf-95bba655faba,,,37.8426303,55.7011017,82,POINT (37.8426303 55.7011017)
"109145, Москва г, б-р. Жулебинский, д. 5",4522a636-6f38-4110-b23d-1db2cd927ea3,dfea9846-84fe-442a-9ffa-285fc4406816,45385000,УО,1217700120780.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МОДЕРН""",Многоквартирный,Исправный,62413.7,45440.3,-,-,-,,,,,77:04:0005004:1018,38f19d6f-3788-4f50-be92-ae4f8ba97a76,,,37.84493500000001,55.69811809999999,82,POINT (37.84493500000001 55.69811809999999)
"109145, Москва г, проезд. Привольный, д. 10",5b19c3ee-09dc-4bd0-82bc-492b11e637c3,5b19c3ee-09dc-4bd0-82bc-492b11e637c3,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,ed141916-10ce-4c7d-b67a-6e0d497c444c,,,37.837334,55.70064799999999,82,POINT (37.837334 55.70064799999999)
"109145, Москва г, проезд. Привольный, д. 11, строение 1",63cb1199-21d3-49d8-b3a2-f97df201102d,a0d23561-5225-4247-be7a-0828b9b0be58,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,988649be-860a-4315-a838-ad4e5fb5f4d3,,,37.846456,55.695832,82,POINT (37.846456 55.695832)
"109145, Москва г, проезд. Привольный, д. 12",f81cdb7a-d18d-443b-8a85-41194825c15a,f81cdb7a-d18d-443b-8a85-41194825c15a,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,eb7f1001-f3ae-4644-a5e1-2be14f91c3ed,,,37.8367302,55.69736289999999,82,POINT (37.8367302 55.69736289999999)
"109145, Москва г, проезд. Привольный, д. 14",69fd8d9f-76e1-4caf-abd6-addcf50f6763,69fd8d9f-76e1-4caf-abd6-addcf50f6763,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,7144d9ef-e1ba-4adf-98f7-04dc1fcc6c14,,,37.8425578,55.6964958,82,POINT (37.8425578 55.6964958)
"109145, Москва г, проезд. Привольный, д. 16",6843cc91-8c67-420e-b43f-7742bb10cb50,6843cc91-8c67-420e-b43f-7742bb10cb50,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,01e471d5-f874-47c6-b402-4c6803d8f562,,,37.8446223,55.6966529,82,POINT (37.8446223 55.6966529)
"109145, Москва г, проезд. Привольный, д. 18",798cb126-f494-4969-8ac9-6b0f62f7c193,798cb126-f494-4969-8ac9-6b0f62f7c193,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,e5653cc3-4722-446f-93a2-971c24a7b309,,,37.8466422,55.6962199,82,POINT (37.8466422 55.6962199)
"109145, Москва г, проезд. Привольный, д. 20",3733f649-0e4f-42b1-98bd-b2f7b808b43d,3733f649-0e4f-42b1-98bd-b2f7b808b43d,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,59af7a08-800d-4e95-aad6-ac898b006a1e,,,37.8466839,55.69615760000001,82,POINT (37.8466839 55.69615760000001)
"109145, Москва г, проезд. Привольный, д. 4, строение 1",cc1caef0-9619-4cb3-90fb-62acd7261bb2,cc1caef0-9619-4cb3-90fb-62acd7261bb2,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,a4910e28-42e8-4edd-ae55-54b5098b86ee,,,37.845104,55.695986,82,POINT (37.845104 55.695986)
"109145, Москва г, проезд. Привольный, д. 5",aac82929-00ab-4182-8fc9-90c17c7640eb,aac82929-00ab-4182-8fc9-90c17c7640eb,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,97a7c8cc-ba47-43b1-bdaf-44aff9022741,,,37.841412,55.702653,82,POINT (37.841412 55.702653)
"109145, Москва г, проезд. Привольный, д. 6",7671ce46-5b05-4769-b8a4-2ec2f31bbb34,7671ce46-5b05-4769-b8a4-2ec2f31bbb34,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,ece28317-32af-4d62-a1bc-e94e805d3464,,,37.8388562,55.7018695,82,POINT (37.8388562 55.7018695)
"109145, Москва г, проезд. Привольный, д. 7, строение 1",b84f3fc3-3c70-4cce-a046-ae2443bbcffc,b84f3fc3-3c70-4cce-a046-ae2443bbcffc,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,ebfd9e71-0016-489d-81e9-d15f17b79b17,,,37.8455399,55.6961682,82,POINT (37.8455399 55.6961682)
"109145, Москва г, проезд. Привольный, д. 8",3d37f83b-93c7-4a94-8f14-5fb6e55de1ab,3d37f83b-93c7-4a94-8f14-5fb6e55de1ab,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,1b06111b-5552-4db7-9368-c536ce23068f,,,37.838153,55.701512,82,POINT (37.838153 55.701512)
"109145, Москва г, проезд. Привольный, д. 9, строение 1",3cb14552-4946-446a-9f81-d39662f5f30a,3cb14552-4946-446a-9f81-d39662f5f30a,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,84640b63-8da4-4050-bb83-7c20ac78d86b,,,37.839918,55.701345,82,POINT (37.839918 55.701345)
"109145, Москва г, ул. Привольная, д. 13, корп. 1",862fdef8-5e99-4b37-bf0f-24c4905deee0,04dcaee0-3664-4ee4-b987-d1ce9dfeac56,45385000,ЖК,1037700229930.0,772101001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЖУЛЕБИНО""",Многоквартирный,Исправный,15104.7,14608.2,-,-,-,,,,,77:04:0005004:1036,a85ce9df-543b-4492-a286-03f9e0c8b9d5,,,37.838526,55.700045,82,POINT (37.838526 55.700045)
"109145, Москва г, ул. Привольная, д. 15",b681f819-e64c-402d-bee0-6fcaebfd1375,b681f819-e64c-402d-bee0-6fcaebfd1375,45385000,ЖК,1027739836354.0,772101001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЖУЛЕБИНО - 1""",Многоквартирный,Исправный,14919.1,14434.9,-,-,-,,,,,77:04:0005004:1038,822e3daa-6f49-4eb3-b11a-5691848d6277,,,37.8388302,55.6987349,82,POINT (37.8388302 55.6987349)
"109145, Москва г, ул. Привольная, д. 16",f01d71c4-a170-4053-9c01-ea29be8e6f2d,f01d71c4-a170-4053-9c01-ea29be8e6f2d,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,fd6e7aee-d2ea-4200-a359-97fe50c7d97c,,,37.8446223,55.6966529,82,POINT (37.8446223 55.6966529)
"109145, Москва г, ул. Привольная, д. 18",28ca9fbb-b7ac-410c-967e-79ab0b2aedc3,28ca9fbb-b7ac-410c-967e-79ab0b2aedc3,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,de43b86a-5e34-450a-a44a-6b84f1fc70ce,,,37.8466422,55.6962199,82,POINT (37.8466422 55.6962199)
"109145, Москва г, ул. Привольная, д. 19",65872e9d-d1b7-4436-8066-332e878efffe,65872e9d-d1b7-4436-8066-332e878efffe,45385000,УО,5147746173504.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ""УЮТНЫЙ ДОМ-М""",Многоквартирный,Исправный,11868.6,6057,-,-,-,,,,,77:04:0005004:1032,a884f367-af53-4759-bb1a-4d50a3ae64aa,,,37.8423928,55.69814659999999,82,POINT (37.8423928 55.69814659999999)
"109145, Москва г, ул. Привольная, д. 20",fc68938c-2e26-43e6-b86d-d03ebf9a8f7e,fc68938c-2e26-43e6-b86d-d03ebf9a8f7e,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,5082e4b1-7e65-40f7-8cc8-a2f052f20ad6,,,37.8466839,55.69615760000001,82,POINT (37.8466839 55.69615760000001)
"109145, Москва г, ул. Привольная, д. 21",e76a9473-8a15-49d8-ab56-aeafd55b8fd5,63c9ee53-c63b-4968-a87c-d66c24eff8d4,45385000,УО,5147746173504.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ""УЮТНЫЙ ДОМ-М""",Многоквартирный,Исправный,13424.4,5932,-,-,-,,,,,77:04:0005004:1033,53882753-3d8b-4735-bc5c-1908b73e46c3,,,37.843311,55.697818,82,POINT (37.843311 55.697818)
"109145, Москва г, ул. Привольная, д. 22",39dff83e-7b38-4682-abd3-3b06b53d37b0,7c1de934-96f3-410d-8a61-4d0e582ccb63,45385000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,766f299f-bd52-41f4-b282-76c50ed80bf2,,,37.8465617,55.6961229,82,POINT (37.8465617 55.6961229)
