Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108810, Москва г, п. Марушкинское, д. Власово, ул. Январская, д. 21",0019ef5a-ebdd-48c9-af5d-075fb60806c3,223f1f7a-29b6-427a-be82-c320c8ab77c2,45949000,Не выбран,,,,Жилой,Исправный,335.6,,-,-,-,,,,,нет,f6b76146-12f7-46dc-94fe-941498731968,,,37.501467,55.842192,20,POINT (37.501467 55.842192)
"125212, Москва г, б-р. Кронштадтский, д. 6, корп. 1",0bc10a96-88c9-45ad-ab8e-7aec5df17a13,63a9f16b-bd62-40f4-b62d-95d22a2dfd58,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,22570.7,9725.7,нет,нет,-,,,,,77:09:0001025:4709,81a7ca6d-f7a0-4b7e-a4d6-f33e19ef23b6,,,37.4930931,55.8409565,20,POINT (37.4930931 55.8409565)
"125212, Москва г, б-р. Кронштадтский, д. 6, корп. 2",8ec090ed-0818-4aa8-ad03-3361ac991ee9,b059aa5c-30f7-44b4-810a-caaec82eb3b4,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,22583.8,1847.6,нет,нет,-,,,,,77:09:0001025:4294,5b07dcb4-481e-4253-9e1b-58fb71a5b0b6,,,37.4934719,55.8410589,20,POINT (37.4934719 55.8410589)
"125212, Москва г, б-р. Кронштадтский, д. 6, корп. 3",d39b3ff5-13b3-41f8-af06-b841c26b5d5a,73f74977-85ac-45de-a261-8004f69215ee,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,22731.9,10930.6,нет,нет,-,,,,,77:09:0001025:5565,2bdcf46c-478a-45ee-8a7d-e1cda81b2721,,,37.4952852,55.8409589,20,POINT (37.4952852 55.8409589)
"125212, Москва г, б-р. Кронштадтский, д. 6, корп. 4",66776baf-67e4-459f-bb1c-6f400e5e8f7f,fc845a9f-9017-4a91-9136-ae15adb55c91,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,22563.3,5580.3,нет,нет,-,,,,,77:09:0001025:5138,1bf647a7-436b-4b27-9cdc-779b2b248df3,,,37.4943852,55.84075490000001,20,POINT (37.4943852 55.84075490000001)
"125212, Москва г, б-р. Кронштадтский, д. 6, корп. 5",0867b1b8-9f55-4a83-8b8d-fc1a04d6a5ab,ba0eb262-c0d4-4e68-a045-afc6d95e72e2,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,22679.9,8936.9,нет,нет,-,,,,,77:09:0001025:3897,29ea0437-0980-4765-a7ea-3dc2444f7ee5,,,37.4935179,55.8405297,20,POINT (37.4935179 55.8405297)
"125212, Москва г, ул. Адмирала Макарова, д. 14",939a39c4-9aa1-4a83-82bf-b3971c0d8eab,939a39c4-9aa1-4a83-82bf-b3971c0d8eab,45336000,УО,1197746321563.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЛИМП ЖКХ""",Многоквартирный,Исправный,5681.9,5772,-,-,-,,,,,77:09:0001022:1013,a23dfd2f-7c40-4669-8a28-b10ad243fca2,,,37.4884079,55.8388418,20,POINT (37.4884079 55.8388418)
"125212, Москва г, ул. Пулковская, д. 2",677923d4-6506-4ba4-bd71-327002a8df28,6f7f45cc-6d3d-41d9-bf1f-bd440e20cbd7,45338000,УО,5157746035398.0,772501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ПРЕИМУЩЕСТВО""",Многоквартирный,Исправный,94085.0,51724.8,нет,нет,-,,,,,77:09:0001020:2907,1ffb535a-3f92-456b-bd9a-7185757d8802,,,37.483225,55.845173,20,POINT (37.483225 55.845173)
"125212, Москва г, ш. Головинское, д. 11",ff2ffddc-ef3d-4efd-b82c-55df2ad6569a,ff2ffddc-ef3d-4efd-b82c-55df2ad6569a,45338000,УО,1217700236710.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ТАЛИСМАН""",Многоквартирный,Исправный,45930.8,25491.9,-,-,-,,,,,77:09:0001025:6693,e782d83a-734c-4866-a25f-a5522533a792,,,37.4957362,55.8403984,20,POINT (37.4957362 55.8403984)
"125212, Москва г, ш. Головинское, д. 4",2207cbe2-b5fe-488d-a483-4a3bc33a5127,2207cbe2-b5fe-488d-a483-4a3bc33a5127,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,3912.1,2916.6,-,-,-,,,,,77:09:0001022:1007,4384c3c4-0c10-48a3-9f32-21070e71d0dd,,,37.4884258,55.839185,20,POINT (37.4884258 55.839185)
"125212, Москва г, ш. Головинское, д. 6",54be2cb3-afd8-466e-a04c-b60aabca1e79,54be2cb3-afd8-466e-a04c-b60aabca1e79,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,3356.6,3350,-,-,-,,,,,77:09:0001022:1008,59f53159-3818-4ab9-9319-ee439f027cd8,,,37.4884296,55.8391822,20,POINT (37.4884296 55.8391822)
"125212, Москва г, ш. Головинское, д. 7",aabec500-731c-4fea-af05-7933276c436f,4b37c436-0520-4a55-a7b7-ab66b02fcff9,45338000,УО,1165047060353.0,504701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВЫСОТА 4884. СЕРВИС""",Многоквартирный,Исправный,13564.3,11217.5,нет,нет,-,,,,,77:09:0001025:6049,b584dab5-3db9-4f60-a15b-e3a786b38273,,,37.4932968,55.8395649,20,POINT (37.4932968 55.8395649)
"125212, Москва г, ш. Головинское, д. 8А",2285febd-ccf0-4a52-bee7-b2b8f712f36e,2285febd-ccf0-4a52-bee7-b2b8f712f36e,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,3443.7,3443.7,-,-,-,,,,,77:09:0001022:1011,622fbdb3-bc9e-4358-9403-6406a0e882ce,,,37.4914341,55.83935779999999,20,POINT (37.4914341 55.83935779999999)
"125212, Москва г, ш. Головинское, д. 8, корп. 1",7e3a5c82-a848-4330-9282-c3872c014fb4,7e3a5c82-a848-4330-9282-c3872c014fb4,45336000,УО,5147746369029.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ВОЙКОВСКИЙ""",Многоквартирный,Исправный,3232.7,2484.3,-,-,-,,,,,77:09:0001022:1009,182af84d-9f32-4d01-969f-31719e0cd42c,,,37.4911756,55.839034,20,POINT (37.4911756 55.839034)
"125413, Москва г, б-р. Кронштадтский, д. 49",0eb02ad4-cd21-4963-bc3e-0eb352206d81,0eb02ad4-cd21-4963-bc3e-0eb352206d81,45338000,УО,5147746284802,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ГОЛОВИНСКОГО РАЙОНА""",Многоквартирный,Исправный,3799.3,3468.3,-,-,-,,,,,,a1b203de-7394-49c7-b8c0-43364269f3d9,,,37.512182,55.852839,20,POINT (37.512182 55.852839)
"125413, Москва г, б-р. Кронштадтский, д. 49, корп. 1",68bb6f0c-b810-4309-8c76-1fb7ec599e34,68bb6f0c-b810-4309-8c76-1fb7ec599e34,45338000,УО,1097746503106,770801001.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВК КОМФОРТ""",Многоквартирный,Исправный,35963.2,23685.9,-,-,-,,,,,77:09:0001016:1086,35182ea9-a2b9-4e5d-92d3-25f3365423da,,,37.509523,55.853264,20,POINT (37.509523 55.853264)
"125413, Москва г, б-р. Кронштадтский, д. 51",1561db78-e418-4e3c-a3d6-893e14fe3d4b,1561db78-e418-4e3c-a3d6-893e14fe3d4b,45338000,УО,1167746217209,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УК ""ПЕРФЕКТ ЖКХ""",Многоквартирный,Исправный,3492.2,3492.2,-,-,-,,,,,77:09:0001016:1029,63693931-17fe-4163-a2ff-c6ecbf285fba,,,37.512883,55.852778,20,POINT (37.512883 55.852778)
"125413, Москва г, б-р. Кронштадтский, д. 53",116eb768-7d68-4575-9597-7a5942bd4723,116eb768-7d68-4575-9597-7a5942bd4723,45338000,УО,5147746284802,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ГОЛОВИНСКОГО РАЙОНА""",Многоквартирный,Исправный,3912.4,3535.4,-,-,-,,,,,,deaff2d0-4d36-4c4d-9078-6425c4e530e3,,,37.513556,55.852789,20,POINT (37.513556 55.852789)
"125413, Москва г, б-р. Кронштадтский, д. 55",5752a865-a919-40fc-9bb1-036cf062ab81,5752a865-a919-40fc-9bb1-036cf062ab81,45338000,УО,1067758024685,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ ""ГОЛОВИНСКИЙ""",Многоквартирный,Исправный,7018.2,7018.2,-,-,-,,,,,77:09:0001016:1031,f909513e-74f1-4cca-8661-e0b9aa7fbb13,,,37.514769,55.853046,20,POINT (37.514769 55.853046)
"125413, Москва г, б-р. Кронштадтский, д. 55А",75a4ac0b-bf47-410f-9f42-0403f9137bd1,3e768a42-34c0-43d0-9320-fb7efbb96e82,45338000,УО,5147746284802,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ГОЛОВИНСКОГО РАЙОНА""",Многоквартирный,Исправный,24005.6,,-,-,-,,,,,77:09:0001016:10111,00ad9d3c-8ea0-432e-b63c-b889c52fb790,,,37.514284,55.853617,20,POINT (37.514284 55.853617)
"125413, Москва г, б-р. Кронштадтский, д. 57",cee25bcc-34b8-41e8-a23d-7ac15c19fa0a,cee25bcc-34b8-41e8-a23d-7ac15c19fa0a,45338000,УО,1067758024685,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ ""ГОЛОВИНСКИЙ""",Многоквартирный,Исправный,5315.5,5241.3,-,-,-,,,,,77:09:0001016:1032,bafb8f0a-d55f-4631-aaa6-e75c7ce8cceb,,,37.516215,55.853087,20,POINT (37.516215 55.853087)
"125413, Москва г, ул. Онежская, д. 23",929021f0-6dea-4b73-ae64-ea0fa80edee4,929021f0-6dea-4b73-ae64-ea0fa80edee4,45338000,УО,1167746217209,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УК ""ПЕРФЕКТ ЖКХ""",Многоквартирный,Исправный,3525.3,3525.3,-,-,-,,,,,77:09:0001016:1008,ffed9a25-5614-4a07-b3b3-bd8dedfa7729,,,37.515209,55.853976,20,POINT (37.515209 55.853976)
"125413, Москва г, ул. Онежская, д. 25",b0cbbde6-d1f3-4b23-bf77-a44aca771ee7,b0cbbde6-d1f3-4b23-bf77-a44aca771ee7,45338000,УО,1167746217209,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УК ""ПЕРФЕКТ ЖКХ""",Многоквартирный,Исправный,7250.3,7250.3,-,-,-,,,,,77:09:0001016:1009,b2a5754f-db0b-4437-9985-88672fb82e4c,,,37.513413,55.853799,20,POINT (37.513413 55.853799)
"125413, Москва г, ул. Онежская, д. 27",c8a7b9da-f720-407b-bfba-58112a3469ed,c8a7b9da-f720-407b-bfba-58112a3469ed,45338000,УО,1067758024685,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ ""ГОЛОВИНСКИЙ""",Многоквартирный,Исправный,2574.6,2575.2,-,-,-,,,,,77:09:0001016:1010,1ae43c21-87f9-4312-ac12-a2f26d625a00,,,37.514122,55.854653,20,POINT (37.514122 55.854653)
"125413, Москва г, ул. Онежская, д. 28/1",ce6c2ac2-323a-4671-a4c7-f427212fe495,ce6c2ac2-323a-4671-a4c7-f427212fe495,45338000,УО,1117746173115,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ РЭУ-16""",Многоквартирный,Исправный,4262.4,3942.9,-,-,-,,,,,77:09:0001014:1009,139b6391-75d3-40c2-965e-a6b7fcfad4df,,,37.513826,55.856775,20,POINT (37.513826 55.856775)
