Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"115035, Москва г, наб. Кадашёвская, д. 36, строение 1",1059483a-6063-4667-b121-5ff9d5274f38,1059483a-6063-4667-b121-5ff9d5274f38,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,2423.9,1711.1,-,-,-,,,,,77:01:0002017:1004,113830e5-7ad2-4d63-86ef-b775694db41d,,,37.625827,55.745718,92,POINT (37.625827 55.745718)
"115035, Москва г, наб. Кадашёвская, д. 36, строение 4",c77e0973-3f2f-415a-bf6e-dcfc8a888768,c77e0973-3f2f-415a-bf6e-dcfc8a888768,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,1423.8,1142.5,-,-,-,,,,,77:01:0002017:1005,cfdb3463-fdf1-4bfe-9e40-78d1807f2996,,,37.6260644,55.7453495,92,POINT (37.6260644 55.7453495)
"115035, Москва г, наб. Космодамианская, д. 28, строение 8",0d01346d-42e1-41eb-8f0c-7b8ca0dace09,38f66065-75c3-461e-956b-7bd5007e9ab3,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,6461.6,5102.5,-,-,-,,,,,77:01:0002014:1088,aef09be7-bbec-4cc4-a512-2000e375a0a7,,,37.642377,55.740694,92,POINT (37.642377 55.740694)
"115035, Москва г, наб. Космодамианская, д. 32-34",966bc218-7411-42a0-aa87-8ccc14afe339,966bc218-7411-42a0-aa87-8ccc14afe339,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,12930.3,10688.6,-,-,-,,,,,77:01:0002014:1089,0bf6a3a2-3e2e-48df-bc92-0170d3651cae,,,37.6431714,55.7398028,92,POINT (37.6431714 55.7398028)
"115035, Москва г, наб. Космодамианская, д. 36",1ce9685f-5159-4bd2-bc08-991191bb2c43,1ce9685f-5159-4bd2-bc08-991191bb2c43,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,11830.5,9229.6,-,-,-,,,,,77:01:0002014:1090,476f13b3-6ecf-4a0e-beb8-9aba0910424c,,,37.6439317,55.73910189999999,92,POINT (37.6439317 55.73910189999999)
"115035, Москва г, наб. Космодамианская, д. 38, строение 1",fa0d03ea-ea70-4e45-a17c-981b5e71ae23,fa0d03ea-ea70-4e45-a17c-981b5e71ae23,45376000,УО,1087746477390.0,770501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТСПЕЦМОНОЛИТ""",Многоквартирный,Исправный,1459.8,771.4,-,-,-,,,,,77:01:0002014:1197,6280429c-0850-4cea-9189-080bf755b33c,,,37.644169,55.738572,92,POINT (37.644169 55.738572)
"115035, Москва г, наб. Космодамианская, д. 38, строение 3",d5270554-a3e6-4fa5-b975-b57b2c43cce0,0839aab7-1f4b-4536-95f1-1abb445b6afe,45376000,УО,1087746477390.0,770501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТСПЕЦМОНОЛИТ""",Многоквартирный,Исправный,3821.4,1850.6,-,-,-,,,,,77:01:0002014:5237,55ae6dd3-2229-4ccc-8d71-6c5585d25a1e,,,37.6445857,55.7377605,92,POINT (37.6445857 55.7377605)
"115035, Москва г, наб. Космодамианская, д. 40-42, строение 3",1db9c670-1626-4417-9d1a-81538b6f6532,1db9c670-1626-4417-9d1a-81538b6f6532,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,25686.9,20246.4,-,-,-,,,,,77:01:0002014:1092,367cc726-5806-4fab-a9bf-1c99b9453ec3,,,37.6445857,55.7377605,92,POINT (37.6445857 55.7377605)
"115035, Москва г, наб. Космодамианская, д. 4/22, корп. А",cbc1ad8d-81fe-4279-bb47-16c491ad2e40,cbc1ad8d-81fe-4279-bb47-16c491ad2e40,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,4768.5,3854.1,-,-,-,,,,,77:01:0002014:1093,cb7b4f46-1ec2-4d83-bc70-5c89a68f354b,,,37.640473,55.743613,92,POINT (37.640473 55.743613)
"115035, Москва г, наб. Космодамианская, д. 4/22, корп. Б",8f01db91-bfce-4e1d-9d15-0397b7682c5c,8f01db91-bfce-4e1d-9d15-0397b7682c5c,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,19725.2,16035.8,-,-,-,,,,,77:01:0002014:1086,aa604f22-9d43-4151-bf27-01d98c4e251f,,,37.6393304,55.74440749999999,92,POINT (37.6393304 55.74440749999999)
"115035, Москва г, наб. Космодамианская, д. 4/22, корп. В",241c9a28-dd55-4442-8a65-56cc2b2cd6dc,241c9a28-dd55-4442-8a65-56cc2b2cd6dc,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,4404.0,4012.6,-,-,-,,,,,77:01:0002014:1087,22aa7a1b-147b-47b7-95dd-bbb5e10478d8,,,37.638877,55.745092,92,POINT (37.638877 55.745092)
"115035, Москва г, наб. Космодамианская, д. 46-50, строение 1",6b088999-5556-4e2d-9393-97162b3b0b5c,6b088999-5556-4e2d-9393-97162b3b0b5c,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,20166.9,15942.3,-,-,-,,,,,77:01:0002014:1084,3e05730f-e0e9-47db-bd17-4a7347fbf4c6,,,37.6450831,55.7367157,92,POINT (37.6450831 55.7367157)
"115035, Москва г, наб. Овчинниковская, д. 18/1, строение 1",f5a44444-9017-429e-95a4-65146b67cb29,f5a44444-9017-429e-95a4-65146b67cb29,45376000,УО,5137746116646.0,770501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗАМОСКВОРЕЧЬЕ""",Многоквартирный,Исправный,4258.7,3291.8,-,-,-,,,,,77:01:0002018:1039,19d190b0-7e1a-4172-bf57-b9d34f4e6559,,,37.633111,55.744131,92,POINT (37.633111 55.744131)
