Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"117149, Москва г, ул. Азовская, д. 10",971ac1f8-d43d-4e5a-bf61-cc248b4619cd,971ac1f8-d43d-4e5a-bf61-cc248b4619cd,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,3502.2,3502.2,-,-,-,,,,,77:06:0005006:1015,1d7bfbef-33bb-4cfb-951a-e1df7d60f740,,,37.5996749,55.65888709999999,33,POINT (37.5996749 55.65888709999999)
"117149, Москва г, ул. Азовская, д. 11, корп. 1",830f71c1-5da2-47b3-bbe2-4b78545fbf2a,830f71c1-5da2-47b3-bbe2-4b78545fbf2a,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,4004.1,4004.1,-,-,-,,,,,77:06:0005007:1009,4f0e0345-b083-4733-8f97-f2607fb579c9,,,37.600397,55.658002,33,POINT (37.600397 55.658002)
"117149, Москва г, ул. Азовская, д. 12, корп. 1",6110c408-f076-4b6d-8cb6-2c6f65da38fa,6110c408-f076-4b6d-8cb6-2c6f65da38fa,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,3480.8,3480.8,-,-,-,,,,,77:06:0005006:1016,3c270ba1-745b-4429-9a80-bbaea4c1d6cd,,,37.5993771,55.6584864,33,POINT (37.5993771 55.6584864)
"117149, Москва г, ул. Азовская, д. 12, корп. 2",2866610e-098c-4afc-aed8-1c6438e4f720,9a46d49d-a4a7-41c5-b699-6721354935a0,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,3527.7,3527.7,-,-,-,,,,,77:06:0005006:1017,608423fb-2348-433c-9df4-9c6fea69bca7,,,37.598057,55.658963,33,POINT (37.598057 55.658963)
"117149, Москва г, ул. Азовская, д. 14",c94776e6-27a6-41a0-a6cf-566bed9f12f8,c94776e6-27a6-41a0-a6cf-566bed9f12f8,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,3451.9,3451.9,-,-,-,,,,,77:06:0005006:1019,5adde109-293b-420a-890d-c07d5a17e534,,,37.5987698,55.6582725,33,POINT (37.5987698 55.6582725)
"117149, Москва г, ул. Азовская, д. 16",e93bfdef-27cc-4582-9b6b-65c55506360c,e93bfdef-27cc-4582-9b6b-65c55506360c,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,3512.9,3410.3,-,-,-,,,,,77:06:0005006:1020,07b01fc9-4f26-4a7c-a98b-1a1f4de9789a,,,37.5980107,55.6579355,33,POINT (37.5980107 55.6579355)
"117149, Москва г, ул. Азовская, д. 4",a1504304-6440-4f71-8968-227e98f38233,a1504304-6440-4f71-8968-227e98f38233,45901000,ЖК,1037700129367.0,772701001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЮЖНЫЙ""",Многоквартирный,Исправный,12709.4,11951.6,-,-,-,,,,,77:06:0005006:1011,f4ba87f6-c5cc-475f-958f-073e14b00447,,,37.601905,55.6603214,33,POINT (37.601905 55.6603214)
"117149, Москва г, ул. Азовская, д. 6, корп. 1",7d3f47fd-4ec4-470a-be68-15d074502d02,7d3f47fd-4ec4-470a-be68-15d074502d02,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,2799.3,2340.1,-,-,-,,,,,77:06:0005006:1013,f59edcac-5d73-4eba-9449-7362284de58c,,,37.600395,55.659525,33,POINT (37.600395 55.659525)
"117149, Москва г, ул. Азовская, д. 6, корп. 2",de9e886f-7a5c-4bd5-8240-1712898a0a66,de9e886f-7a5c-4bd5-8240-1712898a0a66,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,1901.3,1604.6,-,-,-,,,,,77:06:0005006:1012,62a5253e-16b2-4ea6-828e-09ca3ae393ef,,,37.6012179,55.6594876,33,POINT (37.6012179 55.6594876)
"117149, Москва г, ул. Азовская, д. 7, корп. 1",c6c21fbb-536e-4bde-b940-e831b72d18b2,c6c21fbb-536e-4bde-b940-e831b72d18b2,45901000,УО,5147746240417.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЗЮЗИНО""",Многоквартирный,Исправный,2618.2,2586.7,-,-,-,,,,,77:06:0005007:1006,5dda8169-02bb-4ec7-bd26-c5d67a512f56,,,37.6025319,55.65947,33,POINT (37.6025319 55.65947)
