Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"125008, Москва г, б-р. Коптевский, д. 10",3d833462-63ac-47a5-833e-2f7fafc76802,3d833462-63ac-47a5-833e-2f7fafc76802,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,3536.3,3536,-,-,-,,,,,77:09:0003010:1046,4f391423-a844-470d-b04d-da8f1f8ae213,,,37.5280067,55.8317349,6,POINT (37.5280067 55.8317349)
"125008, Москва г, б-р. Коптевский, д. 3",62475503-4ab9-4fdc-9f60-4ba8dbab7822,62475503-4ab9-4fdc-9f60-4ba8dbab7822,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,2552.7,2553,-,-,-,,,,,77:09:0003014:1034,f46c1d92-6000-42ef-bcd6-5f1d51b24b8f,,,37.5294523,55.82952719999999,6,POINT (37.5294523 55.82952719999999)
"125008, Москва г, б-р. Коптевский, д. 4",a55fc260-d9d8-48d0-a141-7d7e68cef7b1,a55fc260-d9d8-48d0-a141-7d7e68cef7b1,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,3480.5,2553,-,-,-,,,,,77:09:0003010:1044,36e35a17-eed5-4f23-b9f2-8f8d2ba12e58,,,37.5300018,55.8312262,6,POINT (37.5300018 55.8312262)
"125008, Москва г, б-р. Коптевский, д. 6",b0bf019a-692e-4816-a8ba-17dd2fb12655,b0bf019a-692e-4816-a8ba-17dd2fb12655,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,3390.6,2553,-,-,-,,,,,77:09:0003010:1045,9fa346d7-aa02-40ae-a005-62423a6bf7f6,,,37.5292726,55.8313827,6,POINT (37.5292726 55.8313827)
"125008, Москва г, б-р. Матроса Железняка, д. 10",10bc6f66-8582-4e48-a87d-6cb4a741db4f,10bc6f66-8582-4e48-a87d-6cb4a741db4f,45341000,УО,1027739426131.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМК""",Многоквартирный,Исправный,5072.0,4699.3,-,-,-,,,,,77:09:0003014:1016,09184b0a-6389-4058-8914-5ea716a7759f,,,37.5256705,55.828364,6,POINT (37.5256705 55.828364)
"125008, Москва г, б-р. Матроса Железняка, д. 12А",2638d9d1-a4de-4842-897c-19edfb25fdc1,2638d9d1-a4de-4842-897c-19edfb25fdc1,45341000,УО,1027739426131.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМК""",Многоквартирный,Исправный,2446.8,2446.8,-,-,-,,,,,77:09:0003014:1012,5834b5d7-a3c5-44dd-ad1e-080e0413e135,,,37.5274577,55.82882919999999,6,POINT (37.5274577 55.82882919999999)
"125008, Москва г, б-р. Матроса Железняка, д. 14, корп. 1",7f7fdc23-2525-4be9-bcef-34e7b31857bf,7f7fdc23-2525-4be9-bcef-34e7b31857bf,45341000,УО,1027739426131.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМК""",Многоквартирный,Исправный,2449.5,1965.8,-,-,-,,,,,77:09:0003014:1009,7375f32e-6590-4541-a3fc-64b1a25836e4,,,37.5261884,55.8296511,6,POINT (37.5261884 55.8296511)
"125008, Москва г, б-р. Матроса Железняка, д. 14, корп. 2",98ad86b6-e75a-4b96-94ee-e8edd585828b,98ad86b6-e75a-4b96-94ee-e8edd585828b,45341000,УО,1027739426131.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМК""",Многоквартирный,Исправный,1566.9,1566.9,-,-,-,,,,,77:09:0003014:1010,0c5bda64-142a-4baa-871e-806f37fa1fa0,,,37.526559,55.829314,6,POINT (37.526559 55.829314)
"125008, Москва г, б-р. Матроса Железняка, д. 16",1b238e2c-9330-4370-bac1-5ba303f6e8c9,1b238e2c-9330-4370-bac1-5ba303f6e8c9,45341000,УО,1027739426131.0,774301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМК""",Многоквартирный,Исправный,1595.8,1595.8,-,-,-,,,,,77:09:0003014:1013,0f297d12-f28c-4abc-be4c-1057c0d73210,,,37.5264851,55.8302302,6,POINT (37.5264851 55.8302302)
"125008, Москва г, б-р. Матроса Железняка, д. 18/12",3a4b2963-6270-433f-af14-02191d160bfb,3a4b2963-6270-433f-af14-02191d160bfb,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,3475.3,3475,-,-,-,,,,,77:09:0003010:1032,5271cd9e-1256-4905-8f53-380b0d3ef372,,,37.5275009,55.8321017,6,POINT (37.5275009 55.8321017)
"125008, Москва г, б-р. Матроса Железняка, д. 20, корп. 1",db00460c-2e13-4842-a25c-f5ade5bfe059,db00460c-2e13-4842-a25c-f5ade5bfe059,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,2513.8,2513.8,-,-,-,,,,,77:09:0003010:1018,c6efcc80-12fa-4ca1-b8ba-6c0c509c671b,,,37.5278661,55.8325624,6,POINT (37.5278661 55.8325624)
"125008, Москва г, б-р. Матроса Железняка, д. 20, корп. 2",f221ae98-fb16-4250-bf11-f9c154e2f933,f221ae98-fb16-4250-bf11-f9c154e2f933,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,3087.8,2525.6,-,-,-,,,,,77:09:0003010:1019,81955a80-7515-4a96-878f-d40c5dba7553,,,37.5284174,55.8323511,6,POINT (37.5284174 55.8323511)
"125008, Москва г, б-р. Матроса Железняка, д. 22, корп. 1",bb18a602-23f9-4716-a9a3-14ca46cbb612,bb18a602-23f9-4716-a9a3-14ca46cbb612,45341000,УО,5147746368930.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОПТЕВО""",Многоквартирный,Исправный,5283.9,4970,-,-,-,,,,,77:09:0003010:1021,c6c5c915-0f40-4936-9bcb-a1a32cca44ae,,,37.5294314,55.8332096,6,POINT (37.5294314 55.8332096)
