Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"111622, Москва г, ул. Большая Косинская, д. 100",f71192ee-a402-470f-b3cc-186655d9f74b,3cee0b38-2a23-408d-9a19-e1ef869fb612,45308000,Не выбран,,,,Жилой,,93.9,,-,-,-,,,,,,1b0fe2af-ba9f-4023-a39f-5d9672ff1e95,,,37.856548,55.7228442,35,POINT (37.856548 55.7228442)
"111622, Москва г, ул. Большая Косинская, д. 101",71686113-f99f-417c-805d-503e25637adb,0e5cf6f1-7903-49bd-88ed-896df43e4ab7,45308000,Не выбран,,,,Жилой,,133.1,,-,-,-,,,,,,681fcf34-bd4c-4cbe-bb6f-d03571a7945d,,,37.8538012,55.723634,35,POINT (37.8538012 55.723634)
"111622, Москва г, ул. Большая Косинская, д. 102, строение 1",92047ab3-6d7e-4e3d-90c3-cfabd35c27c9,c759866d-5aeb-406f-b673-f131bdc8176c,45308000,Не выбран,,,,Жилой дом блокированной застройки,,79.2,,-,-,-,,,,,,c21f5cd4-678a-4063-81d3-67e5486dfcbe,,,37.85645299999999,55.723014,35,POINT (37.85645299999999 55.723014)
"111622, Москва г, ул. Большая Косинская, д. 102, строение 2",e718e726-56a6-4719-8e4e-dd0ab558d8d4,e71ac61f-5c97-4b97-a7c6-8f232d72ef75,45308000,Не выбран,,,,Жилой дом блокированной застройки,,94.5,,-,-,-,,,,,,74a311ce-bdc6-4e42-9b03-601710a0c14f,,,37.8565623,55.7230809,35,POINT (37.8565623 55.7230809)
"111622, Москва г, ул. Большая Косинская, д. 104",449bdb16-19c7-4a0f-86cc-2251c188e476,b90af795-e87a-4d72-a42a-474a6138315d,45308000,Не выбран,,,,Жилой,,143.1,,-,-,-,,,,,нет,0431397c-68a9-4de4-ae9c-ff8a5e12eb93,,,37.8562879,55.7231209,35,POINT (37.8562879 55.7231209)
"111622, Москва г, ул. Большая Косинская, д. 105",768f5bd2-99e0-4e79-b1c2-4c1df5ce033d,0c0a849a-b201-4ca5-a740-6e74d8402dd8,45308000,Не выбран,,,,Жилой,,50.8,,-,-,-,,,,,,19c17a80-5bfa-497e-acaf-988aa914f3eb,,,37.8537166,55.72371320000001,35,POINT (37.8537166 55.72371320000001)
"111622, Москва г, ул. Большая Косинская, д. 106",419d85c7-bfdc-40d1-8444-9b0f3c662a53,c0c68efb-22fb-41d4-8e35-cb8c9b6c556e,45308000,Не выбран,,,,Жилой,,70.0,,-,-,-,,,,,,7bc838d5-f0f7-4eb5-a578-8592406aaf0a,,,37.856146,55.72311999999999,35,POINT (37.856146 55.72311999999999)
"111622, Москва г, ул. Большая Косинская, д. 106, строение 1",9dd54cda-6e49-41e0-bdbf-96a86d22456c,480f1225-ecd7-4818-95e7-0d5b857447a6,45308000,Не выбран,,,,Жилой,,268.4,,-,-,-,,,,,,385336a1-0c23-4130-8c1c-30722224f8ad,,,37.856146,55.72311999999999,35,POINT (37.856146 55.72311999999999)
"111622, Москва г, ул. Большая Косинская, д. 108",bf098cf7-8958-4dab-ae3c-9a8f8f5df06f,2ef1ee2a-8a1e-4600-978c-fc03355ba121,45308000,Не выбран,,,,Жилой,,72.7,,-,-,-,,,,,,bd599d4d-1062-46f5-9fe6-90651157ad00,,,37.8559467,55.7232145,35,POINT (37.8559467 55.7232145)
"111622, Москва г, ул. Большая Косинская, д. 109",8cee6e34-ca12-49c3-b848-4bfc4ba4fa46,5aaddd25-8b63-4ef0-912b-0c1b1df85040,45308000,Не выбран,,,,Жилой,,33.8,,-,-,-,,,,,,f55a7a8f-bdf4-4c8e-8926-5456fc51b9a8,,,37.85354,55.7237666,35,POINT (37.85354 55.7237666)
"111622, Москва г, ул. Большая Косинская, д. 11",70213d28-670b-4d36-9197-6a388dfed5f5,849012a0-cdd6-470e-96cf-8d89397d6d27,45308000,Не выбран,,,,Жилой,,137.0,,-,-,-,,,,,нет,21690a1c-19ef-4a16-a620-6f542db73f86,,,37.8551261,55.7147506,35,POINT (37.8551261 55.7147506)
