Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 15",bbe1fe62-f767-4586-a86c-92a89107f680,1953bf87-f576-440f-b10b-4af1d349754c,45954000,Не выбран,,,,Жилой,Исправный,183.1,,-,-,-,,,,,77:21:0140402:333,a7239ef3-d6ab-4ff0-95f8-0e7d409f4bc4,,,37.6078588,55.6790967,36,POINT (37.6078588 55.6790967)
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 20",3ab51d9d-e930-4377-add0-b922154bc845,ac8e6048-7c6f-49cf-9efe-ac955e70e395,45954000,Не выбран,,,,Жилой,Исправный,102.3,,-,-,-,,,,,50:26:0140402:568,08435cf5-1f6d-419b-acf5-a0900147130f,,,37.6025895,55.6791835,36,POINT (37.6025895 55.6791835)
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 3",646c1cd0-634a-4804-bb87-0b9bc853d554,1123d679-cb6f-4256-bc5f-9ae840f55298,45954000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,85.2,,-,-,-,,,,,50:26:0140402:510,3c651909-ca73-4826-9669-a1de0432be5f,,,37.6116412,55.67927599999999,36,POINT (37.6116412 55.67927599999999)
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 4",b41c3168-656e-45ec-ae61-4f1e63aba787,a4926485-06c6-49a1-b968-c16513738ea0,45954000,Не выбран,,,,Жилой,Исправный,222.2,,-,-,-,,,,,50:26:0140402:476,3fe508a1-9251-4d85-a75d-e7b9ad45ff8f,,,37.610079,55.682095,36,POINT (37.610079 55.682095)
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 5",8f925930-5876-4e51-91b3-11f5a43aa8ee,c7afe0b2-07ae-4b79-98bb-668a835f6183,45954000,Не выбран,,,,Жилой,Исправный,76.5,,-,-,-,,,,,77:21:0140403:29,1a61be93-6bc9-4e47-95e5-de17e4d1c651,,,37.6134144,55.68144119999999,36,POINT (37.6134144 55.68144119999999)
"108807, Москва г, п. Первомайское, д. Фоминское, ул. Нагорная, д. 3",ea89be0e-2135-4e8b-a05e-55887d0a8717,b9b8820d-2af3-4a74-8dce-1fc15f6f9096,45955000,Не выбран,,,,Жилой,Исправный,178.3,,-,-,-,,,,,77:00:0000000:73748,0d3c7296-9642-4250-9ef0-f3c3c5688c65,,,37.6116412,55.67927599999999,36,POINT (37.6116412 55.67927599999999)
"117186, Москва г, б-р. Нагорный, д. 11",d0f0b737-4c78-4989-aeee-77e414b92288,d0f0b737-4c78-4989-aeee-77e414b92288,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,3466.3,3471,-,-,-,,,,,77:06:0005002:1017,3200fd74-3fa8-462c-a5fd-d2b0fd0ac816,,,37.597327,55.67319,36,POINT (37.597327 55.67319)
"117186, Москва г, б-р. Нагорный, д. 12",78cbcb20-9977-4884-b6ac-b6e2e8eb0311,78cbcb20-9977-4884-b6ac-b6e2e8eb0311,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,3519.3,3519,-,-,-,,,,,77:06:0005002:1018,1ffef0b8-8396-4782-ad0e-7ad7d2eeec3e,,,37.5959937,55.6718612,36,POINT (37.5959937 55.6718612)
"117186, Москва г, б-р. Нагорный, д. 13",a9fa5699-e955-4553-9996-e43b963e2cad,a9fa5699-e955-4553-9996-e43b963e2cad,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,3471.3,3471,-,-,-,,,,,77:06:0005002:1019,55ba5c2e-7438-49ab-b718-698353125667,,,37.5981,55.672918,36,POINT (37.5981 55.672918)
"117186, Москва г, б-р. Нагорный, д. 14",431b95a7-f66e-43a4-806e-f4d89af0465a,431b95a7-f66e-43a4-806e-f4d89af0465a,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,4232.3,3341,-,-,-,,,,,77:06:0005002:1020,fa596ce7-45f1-49b6-bc32-ed02c3832d81,,,37.5964169,55.67150640000001,36,POINT (37.5964169 55.67150640000001)
"117186, Москва г, б-р. Нагорный, д. 15",c95d8760-ef4f-4b62-8dc9-af4b51f40f5c,c95d8760-ef4f-4b62-8dc9-af4b51f40f5c,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,3487.5,3440,-,-,-,,,,,77:06:0005002:1021,efe5d478-a72e-4ee4-80d7-bc1e8fe742e9,,,37.5988477,55.67264059999999,36,POINT (37.5988477 55.67264059999999)
