Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 12",30c0ac17-4a57-4f14-85d8-b33f992fe877,30c0ac17-4a57-4f14-85d8-b33f992fe877,45945000,Не выбран,,,,Жилой,Исправный,347.9,,-,-,-,,,,,50:26:0130201:1008,6831170a-5935-4cad-ada2-aa224196c1d8,,,37.4047119,55.7623392,7,POINT (37.4047119 55.7623392)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 14",6d9ac601-0f4d-4575-8fdd-8341ceac738e,78c3d390-74b2-4835-8b86-f7a9e90f8991,45945000,Не выбран,,,,Жилой,Исправный,257.1,,-,-,-,,,,,77:21:0130202:245,4d877a33-3497-48d0-a430-6a1390adfc73,,,37.4053254,55.7645512,7,POINT (37.4053254 55.7645512)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 15",9729aac7-68c6-4b8d-8669-d34087fff829,919348e8-fa5a-46a3-971f-688b9db814f8,45945000,Не выбран,,,,Жилой,Исправный,242.6,,-,-,-,,,,,50:26:0130201:936,3bbea64c-7623-4533-9a1c-eb4bff65218c,,,37.4044563,55.763402,7,POINT (37.4044563 55.763402)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 4",283e22da-cd14-4e04-98b7-66dbb9adc39e,aacf3557-8ea9-48d2-9e50-f2befe07f77c,45945000,Не выбран,,,,Жилой,Исправный,236.8,,-,-,-,,,,,50:26:0130201:1106,f84215f3-37e1-4eb7-9979-76f53495d188,,,37.4006674,55.75842609999999,7,POINT (37.4006674 55.75842609999999)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 6",1a6c4719-acb9-4955-b247-6f7ddd3e2013,28df0423-d024-4f78-b39d-0a5b9a8da02f,45945000,Не выбран,,,,Жилой,Исправный,303.9,,-,-,-,,,,,77:21:0130202:345,3a109472-311b-4b85-92f6-60ef363f97db,,,37.4029645,55.7592504,7,POINT (37.4029645 55.7592504)
"108800, Москва г, п. Киевский, д. Шеломово, ул. Осенняя, д. 9",79f0f6da-5040-49fc-a34d-ffc1ffdf09e8,95c3e1d6-4bea-459f-b820-33ade49285b3,45945000,Не выбран,,,,Жилой,Исправный,209.4,,-,-,-,,,,,77:21:0130202:384,a3b04b50-5f7f-44b0-83ee-e0590604653d,,,37.4023134,55.76031769999999,7,POINT (37.4023134 55.76031769999999)
"108828, Москва г, п. Краснопахорское, д. Чириково, ул. Осенняя, д. 1",a4f03015-d8c1-484a-b686-fad6fdfc5e4f,6b3c921e-eae9-4f48-bff2-e9ff63612d62,45948000,Не выбран,,,,Жилой,Исправный,92.3,,-,-,-,,,,,,ebc66d3f-7c17-4822-bb39-8cb9c463b7f5,,,37.4033702,55.7696763,7,POINT (37.4033702 55.7696763)
"108828, Москва г, п. Краснопахорское, д. Чириково, ул. Осенняя, д. 11",aea1b7b6-d78d-4dca-ad30-cf4238a7f64e,189639a9-4f52-4268-9246-438f36967776,45948000,Не выбран,,,,Жилой,Исправный,178.0,,-,-,-,,,,,,6d34f4d0-b2df-454c-9ff1-64394d06fdc5,,,37.4042895,55.76235680000001,7,POINT (37.4042895 55.76235680000001)
"108828, Москва г, п. Краснопахорское, д. Чириково, ул. Осенняя, д. 12",7ab6a108-a282-4219-a804-da2da45f8b35,7ab6a108-a282-4219-a804-da2da45f8b35,45948000,Не выбран,,,,Жилой,Исправный,126.6,,-,-,-,,,,,,96323f34-fd02-4031-8fd9-096ed2ddbe30,,,37.4047119,55.7623392,7,POINT (37.4047119 55.7623392)
"108828, Москва г, п. Краснопахорское, д. Чириково, ул. Осенняя, д. 2",10beaa04-3ba2-4e22-a8fc-644d202e5e5f,4ed0d9d3-7913-45ee-b41c-ef0fc52233ea,45948000,Не выбран,,,,Жилой,Исправный,178.0,,-,-,-,,,,,,291a26c9-9859-49cf-9505-15aa38209d9b,,,37.398883,55.757566,7,POINT (37.398883 55.757566)
