Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108830, Москва г, п. Вороновское, тер. СНТ Заречье, д. 54, строение 1",e567aea1-ead0-4656-a20c-52128b77054a,e567aea1-ead0-4656-a20c-52128b77054a,45943000,Не выбран,,,,Жилой дом блокированной застройки,,80.0,,-,-,-,,,,,,b267af99-ee37-4b6c-8a33-7007fc30f48b,,,37.7687034,55.687957,37,POINT (37.7687034 55.687957)
"108830, Москва г, п. Вороновское, тер. СНТ Заречье, д. 58, строение 1",c95c0233-1b84-496b-8457-ddead964d0ec,c95c0233-1b84-496b-8457-ddead964d0ec,45943000,Не выбран,,,,Жилой,,80.0,,-,-,-,,,,,,34b39610-5ac2-4618-b5d5-3d19e02eed33,,,37.7686478,55.6879404,37,POINT (37.7686478 55.6879404)
"108830, Москва г, п. Вороновское, тер. СНТ Заречье, д. 7, строение 1",efcb6ed8-0a3e-42a0-8131-26b77a44089b,efcb6ed8-0a3e-42a0-8131-26b77a44089b,45943000,Не выбран,,,,Жилой дом блокированной застройки,,74.0,,-,-,-,,,,,,1a208834-5a18-4c63-94ac-4dbaadaa53d5,,,37.7739504,55.68954609999999,37,POINT (37.7739504 55.68954609999999)
"109117, Москва г, пр-кт. Волгоградский, д. 101, корп. 1",47c59a3a-3e54-4311-9bdb-3d0fb1306b78,47c59a3a-3e54-4311-9bdb-3d0fb1306b78,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,4513.8,4490.5,-,-,-,,,,,77:04:0002018:1010,ed789d30-b2dc-464f-b464-d12eae69db8e,,,37.7538357,55.7078707,37,POINT (37.7538357 55.7078707)
"109117, Москва г, пр-кт. Волгоградский, д. 101, корп. 2",7ca77271-7d6f-4de5-83bd-a4ff4d83cced,7ca77271-7d6f-4de5-83bd-a4ff4d83cced,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,2578.4,2556.8,-,-,-,,2022-01-18 00:00:00,,,77:04:0002018:1011,079274b0-f9c2-481a-8b76-3f45e8bdf00b,,,37.7545525,55.7088013,37,POINT (37.7545525 55.7088013)
"109117, Москва г, пр-кт. Волгоградский, д. 103А",ee2f201c-3c93-450f-b93d-609c2b5f85c0,014b2171-5fef-44bd-98d5-664fdc7a9178,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,13087.0,8079.3,-,-,-,,,,,77:04:0002018:9403,47315038-1db0-4cc7-83c6-cbf186ab1a50,,,37.7551441,55.70727189999999,37,POINT (37.7551441 55.70727189999999)
"109117, Москва г, пр-кт. Волгоградский, д. 103, корп. 1",62c13225-2b3a-445b-80d0-1a3be3e8443f,62c13225-2b3a-445b-80d0-1a3be3e8443f,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,4529.5,4507.4,-,-,-,,,,,77:04:0002018:1012,980f65b2-ed15-4e13-bcf3-430190574f76,,,37.755259,55.7076534,37,POINT (37.755259 55.7076534)
"109117, Москва г, пр-кт. Волгоградский, д. 103, корп. 2",3e90a626-d0e0-4b3e-a549-1d6c090e8912,3e90a626-d0e0-4b3e-a549-1d6c090e8912,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,2593.3,2568.4,-,-,-,,,,,77:04:0002018:1013,df571be1-c1a0-4839-9669-e95fcb02989c,,,37.7560078,55.7077829,37,POINT (37.7560078 55.7077829)
"109117, Москва г, пр-кт. Волгоградский, д. 105А",3b624f94-9d34-499d-b7e2-01e5655d260a,cc584624-e683-4ae4-909e-c967c58ab803,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,13077.0,8130.1,-,-,-,,,,,77:04:0002018:9241,a5348585-5baa-43b2-b3b8-fe63def89ac9,,,37.7561759,55.70721349999999,37,POINT (37.7561759 55.70721349999999)
"109117, Москва г, пр-кт. Волгоградский, д. 105, корп. 2",06a5e3df-7734-42e2-b4b9-1b1cee8fb2c6,06a5e3df-7734-42e2-b4b9-1b1cee8fb2c6,45387000,УО,1157746499426.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУЗЬМИНКИ""",Многоквартирный,Исправный,6522.9,6194.6,-,-,-,,,,,77:04:0002018:1085,561acff9-a7f5-4ed8-a14d-1b2629d55d7b,,,37.75818,55.707521,37,POINT (37.75818 55.707521)
