Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"121351, Москва г, ул. Бобруйская, д. 10, корп. 1",298dad3e-026f-4dec-810d-5ca9dba71aef,0f777ec3-a3d2-41d3-abb2-f86976e79eba,45320000000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,9487.8,8498.2,-,-,-,,,,,77:07:0004003:1123,58be88fc-c7cd-4863-9cd1-f9153ae3e4bf,,,37.4037874,55.7363343,38,POINT (37.4037874 55.7363343)
"121351, Москва г, ул. Бобруйская, д. 10, корп. 3",6122b1e0-5a07-4791-8e16-afb187dbdbe8,6122b1e0-5a07-4791-8e16-afb187dbdbe8,45320000000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,3373.1,3373.4,-,-,-,,,,,77:07:0004003:1052,995d8631-6918-4efc-9cba-fa5643f3f418,,,37.4042908,55.7370876,38,POINT (37.4042908 55.7370876)
"121351, Москва г, ул. Бобруйская, д. 12",ff2fc903-4316-41f6-b8cf-97a1425aabbb,ff2fc903-4316-41f6-b8cf-97a1425aabbb,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,14402.1,13435.4,-,-,-,,,,,77:07:0004003:1121,234f3338-3749-42e1-8b3b-72b65e7853b6,,,37.402353,55.7366419,38,POINT (37.402353 55.7366419)
"121351, Москва г, ул. Бобруйская, д. 2",7b5d55a1-fe3a-461c-8441-cd7120b88d44,7b5d55a1-fe3a-461c-8441-cd7120b88d44,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,3015.7,2446.1,-,-,-,,,,,77:07:0004003:1047,b38ffcb5-ccab-4a85-9dfe-b41e3abf2ecb,,,37.4051824,55.7344431,38,POINT (37.4051824 55.7344431)
"121351, Москва г, ул. Бобруйская, д. 3",2134caba-8239-46ff-a10a-3b5af5fd9030,2134caba-8239-46ff-a10a-3b5af5fd9030,45320000000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,6328.6,6328.6,-,-,-,,,,,77:07:0004003:1048,0b7f48a3-d22f-494b-b873-1d9148eb4c98,,,37.402487,55.73539,38,POINT (37.402487 55.73539)
"121351, Москва г, ул. Бобруйская, д. 4, корп. 1",50a0f703-839d-4440-a1d9-342682f4aea9,50a0f703-839d-4440-a1d9-342682f4aea9,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,2554.0,2039.6,-,-,-,,,,,77:07:0004003:1049,b3e3f6a4-d802-46ef-bdfe-e262e1c32463,,,37.4046126,55.7355471,38,POINT (37.4046126 55.7355471)
"121351, Москва г, ул. Бобруйская, д. 4, корп. 2",5956b056-0d23-4f59-9c52-f561968bdda0,5956b056-0d23-4f59-9c52-f561968bdda0,45320000000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,2470.2,2471,-,-,-,,,,,77:07:0004003:1050,33ab56f9-35b2-48a9-a056-393978bbed1f,,,37.4054829,55.73591,38,POINT (37.4054829 55.73591)
"121351, Москва г, ул. Бобруйская, д. 6, корп. 1",dbe4f685-6fd9-4f01-b696-04a9f7540811,dbe4f685-6fd9-4f01-b696-04a9f7540811,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,2539.9,2384.5,-,-,-,,,,,77:07:0004003:1051,acf4b114-65ff-4085-9b5f-308476678816,,,37.403664,55.735538,38,POINT (37.403664 55.735538)
"121351, Москва г, ул. Бобруйская, д. 6, корп. 2",3e2d5b75-3c65-4c87-92f0-eea8c91f8679,3e2d5b75-3c65-4c87-92f0-eea8c91f8679,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,11531.2,10786,-,-,-,,,,,77:07:0004003:1120,f16229a7-682e-4f51-98c1-043f3b5b9f36,,,37.4047153,55.73634759999999,38,POINT (37.4047153 55.73634759999999)
"121351, Москва г, ул. Боженко, д. 10, корп. 1",ddbf8810-5df3-41a1-b9d2-5bd3e67abed6,ddbf8810-5df3-41a1-b9d2-5bd3e67abed6,45320000,УО,5147746456006.0,773101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КУНЦЕВО""",Многоквартирный,Исправный,2826.2,2312.7,-,-,-,,,,,77:07:0004007:1072,24bc8492-4813-4e05-a320-aa4eda84da89,,,37.40614,55.7310185,38,POINT (37.40614 55.7310185)
