Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 1",b63357e4-3f13-4e95-8f44-86aaf49ef614,c7417fab-3207-45a1-9cc2-919619f8c402,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,e31e5a24-d202-46a0-8edb-919a7bbcd77c,,,37.393394,55.886238,39,POINT (37.393394 55.886238)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 15",1ef9de00-6c06-4b63-bdba-eb8a87889892,7bfa6d45-80f0-4f7c-876c-23fa7e394efc,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,1e493db7-22a9-4842-bc85-9c3e39df170d,,,37.3928743,55.88585610000001,39,POINT (37.3928743 55.88585610000001)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 1А",ac4ff4e5-4da0-4d23-9734-90cff21ae0d4,b1b2f76f-e490-4d4d-8140-22e099850f83,45942000,Не выбран,,,,Жилой,,66.7,,-,-,-,,,,,77:17:0130202:903,85280675-054b-4542-8943-7c56fefb3fc1,,,37.393394,55.886238,39,POINT (37.393394 55.886238)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 3",81685c96-8e13-4659-8686-ca31f9e1df7c,d4fd9df1-311d-47d4-95ab-50da05a907d7,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,3966c34f-db31-469b-b274-b1a4923d5bfb,,,37.3933944,55.886238,39,POINT (37.3933944 55.886238)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 4",42cb1a3f-5db3-4bd8-be9a-958b82f9a9d2,42cb1a3f-5db3-4bd8-be9a-958b82f9a9d2,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,0c22f8d5-655c-41d3-b7f2-06b37f2beb9a,,,37.3919466,55.8870498,39,POINT (37.3919466 55.8870498)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 5",492b704e-fa43-4d41-b19a-285eb380247a,3cdfa504-8efc-4603-91b6-eb22aba07c59,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,74edb597-94ac-457c-98e1-0b3f91066edf,,,37.393394,55.886238,39,POINT (37.393394 55.886238)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Ландышевая, д. 6",eca57bc9-2635-4d22-a30e-375de7d72ce8,0e026821-5fc9-4be1-a59d-213af0a38499,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,a6bc5fd9-7e08-4ea2-aa62-12747d86ba1f,,,37.3919466,55.8870498,39,POINT (37.3919466 55.8870498)
"Москва г, ул. Захарьинская, д. 5",1623486f-693a-4c08-a59c-e874f6d65d99,05b3a5b8-3744-44e0-b3ce-012029f2bb9e,45366000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,4c807c22-9add-4d97-a818-33c7bf39a57c,,,37.382768,55.88814559999999,39,POINT (37.382768 55.88814559999999)
"Москва г, ш.. Куркинское, д. 54",10eb8235-8d64-4487-a449-5d2f26fd57ec,d70542de-4a1a-4c7f-a1b9-b3f408bec575,45366000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,cda8dea6-a73d-46a3-8638-611f47ccb4a2,,,37.3902623,55.88699829999999,39,POINT (37.3902623 55.88699829999999)
"125466, Москва г, ул. Воротынская, д. 10",443addee-df68-4e15-8d6c-ea28bf17ccfa,443addee-df68-4e15-8d6c-ea28bf17ccfa,45366000,УО,1037700183400,773301001.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭСТЕЙТ СЕРВИС ДИРЕКЦИЯ КУРКИНО СЕВЕРО-ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,8279.4,7363.3,-,-,-,,,,,77:08:0001011:1059,90451e2a-c8dc-4020-a97f-d172b5a0b969,,,37.396551,55.888927,39,POINT (37.396551 55.888927)
"125466, Москва г, ул. Воротынская, д. 10, корп. 1",6ad6866e-e503-41ef-baf8-e46f0107c812,6ad6866e-e503-41ef-baf8-e46f0107c812,45366000,УО,1037700183400,773301001.0,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭСТЕЙТ СЕРВИС ДИРЕКЦИЯ КУРКИНО СЕВЕРО-ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,3090.0,2965,-,-,-,,,,,77:08:0001011:1017,02c01d14-ef49-426a-9d0f-5d0c80639c95,,,37.397871,55.889528,39,POINT (37.397871 55.889528)
"125466, Москва г, ул. Воротынская, д. 11",3d1e2c7a-6265-417a-afdd-4c8a03f1aa53,3d1e2c7a-6265-417a-afdd-4c8a03f1aa53,45366000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,4641.2,4641.20,-,-,-,,,,,нет,2988227b-5e9a-4702-8e81-a59b6e20a67c,,,37.394709,55.888412,39,POINT (37.394709 55.888412)
