Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Зверево, проезд. Энтузиастов, д. 3",d90776b0-4d6a-4961-b3aa-763adc3bf6a8,d90776b0-4d6a-4961-b3aa-763adc3bf6a8,45954000,Не выбран,,,,Жилой,Исправный,128.9,,-,-,-,,,,,77:21:0140503:3572,42bbd082-2d8b-4518-9d6a-c0e4738cc4e6,,,37.7238795,55.7591775,40,POINT (37.7238795 55.7591775)
"111020, Москва г, пер. Княжекозловский, д. 6",02382933-64c7-4740-a314-cd4cc979ed44,8eb75b19-ed1d-4ba6-be23-ef255a5934e4,45388000,УО,1157746494730.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛЕФОРТОВО""",Многоквартирный,Исправный,3543.1,3543.1,нет,нет,-,,,,,77:04:0001001:1042,c9c1d741-0269-4a94-8eaf-f2b8acd2c263,,,37.7093414,55.7714019,40,POINT (37.7093414 55.7714019)
"111020, Москва г, пер. Княжекозловский, д. 8/16",82e94b15-89fa-425b-9a1e-78071ceacab8,82e94b15-89fa-425b-9a1e-78071ceacab8,45388000,УО,1157746494730.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛЕФОРТОВО""",Многоквартирный,Исправный,4840.1,3995.9,нет,нет,-,,,,,77:04:0001001:1043,99b8b24d-633d-48ae-a761-bd3d7502243b,,,37.710469,55.77087,40,POINT (37.710469 55.77087)
"111020, Москва г, пер. Мининский, д. 4/6",de362998-1eb2-4005-aced-d91edd703222,de362998-1eb2-4005-aced-d91edd703222,45388000,УО,1157746494730.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛЕФОРТОВО""",Многоквартирный,Исправный,3283.0,3178.9,нет,нет,-,,,,,77:04:0001001:1057,17c47fc0-359f-4272-a451-4f9ed7432e0f,,,37.713391,55.766957,40,POINT (37.713391 55.766957)
"111020, Москва г, пер. Солдатский, д. 10",47d7d6b1-c088-44fc-a12b-b0a32f64a20e,b3909511-30ef-48da-b89d-ec8247e41869,45388000,УО,1097746100792.0,771701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСГРАД""",Многоквартирный,Исправный,42936.7,25687.5,-,-,-,,,,,77:04:0001001:9672,f05458fd-3d0f-4e41-b5d2-5d3be17b38ae,,,37.7050463,55.7673223,40,POINT (37.7050463 55.7673223)
"111020, Москва г, пер. Солдатский, д. 8",062dc812-995e-4ed2-b19a-096db074c996,062dc812-995e-4ed2-b19a-096db074c996,45388000,УО,1157746494730.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛЕФОРТОВО""",Многоквартирный,Исправный,12933.9,11160.7,нет,нет,-,,,,,77:04:0001001:1080,d100b5d0-553b-4e77-b7e9-f3ed1b6c3b5d,,,37.7031562,55.7663988,40,POINT (37.7031562 55.7663988)
"111020, Москва г, пер. Юрьевский, д. 22, корп. 2",d1b8462d-38c1-4348-9995-43a2185bf81c,d1b8462d-38c1-4348-9995-43a2185bf81c,45388000,УО,1137746950087.0,772201001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВСТ КОМ""",Многоквартирный,Исправный,3551.9,2298.0,-,-,-,,,,,77:04:0001002:1032,0c71cadc-744a-4037-ab69-ef0291231c86,,,37.716553,55.762908,40,POINT (37.716553 55.762908)
"111020, Москва г, туп. Крюковский, д. 6",183bcdb6-eb32-4268-962a-69c711ae2e2e,7f64813e-bf97-4129-8a97-3c9a4fcfbeef,45388000,УО,1157746494730.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛЕФОРТОВО""",Многоквартирный,Исправный,5738.1,5713.0,нет,нет,-,,,,,77:04:0001002:1028,13c0fcd9-7e14-41fe-bb89-1fd3a55c841b,,,37.7115426,55.7646889,40,POINT (37.7115426 55.7646889)
"111020, Москва г, ул. 2-я Синичкина, д. 11",6171db4e-cccc-437e-8f6c-2c3ade54cf6d,6171db4e-cccc-437e-8f6c-2c3ade54cf6d,45388000,УО,1137746950087.0,772201001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВСТ КОМ""",Многоквартирный,Исправный,9368.3,9303.0,-,-,-,,,,,77:04:0001002:1016,ac155ada-d2e1-4a71-a255-e218eeb2c238,,,37.7144023,55.76294,40,POINT (37.7144023 55.76294)
"111020, Москва г, ул. 2-я Синичкина, д. 11, корп. 1",13077a4a-36ef-4525-9cc4-6990dabcad0a,13077a4a-36ef-4525-9cc4-6990dabcad0a,45388000,ТСЖ,1037722063697.0,772201001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""2-Я УЛ. СИНИЧКИНА""",Многоквартирный,Исправный,2445.0,2094.8,-,-,-,,,,,,295544b9-d3ac-4e3e-adf4-a79289091ab8,,,37.713701,55.76338,40,POINT (37.713701 55.76338)
