Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"127253, Москва г, ул. Байдукова, д. 1",9a03ef21-bbcb-47e8-92bd-66bbc337b83f,7ba14733-5b4d-4f54-a0b1-3028ec14791d,45354000,Не выбран,,,,Жилой,,398.2,,-,-,-,,,,,77:02:0001007:1121,0e67bd03-2228-49f2-ad82-858feb37975f,,,37.563239,55.9031594,41,POINT (37.563239 55.9031594)
"127253, Москва г, ул. Байдукова, д. 10, строение 1",9b701825-8428-41e0-af81-4b66b1c2adf3,54392268-16e5-459c-a0a7-de58d36e9967,45354000,Не выбран,,,,Жилой,,198.2,,-,-,-,,,,,77:02:0001007:1580,e183cf92-968c-454a-8d42-228fbbe6a405,,,37.561053,55.904747,41,POINT (37.561053 55.904747)
"127253, Москва г, ул. Байдукова, д. 11",35625c29-6b79-4d59-9a02-5b06e81a6960,35625c29-6b79-4d59-9a02-5b06e81a6960,45354000,Не выбран,,,,Жилой,,38.9,,-,-,-,,,,,77:02:0001007:1115,bbce61ad-19d1-4b10-887c-47813446d02f,,,37.561177,55.90429020000001,41,POINT (37.561177 55.90429020000001)
"127253, Москва г, ул. Байдукова, д. 11, строение 4",a0448ef9-59d3-41f2-a9fe-a154e3b09bfb,84a3d706-799a-451f-a116-e976dc8544e0,45354000,Не выбран,,,,Жилой,,168.0,,-,-,-,,,,,77:02:0001007:1072,f7595c09-b5d9-48f5-b961-f1ef65336960,,,37.561177,55.90429020000001,41,POINT (37.561177 55.90429020000001)
"127253, Москва г, ул. Байдукова, д. 19",16cda24f-674d-4d6f-9126-934278b37fa3,16cda24f-674d-4d6f-9126-934278b37fa3,45354000,Не выбран,,,,Жилой,,132.1,,-,-,-,,,,,77:02:0001007:1695,3da0c2dc-878a-4ef8-ad70-19e317700e30,,,37.5586746,55.9052471,41,POINT (37.5586746 55.9052471)
"127253, Москва г, ул. Белякова, д. 13",9d8563ca-7d2e-4c26-8198-75ec224dac88,9d8563ca-7d2e-4c26-8198-75ec224dac88,45354000,Не выбран,,,,Жилой,,1.0,,-,-,-,,,,,,8326fa3f-a891-4cd5-b236-eeb95b3a2b4c,,,37.5611979,55.90733729999999,41,POINT (37.5611979 55.90733729999999)
"127253, Москва г, ул. Белякова, д. 14",deed0576-592a-4e25-9e13-e726aa946a32,deed0576-592a-4e25-9e13-e726aa946a32,45354000,Не выбран,,,,Жилой,,41.2,,-,-,-,,,,,77:02:0001004:1095,98821226-a720-42d8-92fe-d253f008ad10,,,37.5608069,55.9074702,41,POINT (37.5608069 55.9074702)
"127253, Москва г, ул. Белякова, д. 1, строение 1",ad7bff0c-7669-4ff5-a87a-e1fa0a0f1353,ad7bff0c-7669-4ff5-a87a-e1fa0a0f1353,45354000,Не выбран,,,,Жилой,,382.0,,-,-,-,,,,,77:02:0001007:1586,0d0a904e-af59-49a3-bb28-f70a6a8cd43e,,,37.5650989,55.90542499999999,41,POINT (37.5650989 55.90542499999999)
"127253, Москва г, ул. Белякова, д. 29А, строение 2",dd478f85-655e-4f00-836f-a78a17b5580f,dd478f85-655e-4f00-836f-a78a17b5580f,45354000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,9c9e62a4-34c0-480d-a2e8-9f01993f2213,,,37.5562247,55.9085911,41,POINT (37.5562247 55.9085911)
"127253, Москва г, ул. Белякова, д. 29, строение 1",90f0f226-3e7c-4cb4-9e8b-64b7043f9cf5,90f0f226-3e7c-4cb4-9e8b-64b7043f9cf5,45354000,Не выбран,,,,Жилой,,487.3,,-,-,-,,,,,77:02:0001007:1584,907ffbc5-bf7d-4f93-b4ae-4e194e019ce2,,,37.5562247,55.9085911,41,POINT (37.5562247 55.9085911)
"127253, Москва г, ул. Белякова, д. 29, строение 2",01d962bc-167f-4258-86f0-6e8bdfaf19b2,8573df28-489b-4e8c-8ca9-f86502b96325,45354000,Не выбран,,,,Жилой,,426.6,,-,-,-,,,,,77:02:0001007:1585,596fe874-0818-446f-ae3c-30af38663b8a,,,37.5562247,55.9085911,41,POINT (37.5562247 55.9085911)
"127253, Москва г, ул. Белякова, д. 3, строение 2",5489f791-2f29-47e8-8822-ff6da7eaa23c,5489f791-2f29-47e8-8822-ff6da7eaa23c,45354000,Не выбран,,,,Жилой,,307.4,,-,-,-,,,,,77:02:0001007:1592,5089a4c1-6706-4bda-8d3b-233cb8ebe29e,,,37.5648355,55.9052877,41,POINT (37.5648355 55.9052877)
"127253, Москва г, ул. Белякова, д. 4",5d68c2aa-d3c7-46df-8e4b-532016756f3c,5d68c2aa-d3c7-46df-8e4b-532016756f3c,45354000,Не выбран,,,,Жилой,,95.1,,-,-,-,,,,,77:02:0001007:1707,fa7f3911-6c52-468e-a820-9090197769f6,,,37.565002,55.905967,41,POINT (37.565002 55.905967)
"127253, Москва г, ул. Белякова, д. 7",bad2341a-0975-43d9-a53a-0dcfe5020336,bad2341a-0975-43d9-a53a-0dcfe5020336,45354000,Не выбран,,,,Жилой,,55.6,,-,-,-,,,,,77:02:0001007:1527,a6e37b36-067e-4167-8ad0-202912e54c77,,,37.5635689,55.9059945,41,POINT (37.5635689 55.9059945)
"127253, Москва г, ул. Белякова, д. 8",ba528bfe-9641-4b08-ae1e-2b5c8c7d84c9,ba528bfe-9641-4b08-ae1e-2b5c8c7d84c9,45354000,УО,1157746494993.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ЛИАНОЗОВО""",Многоквартирный,Исправный,479.6,438,-,-,-,,,,,77:02:0001007:1069,027e3b56-f760-4f25-9be3-02083d753566,,,37.5636154,55.9063597,41,POINT (37.5636154 55.9063597)
"127253, Москва г, ул. Белякова, д. 9",fe60ef62-1c80-4f36-a7a1-ea719781a5c9,fe60ef62-1c80-4f36-a7a1-ea719781a5c9,45354000,Не выбран,,,,Жилой,,71.5,,-,-,-,,,,,77:02:0001007:1685,421fdf54-346e-4059-b78d-b6a26cc79a70,,,37.5627393,55.9062907,41,POINT (37.5627393 55.9062907)
