Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 1",ea315604-28b1-45bb-ba69-fccffbfab8f1,e131c350-f83a-4011-858d-e1086c205be2,45942000,Не выбран,,,,Жилой,,192.0,,-,-,-,,,,,,aea3a355-0c0c-4001-ba5a-6cfe19d96668,,,37.6776075,55.8690442,85,POINT (37.6776075 55.8690442)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 11",0e8240bc-24ad-4254-a8b7-0cdda4536b19,f39ef4f7-e641-4cef-9931-7b99f0ae9de0,45942000,Не выбран,,,,Жилой,,240.0,,-,-,-,,,,,,2d091d08-955f-4cc4-8ad6-b26b30b8aaa3,,,37.6819749,55.8715905,85,POINT (37.6819749 55.8715905)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 12",4fa635bb-87c2-4533-bc37-ef69cd321367,7d3a9578-8d7d-469e-af7e-62db04a6e12c,45942000,Не выбран,,,,Жилой,,544.0,,-,-,-,,,,,,c1da4c14-278c-482e-b8d0-9de7e8f20464,,,37.680539,55.8694064,85,POINT (37.680539 55.8694064)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 13",fddef66e-6f22-4879-b606-953e88ffd581,8c3a76b2-4c3f-4a63-9879-928ec5046570,45942000,Не выбран,,,,Жилой,,195.0,,-,-,-,,,,,,ef60a135-4b02-4724-a5b4-406e254bf1c3,,,37.6835134,55.87256379999999,85,POINT (37.6835134 55.87256379999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 15",ba55d53e-a42a-402a-b9af-5c0441d309a9,685e7b8c-3c90-4cc5-91d9-cdec26cbc701,45942000,Не выбран,,,,Жилой,,308.0,,-,-,-,,,,,,5026a6f2-5214-435e-af3a-fea1f6ce54c6,,,37.6835804,55.87184629999999,85,POINT (37.6835804 55.87184629999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 16",815fdcf9-227c-4b1d-88f5-2fc5691012f5,9ad9dcbf-d455-4b00-afc2-468ec0d55a9e,45942000,Не выбран,,,,Жилой,,299.0,,-,-,-,,,,,,8a3b9f3c-0c03-4c8f-b9df-4b08fafd5f18,,,37.6823089,55.87066919999999,85,POINT (37.6823089 55.87066919999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 17",4e466c0f-e2a7-44ad-924a-ff1fe6a0a3c1,3e4a1011-9364-45c7-b035-9ac608100105,45942000,Не выбран,,,,Жилой,,308.0,,-,-,-,,,,,,1bf4b016-c13f-4de0-99dd-b75176ab1246,,,37.6835804,55.87184629999999,85,POINT (37.6835804 55.87184629999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 19",a5c713a9-e066-4efd-8ff0-f2d23ffafe14,b5e0b899-eea5-4433-b0c7-82ac098d1429,45942000,Не выбран,,,,Жилой,,342.0,,-,-,-,,,,,,d4f6320f-1a09-4bbd-acaf-901942964135,,,37.6845088,55.8724673,85,POINT (37.6845088 55.8724673)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 21",6f705d68-ed61-42d6-a24e-c43a708419e9,c2979013-c0de-4917-a4f9-7c860d7853a9,45942000,Не выбран,,,,Жилой,,144.0,,-,-,-,,,,,,adb1b465-9bd2-40ad-867d-412e2143ff85,,,37.6845088,55.8724673,85,POINT (37.6845088 55.8724673)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Изумрудная, д. 22",08bcf754-ed29-4319-80b1-c7f1ab7319d7,0981f27d-887e-4742-893d-b7c3871f7d00,45942000,Не выбран,,,,Жилой,,714.0,,-,-,-,,,,,,fe0785ca-5b15-4560-9e61-c2c51d54529f,,,37.684273,55.871681,85,POINT (37.684273 55.871681)
