Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 10",e1f2f3b3-e93b-4edc-8cb2-02465fe4f152,888e7827-3110-44c9-a136-7a1ffd40e38f,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,133.2,,-,-,-,,,,,,90980d0a-5ae9-4f32-a366-425588196919,,,37.75284389999999,55.6704167,42,POINT (37.75284389999999 55.6704167)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 11",79232095-e142-43d3-bd03-1071026aa404,ec6b1f12-4b8f-4476-8916-1f2c89b346a7,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,110.5,,-,-,-,,,,,,9e4e270d-3750-4afc-8bfd-ceac571fd246,,,37.7504425,55.67111509999999,42,POINT (37.7504425 55.67111509999999)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 12",7205630f-9db8-4143-a337-741bf4dd8b0d,d7c41565-9da8-447d-bffd-c25b34acf2e8,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,127.7,,-,-,-,,,,,50:26:0191215:407,b65be477-ee7a-407c-8d2c-539e7a470f94,,,37.7632875,55.6774577,42,POINT (37.7632875 55.6774577)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 13",82217624-e314-4d4f-919e-a00bae02ac46,100551f3-fda2-4797-82a0-daa801883129,45955000,Не выбран,,,,Жилой,Исправный,145.5,,-,-,-,,,,,50:26:0191215:548,da516b36-2fe4-485f-b838-df1cc3a4ab45,,,37.7484254,55.6710876,42,POINT (37.7484254 55.6710876)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 14",7cefdd50-afe9-46ff-a526-b1cfdddd9e7a,49eeedef-105b-48a5-9946-11e17bcce6ec,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,150.4,,-,-,-,,,,,50:26:0191215:388,df9fad71-5629-48ff-9ed2-52defe8a015b,,,37.7636896,55.6778212,42,POINT (37.7636896 55.6778212)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 15",3f6983cd-7c38-4448-acd4-049019d4ec37,3f6983cd-7c38-4448-acd4-049019d4ec37,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,151.4,,-,-,-,,,,,77:18:0191211:121,24977720-da94-4d20-821a-abe959d87b86,,,37.7486788,55.67110719999999,42,POINT (37.7486788 55.67110719999999)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 16",be3b8318-a450-4a67-879b-a266e4de0ea7,c2eb0f31-53cb-4639-bfd0-03813c9e355a,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,149.9,,-,-,-,,,,,50:26:0191215:549,d8fd5183-1e64-4531-b22a-c0967cbf53fd,,,37.7637078,55.6789591,42,POINT (37.7637078 55.6789591)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 18",4d33302a-e785-4e00-8e77-7563d0f9e0b6,25a3c87f-091d-4186-bf7f-1fc5c06cf91e,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,119.8,,-,-,-,,,,,50:26:0191215:552,e60135b1-1440-4706-8298-a3418bd897dc,,,37.7642086,55.67975810000001,42,POINT (37.7642086 55.67975810000001)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 19",2a681e06-5887-4b80-9314-be26538400ff,2a681e06-5887-4b80-9314-be26538400ff,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,145.1,,-,-,-,,,,,,8357c260-b573-41fe-a861-d1e1245a5d5a,,,37.7513409,55.67149269999999,42,POINT (37.7513409 55.67149269999999)
"108807, Москва г, п. Первомайское, д. Жуковка, ул. Совхозная, д. 22",20ce8c91-5020-4a3d-852b-174f906636ca,d7fc8cc0-44f7-4c0c-81c3-94af071bc2ed,45955000,УО,1167746458307.0,502401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""КОМФОРТ СЕРВИС""",Жилой,Исправный,65.3,,-,-,-,,,,,,9aa1c696-8012-4b25-875d-23c43315788d,,,37.7640661,55.681368,42,POINT (37.7640661 55.681368)
