Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"109144, Москва г, б-р. Новочеркасский, д. 36",89bd9fbb-89c6-4443-8ddc-5c1c34913577,89bd9fbb-89c6-4443-8ddc-5c1c34913577,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,32249.0,33253,-,-,-,,,,,77:04:0004019:1077,a4f1d231-32df-40e7-a91b-642e95b40474,,,37.7337513,55.6454456,43,POINT (37.7337513 55.6454456)
"109144, Москва г, б-р. Новочеркасский, д. 42",9357e2bf-a1c1-453d-bbdc-d0dc87695c55,9357e2bf-a1c1-453d-bbdc-d0dc87695c55,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,15103.2,14412.4,-,-,-,,,,,77:04:0004019:1078,93557667-356d-49d7-a7ab-afa18f98dd23,,,37.736432,55.646262,43,POINT (37.736432 55.646262)
"109144, Москва г, б-р. Новочеркасский, д. 46",a1187bb9-954d-4c17-86eb-1b7ee875154f,a1187bb9-954d-4c17-86eb-1b7ee875154f,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,34796.3,35277,-,-,-,,,,,77:04:0004019:1105,f4705e1a-11b2-4a59-9ee9-52bb0e561d5b,,,37.7382988,55.6460702,43,POINT (37.7382988 55.6460702)
"109144, Москва г, проезд. Батайский, д. 37",6dfa3723-fcc5-43bf-b4d2-5a7034192b8e,6dfa3723-fcc5-43bf-b4d2-5a7034192b8e,45390000,ТСЖ,1097746250755.0,772301001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""У РЕКИ""",Многоквартирный,Исправный,18733.0,18661,-,-,-,,,,,77:04:0004019:1039,015227f1-0225-4e41-a16c-0e1e3c484822,,,37.7315574,55.64374789999999,43,POINT (37.7315574 55.64374789999999)
"109144, Москва г, проезд. Батайский, д. 41",438ebc0c-9de4-4911-b282-e28999ac3db7,0740df2d-9858-4928-a007-9a8c5a8c9712,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,14978.7,14443,-,-,-,,,,,77:04:0004019:1040,07bd22e6-ac43-4237-bfff-e4a7f4afe4f6,,,37.7347913,55.6437871,43,POINT (37.7347913 55.6437871)
"109144, Москва г, проезд. Батайский, д. 43",dfe9a539-734d-400e-a9d7-1741a35d66dc,dfe9a539-734d-400e-a9d7-1741a35d66dc,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,17443.9,17228,-,-,-,,,,,77:04:0004019:1041,7a06051e-afb1-43ad-a643-65930cf5bf03,,,37.7344448,55.6446639,43,POINT (37.7344448 55.6446639)
"109144, Москва г, проезд. Батайский, д. 49",6509c0d2-f7c4-4530-9484-aae418cdb516,6509c0d2-f7c4-4530-9484-aae418cdb516,45390000,ЖК,1037739488060.0,772301001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ  ""МАРЬИНО-7""",Многоквартирный,Исправный,17492.2,17326.3,-,-,-,,,,,77:04:0004019:1102,0af1c836-11b8-4725-b874-7eb9849b7b18,,,37.7384441,55.6443911,43,POINT (37.7384441 55.6443911)
"109144, Москва г, проезд. Батайский, д. 51",d506089b-cf52-4236-bf4b-b294091aa1f8,d506089b-cf52-4236-bf4b-b294091aa1f8,45390000,ТСЖ,5147746380678.0,772301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАДР-М""",Многоквартирный,Исправный,15123.4,14627.5,нет,нет,-,,,,,77:04:0004019:1107,537eadb6-2aa7-4e9d-ae55-b278568eb23a,,,37.7385369,55.64353029999999,43,POINT (37.7385369 55.64353029999999)
"109144, Москва г, проезд. Батайский, д. 53",933193fb-ea98-49b7-af2e-f77c094d7499,4a4b8ec4-ebac-4ded-be1b-b6edc65f32bf,45390000,ЖК,1037739420751.0,772301001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""МАРЬИНО-10""",Многоквартирный,Исправный,11358.6,10633.5,-,-,-,,,,,77:04:0004019:1108,1f5f2de7-460f-4aba-8232-9c8cbe35f21b,,,37.740217,55.64335,43,POINT (37.740217 55.64335)
"109144, Москва г, проезд. Батайский, д. 59",e944a608-91d6-43a6-9d2d-55799158795e,e944a608-91d6-43a6-9d2d-55799158795e,45390000,УО,1157746566108.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МАРЬИНО""",Многоквартирный,Исправный,11344.1,10858,-,-,-,,,,,77:04:0004019:1109,9975d702-b460-46bf-99a6-1013a7327138,,,37.7424019,55.6446415,43,POINT (37.7424019 55.6446415)
