Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"124482, Москва г, г. Зеленоград, пл. Юности, д. 3",b267be45-ed06-4ded-813a-9f2506fb6d7a,12f031e8-249a-454f-99cb-d1fec589618a,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,4746.9,4411,нет,нет,-,,,,,77:10:0004001:1003,ad5c6398-7af3-471e-b166-0001cfbb7066,,,37.2117429,56.0028257,44,POINT (37.2117429 56.0028257)
"124482, Москва г, г. Зеленоград, пл. Юности, д. 4",c6a76af4-af55-459a-9321-42be11bb6b25,8d763ec0-79b0-4fb7-8846-fa23d7e3c454,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,4749.2,4411,нет,нет,-,,,,,77:10:0004001:1004,0f77a695-6408-47e2-800b-e13ee625d4c5,,,37.2119847,56.0022325,44,POINT (37.2119847 56.0022325)
"124482, Москва г, г. Зеленоград, пл. Юности, д. 5",c9467267-561b-4501-8257-be99cc134998,7768b555-6557-4e19-b323-642e853e1196,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,4756.2,4419,нет,нет,-,,,,,77:10:0004001:1005,935ffb8b-7bc0-4986-baf1-80e3f9cc6870,,,37.2124604,56.0016586,44,POINT (37.2124604 56.0016586)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 1",212e75bb-027c-4f24-ad15-36dc10bd680b,212e75bb-027c-4f24-ad15-36dc10bd680b,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,3635.1,3635.1,нет,нет,-,,,,,77:10:0002003:1013,87a292dd-f29d-4d30-b0f9-d855965206e4,,,37.1986488,55.9988742,44,POINT (37.1986488 55.9988742)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 2",187bfd7a-364a-4310-a715-aad5ae403fca,187bfd7a-364a-4310-a715-aad5ae403fca,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,3616.7,3554,нет,нет,-,,,,,77:10:0002003:1015,06833137-718e-4b8e-8d00-6e6eaf980163,,,37.199935,55.99903800000001,44,POINT (37.199935 55.99903800000001)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 3",09c70f86-2710-4a32-abcc-5ddfe4047966,09c70f86-2710-4a32-abcc-5ddfe4047966,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,3634.5,3634.5,нет,нет,-,,,,,77:10:0002003:1016,e971ea56-9c68-4476-8821-557d3349a75e,,,37.2002937,55.998397,44,POINT (37.2002937 55.998397)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 6",f15ae4cf-977e-4abe-8e3e-30a75d6643e1,d5603f86-4359-4e55-9828-532b84cd83a9,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,9216.4,9130,нет,нет,-,,,,,77:10:0002003:1011,cb61e055-e8e6-43e6-aa3c-39a8275e0ba2,,,37.2000795,55.9977104,44,POINT (37.2000795 55.9977104)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 6А",8c54e772-cb31-4a70-a1b8-bccd3f5d0e54,8c54e772-cb31-4a70-a1b8-bccd3f5d0e54,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,9293.0,9264,нет,нет,-,,,,,77:10:0002003:1010,b2ed960c-8c10-4ba5-ae80-9c15a85b90b9,,,37.2005496,55.997164,44,POINT (37.2005496 55.997164)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 8",176774b3-0dc8-47a1-b9c2-8a054f0d132a,176774b3-0dc8-47a1-b9c2-8a054f0d132a,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,4648.5,4075,нет,нет,-,,,,,77:10:0002003:1017,b0753b0c-eec2-4ec0-a60c-a9e80ce1404a,,,37.1974512,55.9989146,44,POINT (37.1974512 55.9989146)
"124498, Москва г, г. Зеленоград, аллея. Берёзовая, д. 9",0f3edd8a-60df-4645-ab4e-19e89f53be0f,0f3edd8a-60df-4645-ab4e-19e89f53be0f,45331000,УО,5137746243905.0,773501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ЗЕЛЕНОГРАДСКОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Многоквартирный,Исправный,7552.9,7417,нет,нет,-,,,,,77:10:0002003:1009,18bb6bf3-b895-4589-ab6e-4135d9604543,,,37.2011423,55.9965998,44,POINT (37.2011423 55.9965998)
