Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107143, Москва г, ул. Николая Химушина, д. 1",dae94fbb-d72e-4345-ae44-81384220f627,dae94fbb-d72e-4345-ae44-81384220f627,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,7178.9,7177,-,-,-,,,,,77:03:0002004:1077,110ab2b1-8fe8-4433-96c2-4a1f576ce21c,,,37.7545865,55.81929969999999,45,POINT (37.7545865 55.81929969999999)
"107143, Москва г, ул. Николая Химушина, д. 11, корп. 1",a67a1a31-db65-4252-9f42-eaab748edfc7,a67a1a31-db65-4252-9f42-eaab748edfc7,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,2432.4,2424,-,-,-,,,,,77:03:0002004:1060,38f0d76a-fa48-493d-a827-566ec94de21d,,,37.7612081,55.8218255,45,POINT (37.7612081 55.8218255)
"107143, Москва г, ул. Николая Химушина, д. 11, корп. 2",e0ee48b6-401f-4ca1-a73f-d9923987b93c,e0ee48b6-401f-4ca1-a73f-d9923987b93c,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,2671.0,2645,-,-,-,,,,,77:03:0002004:1061,010927f5-a531-4d70-8840-498f26064f4c,,,37.7602669,55.8221095,45,POINT (37.7602669 55.8221095)
"107143, Москва г, ул. Николая Химушина, д. 11, корп. 3",6c7b4b88-0a1b-45ae-8fe9-bd33b3c5295d,6c7b4b88-0a1b-45ae-8fe9-bd33b3c5295d,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,2666.6,2645.6,-,-,-,,,,,77:03:0002004:1062,93ed8585-07d5-4c16-8ab9-cc02ef800a90,,,37.761073,55.822227,45,POINT (37.761073 55.822227)
"107143, Москва г, ул. Николая Химушина, д. 13, корп. 1",f5b804c0-59b6-4364-befd-d32b4a201be4,f5b804c0-59b6-4364-befd-d32b4a201be4,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,3307.4,3078.7,-,-,-,,,,,77:03:0002004:1063,5af53fe6-1765-4fc4-b6c0-51b9bd68b8fd,,,37.762535,55.822497,45,POINT (37.762535 55.822497)
"107143, Москва г, ул. Николая Химушина, д. 13, корп. 2",ca2e2a36-5660-413a-99f8-7595c22aabd5,ca2e2a36-5660-413a-99f8-7595c22aabd5,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,2431.3,2431,-,-,-,,,,,77:03:0002004:1064,13bef8fd-de21-4c43-911d-461ba6e6aa0e,,,37.7616038,55.8225454,45,POINT (37.7616038 55.8225454)
"107143, Москва г, ул. Николая Химушина, д. 13, корп. 3",674725ad-a55a-498f-aa5b-35ec3882f544,674725ad-a55a-498f-aa5b-35ec3882f544,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,4300.6,4262.6,-,-,-,,,,,77:03:0002004:1065,37d17610-7c8f-4d35-b333-2d707b7b2c49,,,37.7607935,55.82306639999999,45,POINT (37.7607935 55.82306639999999)
"107143, Москва г, ул. Николая Химушина, д. 13, корп. 5",c7834ede-3f7b-4eba-a107-94ca9389b549,c7834ede-3f7b-4eba-a107-94ca9389b549,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,2486.0,2458.6,-,-,-,,,,,77:03:0002004:1066,c147a0da-fc6a-4437-943d-6863f4a29ca1,,,37.7625802,55.82300919999999,45,POINT (37.7625802 55.82300919999999)
"107143, Москва г, ул. Николая Химушина, д. 15, корп. 1",046ff32b-2f0f-475d-8c12-e43e3d335e27,046ff32b-2f0f-475d-8c12-e43e3d335e27,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,3430.3,3422.2,-,-,-,,,,,77:03:0002004:1067,a7973177-77b5-46b5-bd98-907864ba986d,,,37.763763,55.823149,45,POINT (37.763763 55.823149)
"107143, Москва г, ул. Николая Химушина, д. 15, корп. 2",77675673-bff3-42f4-bfda-5b55b0e65887,77675673-bff3-42f4-bfda-5b55b0e65887,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,3433.5,3245.4,-,-,-,,,,,77:03:0002004:1068,70700949-249a-469e-9a0a-3a9465b9a13d,,,37.7621416,55.8237531,45,POINT (37.7621416 55.8237531)
"107143, Москва г, ул. Николая Химушина, д. 15, корп. 3",f075e06b-5e91-46d7-8c7b-c2a6ef0b9b5d,f075e06b-5e91-46d7-8c7b-c2a6ef0b9b5d,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,3415.5,3393.6,-,-,-,,,,,77:03:0002004:1069,258c69fc-149d-4371-8107-c9a8a8713a3a,,,37.7629599,55.8240358,45,POINT (37.7629599 55.8240358)
"107143, Москва г, ул. Николая Химушина, д. 17, корп. 1",63cb9d7a-a5ef-4c06-9d02-b5cb816c9fa6,63cb9d7a-a5ef-4c06-9d02-b5cb816c9fa6,45311000,УО,1157746595962.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА МЕТРОГОРОДОК""",Многоквартирный,Исправный,3491.9,3278.9,-,-,-,,,,,77:03:0002004:1070,d6d056b7-d1a7-4ea1-84f0-55aefed2d5ff,,,37.76494,55.823811,45,POINT (37.76494 55.823811)
