Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107031, Москва г, б-р. Рождественский, д. 10/7, строение 1",98769e0c-3cf7-4bf7-af36-21d452a7e129,98769e0c-3cf7-4bf7-af36-21d452a7e129,45379000,ТСЖ,1077799010959.0,770201001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""РОЖДЕСТВЕНСКИЙ БУЛЬВАР, Д. 10/7""",Многоквартирный,Исправный,3163.3,,-,-,-,,,,,77:01:0001081:1020,307dd65b-8a75-40c7-be24-cfe37763519d,,,37.62661629999999,55.7662121,94,POINT (37.62661629999999 55.7662121)
"107031, Москва г, б-р. Рождественский, д. 10/7, строение 2",d81e26c5-3b40-4d8d-9742-0132047970dd,d81e26c5-3b40-4d8d-9742-0132047970dd,45379000,ТСЖ,1077799010959.0,770201001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""РОЖДЕСТВЕНСКИЙ БУЛЬВАР, Д. 10/7""",Многоквартирный,Исправный,548.4,302.9,-,-,-,,,,,77:01:0001081:1021,ae45cbcb-65ce-4a30-9a0e-f74e958b297d,,,37.62583,55.76587,94,POINT (37.62583 55.76587)
"107031, Москва г, б-р. Рождественский, д. 20, строение 1",f54c0b53-353d-466b-b46d-53769a4b5ae3,43400e73-fa56-48c5-954c-86e3e3525779,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1295.4,820,-,-,-,,,,,77:01:0001081:1067,04c7b526-a648-421f-96b2-fc87da74e9c8,,,37.6300122,55.7662681,94,POINT (37.6300122 55.7662681)
"107031, Москва г, б-р. Рождественский, д. 22/23, строение 1",6db61bda-7f3a-4230-ae73-4828a8a9cc0c,6db61bda-7f3a-4230-ae73-4828a8a9cc0c,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1967.2,555.8,-,-,-,,,,,77:01:0001081:1068,ea06d66f-dd8f-495a-988d-3a330e5f499b,,,37.6309035,55.7662677,94,POINT (37.6309035 55.7662677)
"107031, Москва г, пер. Варсонофьевский, д. 4, строение 1",9dad4ea1-9bfb-4c34-bf05-ff90fdba7dca,16a1dd81-171b-43ba-8375-87c09b030f55,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,8313.1,5360.1,-,-,-,,,,,77:01:0001039:1011,19950753-dc72-4fa9-8667-e4f13d24c3cf,,,37.624837,55.763018,94,POINT (37.624837 55.763018)
"107031, Москва г, пер. Варсонофьевский, д. 6",2872129c-dd4f-42ad-b8cb-9e2ab339dd01,f4fd4d2b-7715-46f4-b6e7-daf626028e2f,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,5647.4,3455,-,-,-,,,,,77:01:0001039:1012,1741a9f8-918b-47c6-96c3-dbec97696bfa,,,37.625664,55.7631989,94,POINT (37.625664 55.7631989)
"107031, Москва г, пер. Варсонофьевский, д. 8, строение 1",45c3d7aa-b79b-4812-a2a1-8472a4cb42ba,f7400f6b-872b-43ea-8f7a-c2a33f89f487,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1460.2,963.5,-,-,-,,,,,77:01:0001039:1013,06f1d8f9-ecc7-4078-936f-3415e80d0bce,,,37.6264634,55.763186,94,POINT (37.6264634 55.763186)
"107031, Москва г, пер. Варсонофьевский, д. 8, строение 2",5b31f961-557d-42e0-aa13-b59108f8ced9,e4910adc-1db0-4e59-8270-5f89dfff9b68,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,605.0,329.6,-,-,-,,,,,77:01:0001039:1014,dfc09add-859f-43c4-b316-c57448fa51d1,,,37.6268461,55.7631722,94,POINT (37.6268461 55.7631722)
"107031, Москва г, пер. Варсонофьевский, д. 8, строение 3",8097339f-4c20-4326-a537-a5ab4fd7e5d6,791ad410-d3fe-4fd3-bd9d-f30b8e2f815a,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,883.0,477.6,-,-,-,,,,,77:01:0001039:1015,21fdf698-6de9-467c-a4a0-c9e7adc9a0bb,,,37.626805,55.76296300000001,94,POINT (37.626805 55.76296300000001)
"107031, Москва г, пер. Варсонофьевский, д. 8, строение 4",52161f26-c907-454e-80ee-fb87fec19d69,1b37db4e-28c3-4222-b203-c89c40b7e591,45379000,УО,5147746267939.0,770201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА""",Многоквартирный,Исправный,1200.0,958.1,-,-,-,,,,,77:01:0001039:1016,c634ba71-fa1f-4745-a4a9-f33fa49bf0b8,,,37.626345,55.762988,94,POINT (37.626345 55.762988)
