Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 12",49c46d5c-d17a-42f1-8a7d-bb7c117e6c75,bc1b2a65-c9e6-4c3d-b034-85df1028de72,45948000,Не выбран,,,,Жилой,Исправный,209.8,,-,-,-,,,,,,37094e84-e46b-488f-8f2f-8081bd6ab551,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 13",2411d951-cf0a-4bf6-a39e-a2d5ba281b5a,b2a98fac-f4b3-4534-9862-db6125a66328,45948000,Не выбран,,,,Жилой,Исправный,49.9,,-,-,-,,,,,,8938dfec-b18b-4d37-9dc3-80246c8e92f1,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 15",fb51d540-4a28-4220-bd32-8c45b79a4f47,9c6c3204-c391-4a19-801c-870ade2fbfce,45948000,Не выбран,,,,Жилой,Исправный,212.7,,-,-,-,,,,,,b5ed6ea7-ff58-4af0-8667-37b461c82975,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 17",a8125d21-406e-47aa-aa0c-e1ba4a6f690e,a8125d21-406e-47aa-aa0c-e1ba4a6f690e,45948000,Не выбран,,,,Жилой,Исправный,54.3,,-,-,-,,,,,,df042d3f-963d-4078-bbd2-6b6e865fbba5,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 20",d3b4632e-3c42-43e5-961c-8ff736ba5cf1,19a1f286-98ba-4140-8875-7f174af8fb7c,45948000,Не выбран,,,,Жилой,Исправный,163.8,,-,-,-,,,,,,acdc02fa-c887-40c8-8ea9-df333a1332ba,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 21",086f40a4-1ab9-41fa-b465-4f84ae245237,086f40a4-1ab9-41fa-b465-4f84ae245237,45948000,Не выбран,,,,Жилой,Исправный,250.8,,-,-,-,,,,,,c097d64c-d7db-4423-9f99-b29ab06c9ca9,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 23",5e361706-58ff-4d60-adf4-a79b55904d5f,390c6ab0-ef96-449f-9bd6-00e27ef497b8,45948000,Не выбран,,,,Жилой,Исправный,188.0,,-,-,-,,,,,,13268bd1-2f5a-42f0-ad8f-2fd836aa3859,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 24",c4c7d143-1e49-4597-984d-388fa29532d2,c4c7d143-1e49-4597-984d-388fa29532d2,45948000,Не выбран,,,,Жилой,Исправный,117.1,,-,-,-,,,,,,2df96f0a-de6b-4938-8900-7c1d72aea30c,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 25",fdb6e887-316b-4812-ade5-04f4204ff03c,fdb6e887-316b-4812-ade5-04f4204ff03c,45948000,Не выбран,,,,Жилой,Исправный,52.7,,-,-,-,,,,,,85fb04e1-4e03-4398-a787-adc816f56a34,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
"108828, Москва г, п. Краснопахорское, д. Софьино, ул. Дубравная, д. 26",14cc6e38-f79a-4a9f-ad35-dc458e80589d,14cc6e38-f79a-4a9f-ad35-dc458e80589d,45948000,Не выбран,,,,Жилой,Исправный,159.5,,-,-,-,,,,,,b4ef979d-36e9-4f7f-9bb1-0ff96f63d2de,,,37.3652331,55.84933299999999,46,POINT (37.3652331 55.84933299999999)
