Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Рассудово, ул. Рябиновая, д. 3",077fc6f6-c106-4461-857c-ecc4a705cc52,2fdd9429-f000-4c69-b0ef-d4eaa724e08b,45954000,Не выбран,,,,Жилой,Исправный,402.8,,-,-,-,,,,,77:21:0140401:319,6dc94756-9762-4b65-8fea-e10a098ad69a,,,37.4246578,55.7182256,2,POINT (37.4246578 55.7182256)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Луговая, д. 3",98c8d1b4-ce37-4b08-af06-35221d843a53,98c8d1b4-ce37-4b08-af06-35221d843a53,45955000,Не выбран,,,,Жилой,Исправный,284.7,,-,-,-,,,,,77:18:0180501:59,87880adf-3fe2-453b-92ad-ffb153c43fbf,,,37.34553700000001,55.6857109,2,POINT (37.34553700000001 55.6857109)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Луговая, д. 4",a9f37319-85a9-443e-9bf3-7c97e9457f36,a9f37319-85a9-443e-9bf3-7c97e9457f36,45955000,Не выбран,,,,Жилой,Исправный,217.0,,-,-,-,,,,,77:18:0180501:60,ac4236f0-6020-4b11-8796-38cab1d33de1,,,37.3427528,55.6883488,2,POINT (37.3427528 55.6883488)
"108808, Москва г, п. Первомайское, д. Милюково, ул. Луговая, д. 9",e59842b9-4c35-48ff-93b0-4b7e22f5048c,e59842b9-4c35-48ff-93b0-4b7e22f5048c,45955000,Не выбран,,,,Жилой,Исправный,437.6,,-,-,-,,,,,77:18:0180518:18,0053813c-0678-4d39-b7a0-daac5695db85,,,37.345538,55.68570889999999,2,POINT (37.345538 55.68570889999999)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 1",edc1a814-2e9d-415c-97e1-b1a86dc9e5f4,edc1a814-2e9d-415c-97e1-b1a86dc9e5f4,45955000,Не выбран,,,,Жилой,Исправный,195.9,,-,-,-,,,,,77:18:0180505:1,6f2fc2ae-314d-487f-8e7c-57744f6eb37d,,,37.3454235,55.6857342,2,POINT (37.3454235 55.6857342)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 11",edac416f-e244-4ef9-9781-da2ac6c7e676,41903c31-23f3-4274-b235-b23d80f84e05,45955000,Не выбран,,,,Жилой,Исправный,320.0,,-,-,-,,,,,77:18:0180505:363,2d9cacf6-9ef9-4ad2-8b05-3bf39eca1b0a,,,37.3455384,55.6857081,2,POINT (37.3455384 55.6857081)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 13",df96864f-61cc-4c20-afa3-841e46b7a1a9,1e5a260f-6161-470c-80e8-03236a106d65,45955000,Не выбран,,,,Жилой,Исправный,162.0,,-,-,-,,,,,50:26:0180503:401,3cd222f6-d21c-47f6-bdd0-179a607e07d1,,,37.344652,55.6869773,2,POINT (37.344652 55.6869773)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 16",7c9aefe7-5f86-44a1-8c4c-a94da7212bc8,7c9aefe7-5f86-44a1-8c4c-a94da7212bc8,45955000,Не выбран,,,,Жилой,Исправный,102.8,,-,-,-,,,,,77:18:0180505:358,8af7ac1c-b1fc-429c-be15-85717cd6137f,,,37.3455394,55.6857062,2,POINT (37.3455394 55.6857062)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 17",43790bae-c74b-4418-ba5b-cd8d1921524a,bd98505f-4028-4b10-b3ff-21417ee991a6,45955000,Не выбран,,,,Жилой,Исправный,126.6,,-,-,-,,,,,77:18:0180503:2,c047dcdf-7e21-4cd2-bba6-65ec345d9613,,,37.3455396,55.6857058,2,POINT (37.3455396 55.6857058)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 18",705f69ad-ef8a-4c72-8553-c8573e4eb606,c319200e-c4ab-44c5-889e-dc77b53fd455,45955000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,8b47f92e-837e-4610-89d1-04178b2a2756,,,37.3455398,55.6857054,2,POINT (37.3455398 55.6857054)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 19",2be966ff-0d1c-4814-8aa8-70b1514b7e64,f64d70ee-9629-45c4-ba20-10e71eaaf28d,45955000,Не выбран,,,,Жилой,Исправный,119.8,,-,-,-,,,,,77:18:0180505:269,26915e24-28d2-4083-b77d-032f1492c947,,,37.34554,55.685705,2,POINT (37.34554 55.685705)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 2",802721c7-37cd-4423-a3aa-6215aa8dde1a,d83de9b5-a7f1-436b-a0ee-e516c5bcfc52,45955000,Не выбран,,,,Жилой,Исправный,123.0,,-,-,-,,,,,77:18:0180505:379,dceafc4b-3fab-4e5f-9885-5b8c5f01e4c4,,,37.34553700000001,55.6857109,2,POINT (37.34553700000001 55.6857109)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 20",17a1b495-c82d-40d9-bd37-bab79eaa8083,851d22b3-df5f-4830-8c97-44351fa97c29,45955000,Не выбран,,,,Жилой,Исправный,292.6,,-,-,-,,,,,77:18:0180503:20,3931cae5-49f0-4abb-a99d-e70873bb5047,,,37.3455402,55.68570459999999,2,POINT (37.3455402 55.68570459999999)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 21",b58713ed-4056-4619-a1e0-5ca061c7fd9d,5e4c42ef-fd1b-442a-a5c5-2be5f15e224f,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,198.8,,-,-,-,,,,,77:18:0180505:340,1270732c-a4ca-467c-ab98-ddb6d67b9e62,,,37.3455404,55.6857042,2,POINT (37.3455404 55.6857042)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 23",50353eb8-0eff-41fb-8398-ff912178d8da,fc033b03-89ef-4f9e-8cee-799e4d742bbb,45955000,Не выбран,,,,Жилой,Исправный,331.9,,-,-,-,,,,,77:18:0180505:235,8303dcf9-e20e-4adf-a0b0-fa6e8639fbd3,,,37.3455408,55.68570339999999,2,POINT (37.3455408 55.68570339999999)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 25",4ceb84ba-fae8-4f12-b5f8-86305e092cde,919ca50d-fe96-46d3-a190-a23b8239d350,45955000,Не выбран,,,,Жилой,Исправный,228.0,,-,-,-,,,,,77:18:0190909:9,bf0164ea-6732-42c8-96cb-5eaf495db156,,,37.3455411,55.6857026,2,POINT (37.3455411 55.6857026)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 26",d01166e0-185d-4c8d-846d-4fd389754047,d01166e0-185d-4c8d-846d-4fd389754047,45955000,Не выбран,,,,Жилой,Исправный,132.2,,-,-,-,,,,,50:26:0080511:146,a40b81f5-18c6-434f-a594-4145b7f936c3,,,37.3455413,55.68570219999999,2,POINT (37.3455413 55.68570219999999)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 27",b756f1ef-bb04-4660-9dc7-3d1eec7b6aa2,7741f236-0702-4940-ba23-6e4196ff3b6e,45955000,Не выбран,,,,Жилой,Исправный,130.2,,-,-,-,,,,,77:18:0180505:259,3feb6a27-b8aa-460e-bb5e-9c8beb4c5020,,,37.3455415,55.6857019,2,POINT (37.3455415 55.6857019)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 28",e232d81b-54ba-42e6-b2fa-14f76cf02d26,44fca6e1-3742-4832-9077-4c451513b015,45955000,Не выбран,,,,Жилой,Исправный,221.9,,-,-,-,,,,,77:18:0180505:319,cba3f951-0c7e-44c7-bf7b-709d87980a01,,,37.3455417,55.6857015,2,POINT (37.3455417 55.6857015)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 3",cb50d63a-9de2-4af0-bb60-b75b33a870f0,d028586e-bab5-4735-ba98-d9d99b046dc4,45955000,Не выбран,,,,Жилой,Исправный,225.2,,-,-,-,,,,,77:18:0180505:296,2dd12d93-9179-4680-955e-0fe603ba70e5,,,37.34553700000001,55.6857109,2,POINT (37.34553700000001 55.6857109)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 30",0ccde66c-3db1-4d03-8683-925e764d3776,c1731046-06e5-4aaa-bccc-89fdc26df55a,45955000,Не выбран,,,,Жилой,Исправный,146.9,,-,-,-,,,,,77:18:0180505:149,afde8208-1024-41f3-b926-5f98da60c84c,,,37.3455421,55.6857007,2,POINT (37.3455421 55.6857007)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 34",06cc570c-461c-4f9c-97a3-f18b492396db,cc0f1d56-0242-4159-827c-509eccbd277a,45955000,Не выбран,,,,Жилой,Исправный,111.2,,-,-,-,,,,,77:18:0180505:304,fc2c1f6b-e515-4409-bff3-08616d94905d,,,37.3455429,55.6856991,2,POINT (37.3455429 55.6856991)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 38",cbef80e1-cee3-420a-8185-23149275e6b9,cc9d5deb-fd7e-492d-b1ae-fa2fc4e16484,45955000,Не выбран,,,,Жилой,Исправный,121.7,,-,-,-,,,,,77:18:0180505:220,ad4a0e9d-726c-4591-94bf-56bb49376761,,,37.3455433,55.68569830000001,2,POINT (37.3455433 55.68569830000001)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 4",b71d258e-d71c-40a4-8cf6-0390357f648e,fd1e83c4-5833-4ee5-bd05-5daee4a9a478,45955000,Не выбран,,,,Жилой,Исправный,259.3,,-,-,-,,,,,77:18:0180505:175,afeb0d0f-7afd-409b-8fe0-ac9cec518ad4,,,37.3427528,55.6883488,2,POINT (37.3427528 55.6883488)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 5",d1b3f737-f5ed-4cd5-99cc-e75d00430df3,fc032623-e051-47f5-92ff-2dd29bd8a53d,45955000,Не выбран,,,,Жилой,Исправный,88.3,,-,-,-,,,,,77:18:0180505:345,1de6e311-5514-47e4-aeba-620cdd8db09a,,,37.3455372,55.6857105,2,POINT (37.3455372 55.6857105)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Луговая, д. 6",391d8161-5bfe-44a0-a95d-5869debdbae4,56225ddf-67fa-4fb7-bcbc-70f4c318f031,45955000,Не выбран,,,,Жилой,Исправный,102.3,,-,-,-,,,,,77:18:0180505:228,ade21cee-60cb-4734-95d6-b43a6e8e23fd,,,37.3455374,55.68571009999999,2,POINT (37.3455374 55.68571009999999)
