Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"141408, Москва г, ул. 1-я Новосёлки, д. 10",cacc6159-8001-438b-8312-b206caeed5ab,0790d9ad-0c96-4289-87c9-69b41964993c,45343000,Не выбран,,,,Жилой,Исправный,124.1,,-,-,-,,,,,77:09:0006011:1158,6f8a5319-178c-4fa6-b2e6-c7c4c3071bc7,,,37.388988,55.9307204,22,POINT (37.388988 55.9307204)
"141408, Москва г, ул. 1-я Новосёлки, д. 11",c54053dd-6d47-4f4a-87e6-2a7f776e21e1,6e2bb5e9-1ecb-40a5-900c-99fe7be9f2d7,45343000,Не выбран,,,,Жилой,Исправный,138.9,,-,-,-,,,,,77:09:0006011:1156,31ecf65c-c24f-4a81-be5a-e92db9ef0e33,,,37.3884851,55.931153,22,POINT (37.3884851 55.931153)
"141408, Москва г, ул. 1-я Новосёлки, д. 12",7e967389-3541-4374-bd00-bd5b1067863b,a58a09ad-f0e8-4e26-a8d9-d808c1b1ad45,45343000,Не выбран,,,,Жилой,Исправный,145.2,,-,-,-,,,,,77:09:0006011:1160,33eced95-c6e9-4248-a6c8-418fe095a746,,,37.3894109,55.93097720000001,22,POINT (37.3894109 55.93097720000001)
"141408, Москва г, ул. 1-я Новосёлки, д. 13",ef148bb0-e13f-4496-a643-535328617be8,246e2d2e-4e2d-4224-9c8c-8a684520d339,45343000,Не выбран,,,,Жилой,Исправный,45.1,,-,-,-,,,,,77:09:0006011:1154,0dc0adca-4c6d-4b23-9a24-5434a8f543be,,,37.3892513,55.9313261,22,POINT (37.3892513 55.9313261)
"141408, Москва г, ул. 1-я Новосёлки, д. 14",e9af102f-df17-4bdc-a177-660b52c0f0d6,052b0c67-db60-4f8f-8e80-4b3993f0299c,45343000,Не выбран,,,,Жилой,Исправный,92.1,,-,-,-,,,,,77:09:0006011:2079,8ee4bee0-00a7-48f3-9ec9-827fec21cd64,,,37.3897392,55.931115,22,POINT (37.3897392 55.931115)
"141408, Москва г, ул. 1-я Новосёлки, д. 15",28f7393c-d17f-49e2-8339-d28810d6cf94,8a2f7358-5e07-4419-969d-593dea626a2c,45343000,Не выбран,,,,Жилой,Исправный,83.3,,-,-,-,,,,,77:09:0006011:1152,e803ea46-b41b-412c-8dd5-a14dd1509c12,,,37.3892473,55.9314928,22,POINT (37.3892473 55.9314928)
"141408, Москва г, ул. 1-я Новосёлки, д. 16",8d13ed12-8e50-47d8-9002-8308b5c0e087,9bad2406-8f51-4cda-903e-fc88ef7a4aa9,45343000,Не выбран,,,,Жилой,Исправный,62.0,,-,-,-,,,,,77:09:0006011:1153,5fe9428d-bdf0-41ce-9d46-4c63d90a4d5e,,,37.3901203,55.93128489999999,22,POINT (37.3901203 55.93128489999999)
"141408, Москва г, ул. 1-я Новосёлки, д. 17",9fb27280-32a7-4143-b70a-1eba12d45579,56084d46-a55b-4e05-9071-5f0ded7b1086,45343000,Не выбран,,,,Жилой,Исправный,226.7,,-,-,-,,,,,77:09:0006011:1150,e77db1a6-25f1-47be-bac3-c8c3fb046e42,,,37.3896395,55.9316079,22,POINT (37.3896395 55.9316079)
"141408, Москва г, ул. 1-я Новосёлки, д. 17, строение 11",3ae5023a-0a66-4c36-86e1-09f5f6c3b84e,3ae5023a-0a66-4c36-86e1-09f5f6c3b84e,45343000,Не выбран,,,,Жилой,Исправный,107.1,,-,-,-,,,,,,d4410803-ff2e-4cbe-ab6e-185cdc84fcbf,,,37.3894255,55.9317855,22,POINT (37.3894255 55.9317855)
"141408, Москва г, ул. 1-я Новосёлки, д. 18",31a2a170-82c1-4cd3-af19-82a1e76bd68e,dce24f3c-cf7c-4dca-bdc1-4f235e9274eb,45343000,Не выбран,,,,Жилой,Исправный,60.4,,-,-,-,,,,,77:09:0006011:1151,4d463610-c9c0-4dd0-a697-6381e6c48e49,,,37.3904375,55.9314775,22,POINT (37.3904375 55.9314775)
