Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"115142, Москва г, б-р. Кленовый, д. 17, корп. 1",cdf02c43-d670-49e3-81c7-6cd905142e90,cdf02c43-d670-49e3-81c7-6cd905142e90,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3647.7,3647.0,нет,нет,-,,,,,77:05:0004010:1069,8a1f2633-1352-4edb-929e-18ce449f3204,,,37.679907,55.67807,47,POINT (37.679907 55.67807)
"115142, Москва г, б-р. Кленовый, д. 17, корп. 2",b3ee99a5-febb-4984-a430-93a5195e459c,b3ee99a5-febb-4984-a430-93a5195e459c,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3644.5,3644.0,нет,нет,-,,,,,77:05:0004010:1070,d5bf0733-37e7-42e9-82de-ab3ad69b48a9,,,37.680169,55.677784,47,POINT (37.680169 55.677784)
"115142, Москва г, б-р. Кленовый, д. 19, корп. 1",e15a3b9b-33d3-4a36-bf86-7a433ad4a5dd,e15a3b9b-33d3-4a36-bf86-7a433ad4a5dd,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3658.3,3658.3,нет,нет,-,,,,,77:05:0004010:1071,dd2903d8-c96e-42ba-b859-aa0ca61134e8,,,37.6799266,55.67740879999999,47,POINT (37.6799266 55.67740879999999)
"115142, Москва г, б-р. Кленовый, д. 19, корп. 2",41ebe414-f2c2-4c21-a723-33bdbd6afee4,41ebe414-f2c2-4c21-a723-33bdbd6afee4,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3654.3,3654.3,нет,нет,-,,,,,77:05:0004010:1072,b603373a-a610-4a0f-a169-1aec7dfafb6a,,,37.680159,55.6771219,47,POINT (37.680159 55.6771219)
"115142, Москва г, б-р. Кленовый, д. 23, корп. 2",6d822e06-06f5-441c-9879-12d019870529,6d822e06-06f5-441c-9879-12d019870529,45919000,ЖК,1037739277586.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СОЮЗГИПРОЛЕСХОЗ-2""",Многоквартирный,Исправный,7093.2,4114.0,-,-,-,,,,,77:05:0004010:1073,4fcbee6a-0a5e-423b-abce-4b6dc7f31a6f,,,37.6817533,55.67623889999999,47,POINT (37.6817533 55.67623889999999)
"115142, Москва г, б-р. Кленовый, д. 25, корп. 1",5674bc15-a4b5-445a-bd75-ca3b132dbfc7,5674bc15-a4b5-445a-bd75-ca3b132dbfc7,45919000,ЖК,1037739305713.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""НАГАТИНСКИЙ""",Многоквартирный,Исправный,7028.9,4078.9,-,-,-,,,,,77:05:0004010:1074,acefe82c-9c54-4f8a-b996-74b1ec5dcef6,,,37.682491,55.675584,47,POINT (37.682491 55.675584)
"115142, Москва г, наб. Коломенская, д. 10",3dc05ccc-09e3-4707-b6da-3fb787cf33e4,3dc05ccc-09e3-4707-b6da-3fb787cf33e4,45919000,ЖК,1037739559912.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""РЫБИНСК""",Многоквартирный,Исправный,21089.5,20990.0,-,-,-,,,,,77:05:0004012:1021,1493cdea-2591-494b-8af6-bab37e4e6f29,,,37.705846,55.679942,47,POINT (37.705846 55.679942)
"115142, Москва г, наб. Коломенская, д. 12",9da6afc2-3a94-4c6e-809c-d09015573873,9da6afc2-3a94-4c6e-809c-d09015573873,45919000,ТСЖ,1027700130160.0,772501001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""НАГАТИНО 18-30""",Многоквартирный,Исправный,19233.8,19233.8,-,-,-,,,,,77:05:0004012:1035,24fa579d-0224-4fa5-ac63-6d0e721185bb,,,37.7036323,55.67922369999999,47,POINT (37.7036323 55.67922369999999)
"115142, Москва г, наб. Коломенская, д. 14",607275de-c30d-43e4-965b-377135b619b6,607275de-c30d-43e4-965b-377135b619b6,45919000,ЖК,1037739504967.0,772501001.0,"НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""КОЛОМЕНСКОЕ""",Многоквартирный,Исправный,21044.9,20948.0,-,-,-,,,,,77:05:0004012:1022,7824b999-f320-4c17-9d20-ab9dcd2a08b8,,,37.702906,55.678128,47,POINT (37.702906 55.678128)
"115142, Москва г, наб. Коломенская, д. 18",63c295d8-1041-40ef-90b1-f0656e488222,63c295d8-1041-40ef-90b1-f0656e488222,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,21093.9,21029.0,нет,нет,-,,,,,77:05:0004012:1023,705f2595-b6e7-46cb-b1f9-200398127e59,,,37.6979755,55.6767607,47,POINT (37.6979755 55.6767607)
"115142, Москва г, наб. Коломенская, д. 22",f349eb1c-b093-4377-a920-58c06c25d14d,f349eb1c-b093-4377-a920-58c06c25d14d,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,21113.2,20788.0,нет,нет,-,,,,,77:05:0004012:1024,cfcdcdc1-4812-4ee7-89a6-6efac94aec84,,,37.6941964,55.6757877,47,POINT (37.6941964 55.6757877)
"115142, Москва г, наб. Коломенская, д. 24",786226b2-8c6f-4211-a886-ac81f668ef6f,aa46504d-d5a0-48fa-8f08-1c699574b962,45919000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,8120.2,7678.2,-,-,-,,,,,77:05:0004012:1036,49988b65-76f9-48ce-9c78-0ea4eff83b93,,,37.6924728,55.67503019999999,47,POINT (37.6924728 55.67503019999999)
"115142, Москва г, наб. Коломенская, д. 26, корп. 1",f5d12316-c6ba-4961-9f4a-5edd3f3f3003,f5d12316-c6ba-4961-9f4a-5edd3f3f3003,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,4331.5,4294.0,нет,нет,-,,,,,77:05:0004012:1026,ca1452d9-af3f-43ea-801b-8e9df11d73f5,,,37.6912078,55.6748371,47,POINT (37.6912078 55.6748371)
"115142, Москва г, наб. Коломенская, д. 26, корп. 2",4ed3ee69-0555-40ea-8b43-afede704e6cc,4ed3ee69-0555-40ea-8b43-afede704e6cc,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,13646.5,13598.0,нет,нет,-,,,,,77:05:0004012:1025,a1842e98-d02c-48ff-94f2-311e723bf97f,,,37.6907513,55.6744805,47,POINT (37.6907513 55.6744805)
"115142, Москва г, наб. Коломенская, д. 26, корп. 3",cc5f7e54-bc90-4463-88ff-467faa67ff87,cc5f7e54-bc90-4463-88ff-467faa67ff87,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,8787.6,8772.0,нет,нет,-,,,,,77:05:0004012:1027,5d1d1dc1-a30d-451b-b39b-fb65b138379b,,,37.6893061,55.67460149999999,47,POINT (37.6893061 55.67460149999999)
"115142, Москва г, наб. Коломенская, д. 6",24bc78e3-6e0d-45f5-ad1e-366ecfc2cee2,24bc78e3-6e0d-45f5-ad1e-366ecfc2cee2,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,14059.5,14009.0,нет,нет,-,,,,,77:05:0004012:1033,0014723b-76bf-453d-8a9f-bf37d7e8ce9f,,,37.7077818,55.6835408,47,POINT (37.7077818 55.6835408)
"115142, Москва г, наб. Коломенская, д. 6, корп. 1",9f6d138b-c4b6-4a5c-8d11-6d93c1635cba,9f6d138b-c4b6-4a5c-8d11-6d93c1635cba,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,38800.1,38503.0,нет,нет,-,,,,,77:05:0004012:1034,351ec95d-1801-458b-959b-e39928fa9e42,,,37.70852850000001,55.6837064,47,POINT (37.70852850000001 55.6837064)
"115142, Москва г, ул. Затонная, д. 10, корп. 1",3e355dee-b4c0-4186-8cb6-9c9a6a3d2a92,3e355dee-b4c0-4186-8cb6-9c9a6a3d2a92,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,7046.1,4086.8,нет,нет,-,,,,,77:05:0004010:1009,705ccab3-36c6-45c8-a501-aba6473d6669,,,37.68463680000001,55.6777477,47,POINT (37.68463680000001 55.6777477)
"115142, Москва г, ул. Затонная, д. 10, корп. 3",d69aceaa-acae-4496-aa42-71094ced757f,d69aceaa-acae-4496-aa42-71094ced757f,45919000,ТСЖ,1037700207170.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""РАССВЕТ-1""",Многоквартирный,Исправный,7034.2,4088.1,-,-,-,,,,,77:05:0004010:1010,1050d000-7535-4537-9136-57d37ba645c5,,,37.68233980000001,55.67773529999999,47,POINT (37.68233980000001 55.67773529999999)
"115142, Москва г, ул. Затонная, д. 11, корп. 3",4b739352-495a-44f9-96cc-afcf060bc641,4b739352-495a-44f9-96cc-afcf060bc641,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3402.4,3403.0,нет,нет,-,,,,,77:05:0004010:1011,b3b6e8ea-0d48-4887-bdab-70ce134942ac,,,37.68839699999999,55.679099,47,POINT (37.68839699999999 55.679099)
"115142, Москва г, ул. Затонная, д. 12, корп. 1",a7725bde-b2b5-4441-a78e-34316f17ebfe,a7725bde-b2b5-4441-a78e-34316f17ebfe,45919000,ЖК,1037739300763.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЭНЕРГЕТИК-4""",Многоквартирный,Исправный,7148.0,7148.0,-,-,-,,,,,77:05:0004010:1012,5fad0bd6-bed8-4e87-93ad-de5ce54ee9c1,,,37.6856401,55.6771326,47,POINT (37.6856401 55.6771326)
"115142, Москва г, ул. Затонная, д. 12, корп. 2",cb32621b-8e35-4658-9a74-d73ce57d7737,cb32621b-8e35-4658-9a74-d73ce57d7737,45919000,ЖК,1027739564423.0,772501001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""МОСКОВСКИЙ ЖУРНАЛИСТ""",Многоквартирный,Исправный,7044.6,4082.0,-,-,-,,,,,77:05:0004010:1013,8b226d66-20fa-4b94-9517-0dc7265bdd8d,,,37.6840138,55.6767011,47,POINT (37.6840138 55.6767011)
"115142, Москва г, ул. Затонная, д. 13, корп. 1",cf339748-d561-44d0-b7fa-07209a3591d2,cf339748-d561-44d0-b7fa-07209a3591d2,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3473.3,3474.0,нет,нет,-,,,,,77:05:0004010:1015,7adac54a-ecf7-4847-9f0b-73184242cfb7,,,37.6865604,55.6779598,47,POINT (37.6865604 55.6779598)
"115142, Москва г, ул. Затонная, д. 13, корп. 2",3ec4dc6a-e0cc-4319-b7d9-1c2dec4797ac,3ec4dc6a-e0cc-4319-b7d9-1c2dec4797ac,45919000,УО,1157746524210.0,772501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НАГАТИНСКИЙ ЗАТОН""",Многоквартирный,Исправный,3472.5,3473.0,нет,нет,-,,,,,77:05:0004010:1016,ef660458-c746-47dc-8719-c6c2b028fff8,,,37.6877894,55.6782147,47,POINT (37.6877894 55.6782147)
