Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Ожигово, ул. Нагорная, д. 5",8f925930-5876-4e51-91b3-11f5a43aa8ee,c7afe0b2-07ae-4b79-98bb-668a835f6183,45954000,Не выбран,,,,Жилой,Исправный,76.5,,-,-,-,,,,,77:21:0140403:29,1a61be93-6bc9-4e47-95e5-de17e4d1c651,,,37.6134144,55.68144119999999,23,POINT (37.6134144 55.68144119999999)
"117152, Москва г, пр-кт. Севастопольский, д. 11, корп. 2",b0c94527-f09b-4b26-848a-d36544045e9e,b0c94527-f09b-4b26-848a-d36544045e9e,45915000,УО,1147746013524.0,772601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""",Многоквартирный,Исправный,2565.0,2564,-,-,-,,,,,77:05:0001015:1055,9a57ae06-2a9a-4006-9e4e-b84e1aa0cbb8,,,37.6083027,55.6903282,23,POINT (37.6083027 55.6903282)
"117152, Москва г, пр-кт. Севастопольский, д. 7, корп. 5",0f0119a1-6d69-43f2-9fd2-928be0eb00f3,0f0119a1-6d69-43f2-9fd2-928be0eb00f3,45915000,УО,1147746013524.0,772601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""",Многоквартирный,Исправный,3436.5,3436.5,-,-,-,,,,,77:05:0001015:1048,010b2a43-c4ce-4f45-a591-648a293e8939,,,37.610492,55.69038699999999,23,POINT (37.610492 55.69038699999999)
"117152, Москва г, пр-кт. Севастопольский, д. 7, корп. 6",d86ca243-d9d1-4009-a5a8-dffc318da6dd,d86ca243-d9d1-4009-a5a8-dffc318da6dd,45915000,УО,1147746013524.0,772601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""",Многоквартирный,Исправный,3397.6,3397.6,-,-,-,,,,,77:05:0001015:1049,ecd2447c-e34c-4a3a-80d3-9ecbf897adb0,,,37.6105725,55.6903247,23,POINT (37.6105725 55.6903247)
"117152, Москва г, пр-кт. Севастопольский, д. 9, корп. 3",de3838cd-ede1-426d-aa0d-85ab0b4cb10a,1d17f8a9-296d-4df3-b44a-cf1359e0cc6b,45915000,УО,1147746013524.0,772601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""",Многоквартирный,Исправный,3549.0,3549,-,-,-,,,,,77:05:0001015:1052,742c6f37-c994-4d5e-8ba7-f08731a7f4a6,,,37.6090631,55.6903602,23,POINT (37.6090631 55.6903602)
"117152, Москва г, пр-кт. Севастопольский, д. 9, корп. 4",6eaea921-c137-4d15-a98f-dfe6be501c28,6eaea921-c137-4d15-a98f-dfe6be501c28,45915000,УО,1147746013524.0,772601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ДОНСКОГО РАЙОНА""",Многоквартирный,Исправный,3526.3,3526.3,-,-,-,,,,,77:05:0001015:1053,20e06821-803f-4494-9cd3-8a9329e07b19,,,37.6097708,55.6903604,23,POINT (37.6097708 55.6903604)
"117186, Москва г, ул. Нагорная, д. 2, корп. 1",e33eeddb-cd59-4f9e-ac51-3b5b74efc0aa,e33eeddb-cd59-4f9e-ac51-3b5b74efc0aa,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,4170.8,4170,-,-,-,,,,,77:06:0002017:1003,a154e16b-6c7f-435f-a467-1639a877cca9,,,37.6105159,55.682575,23,POINT (37.6105159 55.682575)
"117186, Москва г, ул. Нагорная, д. 2, корп. 2",a9081c76-91f1-41fe-b7e6-30e1ae858782,a9081c76-91f1-41fe-b7e6-30e1ae858782,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,4196.1,4196,-,-,-,,,,,77:06:0002017:1004,d7dcc8eb-fd46-443f-bb2f-90cbfde8d1c7,,,37.6105019,55.682885,23,POINT (37.6105019 55.682885)
"117186, Москва г, ул. Нагорная, д. 5, корп. 1",6fe7c24b-2e80-49b6-9ee6-29b1960829fe,6fe7c24b-2e80-49b6-9ee6-29b1960829fe,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,4300.2,3801,-,-,-,,,,,77:06:0002018:1006,f8ce1492-4c6b-460d-ba0c-e82c2e868542,,,37.611524,55.681674,23,POINT (37.611524 55.681674)
"117186, Москва г, ул. Нагорная, д. 5, корп. 2",69df4474-f625-4b5e-b80f-43eff4a18379,69df4474-f625-4b5e-b80f-43eff4a18379,45903000,УО,5147746235379.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА КОТЛОВКА""",Многоквартирный,Исправный,3131.4,3042,-,-,-,,,,,77:06:0002018:1007,343ae40b-7620-42b9-bf28-64d293d984fa,,,37.6125935,55.6810424,23,POINT (37.6125935 55.6810424)
