Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Пучково, ул. Рождественская, д. 12",dc965c29-6198-4a29-bcd6-988b0f3cbf31,2528bad5-0567-450f-aa9e-555293b1f607,45955000,Не выбран,,,,Жилой,Исправный,442.4,,-,-,-,,,,,77:18:0191401:263,e4078c9f-1edd-4c67-a238-9cd2037cbd17,,,37.9169874,55.7024323,8,POINT (37.9169874 55.7024323)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Рождественская, д. 30, строение 1",68865462-2a6a-4cd8-870f-c05182875b15,d61ec804-f85f-48da-bd7d-4d926a4a85d3,45955000,Не выбран,,,,Жилой,Исправный,436.9,,-,-,-,,,,,77:18:0191401:227,e66d43b5-86a5-4e24-b280-27da4cbcb3f9,,,37.92983359999999,55.7065488,8,POINT (37.92983359999999 55.7065488)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Рождественская, д. 7",6d1de76a-d0be-407c-952b-dec721515bcd,9cff189e-66e4-47e1-8326-f1fa70da426e,45955000,Не выбран,,,,Жилой дом блокированной застройки,Исправный,273.5,,-,-,-,,,,,77:18:0191401:242,5130a117-e607-4e24-be62-116a3df0c55a,,,37.9143017,55.702388,8,POINT (37.9143017 55.702388)
"108807, Москва г, п. Первомайское, д. Пучково, ул. Рождественская, д. 9",42ca5463-3840-40e1-b98d-56dffacbf21c,1887798b-331f-4105-aa1b-c9751478cb5a,45955000,Не выбран,,,,Жилой,Исправный,335.6,,-,-,-,,,,,77:18:0191413:257,b60e8a15-bd77-4f9d-8ede-99900588ac5a,,,37.9160134,55.7026134,8,POINT (37.9160134 55.7026134)
"111674, Москва г, ул. 1-я Вольская, д. 1",1ac55a12-ac8e-480c-acbe-e63d79a34888,1ac55a12-ac8e-480c-acbe-e63d79a34888,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,6360.1,5286.0,-,-,-,,,,,77:04:0006003:1025,2becd51e-be99-4eb7-bbfd-ba85a482bbc5,,,37.9151079,55.6833773,8,POINT (37.9151079 55.6833773)
"111674, Москва г, ул. 1-я Вольская, д. 13, корп. 2",88c8458e-1866-45dc-bd03-52e6dbddf886,88c8458e-1866-45dc-bd03-52e6dbddf886,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,7174.0,6793.0,-,-,-,,,,,77:04:0006003:1026,e59ef07b-a7d3-436e-aca2-f8f78d110aa2,,,37.9263514,55.68517730000001,8,POINT (37.9263514 55.68517730000001)
"111674, Москва г, ул. 1-я Вольская, д. 15, корп. 1",14ee58c3-fc7c-4821-9482-0c009b891a4c,ffa61cf8-297f-433d-930e-ab8a86e7f249,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,15153.5,14490.0,-,-,-,,,,,77:04:0006003:1051,a2728a9d-1830-475c-94ad-ba314113cf0a,,,37.9272218,55.6848891,8,POINT (37.9272218 55.6848891)
"111674, Москва г, ул. 1-я Вольская, д. 15, корп. 2",44bf48ff-dd86-40a6-abb9-df2721fb42ac,44bf48ff-dd86-40a6-abb9-df2721fb42ac,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,7171.2,7171.0,-,-,-,,,,,77:04:0006003:1027,a64a88a1-7eac-4ac4-87af-2ea5c00eba14,,,37.9272922,55.6851926,8,POINT (37.9272922 55.6851926)
"111674, Москва г, ул. 1-я Вольская, д. 16",a1da52ab-b4f8-4bc0-ab53-a17dd2b1e10a,a1da52ab-b4f8-4bc0-ab53-a17dd2b1e10a,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,11435.5,10990.0,-,-,-,,,,,77:04:0006003:1048,4df0a635-2407-47f4-8ab9-f8734d937463,,,37.9212482,55.6822931,8,POINT (37.9212482 55.6822931)
"111674, Москва г, ул. 1-я Вольская, д. 17, корп. 1",1c84f1b6-9ba0-408b-a238-f02cfd88082b,793401bb-ac0f-4844-a293-f46ef966608a,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,7361.4,5383.0,-,-,-,,,,,77:04:0006003:1028,db730157-e92e-4d6f-b46c-a67b0eb62981,,,37.928355,55.683964,8,POINT (37.928355 55.683964)
"111674, Москва г, ул. 1-я Вольская, д. 18, корп. 1",3ce357da-ce8b-4ead-88af-3c5587fce3d3,25e7252d-d206-494c-b71c-48c265ed2c2a,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,11339.5,10822.0,-,-,-,,,,,77:04:0006003:1047,5d446bab-76db-40db-81d5-7df2ec18bd9e,,,37.9231809,55.68309430000001,8,POINT (37.9231809 55.68309430000001)
"111674, Москва г, ул. 1-я Вольская, д. 18, корп. 2",5d36fcc4-4f32-4fa4-b42f-8a37d42f8a39,2a01585c-70eb-4eec-b154-eeae7dff6df1,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,15339.0,14678.0,-,-,-,,,,,77:04:0006003:1046,c41f8c8d-1da4-4537-b29b-43646377d416,,,37.922628,55.68241099999999,8,POINT (37.922628 55.68241099999999)
"111674, Москва г, ул. 1-я Вольская, д. 22, корп. 1",226ab6ad-e955-4ed0-bfdd-9d8cadc7eb7d,82820349-0601-4060-b49b-bd5f48035eba,45391000,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,5778.6,,-,-,-,,,,,77:04:0006003:1030,8c76e3f5-af32-48f6-91ce-2b1d8c431902,,,37.92651480000001,55.6832022,8,POINT (37.92651480000001 55.6832022)
"111674, Москва г, ул. 1-я Вольская, д. 24, корп. 1",0dbb4d95-a675-4354-86e0-f8c105ba7794,c1cfe077-b5af-4514-a617-b19d00702a88,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,15895.2,14680.0,-,-,-,,,,,77:04:0006003:1044,99236d81-41da-40ba-a043-5fb644d7a88d,,,37.9292858,55.683487,8,POINT (37.9292858 55.683487)
"111674, Москва г, ул. 2-я Вольская, д. 24",febf2121-6915-4789-8f2f-4b900a04f4bb,febf2121-6915-4789-8f2f-4b900a04f4bb,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,22915.9,20727.2,-,-,-,,,,,77:04:0006003:1054,b1d10941-eeb4-417c-bee1-9322ef294142,,,37.9257725,55.68638079999999,8,POINT (37.9257725 55.68638079999999)
"111674, Москва г, ул. 2-я Вольская, д. 26",1345800c-ece4-424c-8dbb-b1a849d8ed92,1345800c-ece4-424c-8dbb-b1a849d8ed92,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,5356.8,5338.0,-,-,-,,,,,77:04:0006003:1033,43302c6b-94c0-4419-8fa2-bb21ccdaa42f,,,37.92573760000001,55.68671620000001,8,POINT (37.92573760000001 55.68671620000001)
"111674, Москва г, ул. 2-я Вольская, д. 28",8fd0b488-dcb1-4459-8b30-5b9837b90eb1,8fd0b488-dcb1-4459-8b30-5b9837b90eb1,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,5337.0,5320.0,-,-,-,,,,,77:04:0006003:1035,d5952240-e67f-4a4f-ac3b-0a6f317219aa,,,37.9410999,55.68895149999999,8,POINT (37.9410999 55.68895149999999)
"111674, Москва г, ул. Некрасовская, д. 5",39ce0ea4-894c-4266-b6ed-df9e7f6e0b55,39ce0ea4-894c-4266-b6ed-df9e7f6e0b55,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,10043.9,9591.0,-,-,-,,,,,77:04:0006003:1068,95779e5e-cef2-4b1e-a3df-bd026095cb7c,,,37.9230356,55.6814641,8,POINT (37.9230356 55.6814641)
"111674, Москва г, ул. Некрасовская, д. 7",3875109d-446b-4732-8fa6-fb61aeb6b2b2,3875109d-446b-4732-8fa6-fb61aeb6b2b2,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,18442.9,17594.0,-,-,-,,,,,77:04:0006003:1069,0e26355e-7af5-4c38-b5cf-71d592eabc18,,,37.9246191,55.6811952,8,POINT (37.9246191 55.6811952)
"111674, Москва г, ул. Некрасовская, д. 9",9539338b-92c9-4a89-8f04-af7c6a2ae98b,9539338b-92c9-4a89-8f04-af7c6a2ae98b,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,21524.3,20600.0,-,-,-,,,,,77:04:0006003:1070,50c1035d-159d-45b9-b1b7-99866ad42af3,,,37.927582,55.681335,8,POINT (37.927582 55.681335)
"111677, Москва г, пр-кт. Защитников Москвы, д. 10",5c7248db-771b-4612-b1b8-91a3acd39414,5c7248db-771b-4612-b1b8-91a3acd39414,45391000,УО,1107746202101.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЧЕТЫРЕ СОЛНЦА""",Многоквартирный,Исправный,25411.7,18033.4,-,-,-,,,,,77:16:0010105:4854,045275ff-32e2-4275-8527-47e796d21e3b,,,37.9228914,55.7009127,8,POINT (37.9228914 55.7009127)
"111677, Москва г, пр-кт. Защитников Москвы, д. 11",69e41c8b-c312-4109-8339-dc3cacbdd0c3,305137b2-7c5a-4815-8422-7bd188da99c4,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,19135.4,18105.0,-,-,-,,,,,77:00:0000000:16014,4cf5bc7b-3961-485e-a399-defc31321c72,,,37.9205207,55.7018389,8,POINT (37.9205207 55.7018389)
"111677, Москва г, пр-кт. Защитников Москвы, д. 12",dfacc0e7-01e1-41ba-aa1a-e0b43a14f609,dfacc0e7-01e1-41ba-aa1a-e0b43a14f609,45391000,УО,1107746202101.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЧЕТЫРЕ СОЛНЦА""",Многоквартирный,Исправный,30397.9,21495.6,-,-,-,,,,,77:16:0010105:2279,627c80e3-2d42-4e6f-b3c2-689542d9070d,,,37.9239466,55.7018194,8,POINT (37.9239466 55.7018194)
"111677, Москва г, пр-кт. Защитников Москвы, д. 13",ed5491bd-5a2f-4fe8-bf34-b4e7bd103525,9339e4b1-bb40-423a-aee4-f08a90d1dd57,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,24262.3,21505.2,-,-,-,,,,,77:00:0000000:16019,a3f10cf2-20e7-41f5-8ad2-befb14890ad3,,,37.92202899999999,55.702582,8,POINT (37.92202899999999 55.702582)
"111677, Москва г, пр-кт. Защитников Москвы, д. 14",c042dd9b-d63c-4fa0-bd26-7abfeeb51107,c042dd9b-d63c-4fa0-bd26-7abfeeb51107,45391000,УО,1107746202101.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЧЕТЫРЕ СОЛНЦА""",Многоквартирный,Исправный,30477.6,21556.3,-,-,-,,,,,77:16:0010105:2289,1996f251-48a1-4526-b7eb-a94953b38176,,,37.928203,55.70253469999999,8,POINT (37.928203 55.70253469999999)
"111677, Москва г, пр-кт. Защитников Москвы, д. 15",96ac269b-b8de-4455-a4a9-5fa43cf9572e,9b84bd44-c3d1-4a7c-aaea-511aa3082aa5,45391000106,УО,1147746758510.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЗ-СТОЛИЦА""",Многоквартирный,Исправный,22880.1,22465.6,-,-,-,,,,,77:00:0000000:16022,f4051ecb-798c-4f5f-9d46-c3aa4166ec3d,,,37.9244423,55.7034454,8,POINT (37.9244423 55.7034454)
"111677, Москва г, пр-кт. Защитников Москвы, д. 8",4ffdeee6-8a9b-4a11-9fed-f2b54418f23d,4ffdeee6-8a9b-4a11-9fed-f2b54418f23d,45391000,УО,1107746202101.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ЧЕТЫРЕ СОЛНЦА""",Многоквартирный,Исправный,30433.0,21513.7,-,-,-,,,,,77:16:0010105:4855,05f7ec91-5a4b-4f8d-b097-62e16e077145,,,37.9211863,55.7002288,8,POINT (37.9211863 55.7002288)
"111677, Москва г, пр-кт. Защитников Москвы, д. 9, корп. 1",333e8524-e502-4520-b305-e9600ab1c967,35413c82-13c2-4591-ac25-69d8f9cf8be4,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,15044.1,14390.0,-,-,-,,,,,77:00:0000000:16016,b3df9e47-f820-43b2-98bd-ae6065e5f8b6,,,37.9192985,55.7009231,8,POINT (37.9192985 55.7009231)
"111677, Москва г, ул. Вертолётчиков, д. 1",dc4dda72-f42f-429e-91c9-5211ecf3fa7f,a395dde8-ebdd-4dd0-b7a7-fca9c404a350,45391000,УО,1155027009433.0,502701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""МАСТЕР ЖКХ""",Многоквартирный,Исправный,28651.8,27865.1,-,-,-,,,,,,c4dad7f7-0e52-4af4-8fd0-b00349bffd40,,,37.9393283,55.6997039,8,POINT (37.9393283 55.6997039)
"111677, Москва г, ул. Вертолётчиков, д. 11",4ec8da3d-6840-4bec-a391-b9d16e9664d9,a01aad77-ce61-46cc-835f-ea4ea4a97158,45391000106,УО,5147746427626.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НЕКРАСОВКА""",Многоквартирный,Исправный,8945.8,6229.6,-,-,-,,,,,77:16:0010105:19857,1b151f5a-b592-4500-b731-009edc693cd9,,,37.9409103,55.7029173,8,POINT (37.9409103 55.7029173)
"111677, Москва г, ул. Вертолётчиков, д. 13",b1800fb6-d14a-4be5-9389-3a3ebbf92082,aa62714f-908b-462a-b26a-b289074b0093,45391000106,УО,1155027006188.0,502701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОК-ЮНИОН""",Многоквартирный,Исправный,47866.1,33357.9,нет,нет,-,,,,,77:16:0010105:19232,69de7f4a-7f8f-4c4f-924e-56513d4eb249,,,37.9408935,55.7036797,8,POINT (37.9408935 55.7036797)
