Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107031, Москва г, ул. 2-я Карачаровская, д. 2А",824652b6-4a7b-4fb0-9245-070fd0934bfb,824652b6-4a7b-4fb0-9245-070fd0934bfb,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,1144.9,1125.5,-,-,-,,,,,77:04:0002001:1018,2c8dc64b-972e-44f0-a0d5-211889ab4375,,,37.750441,55.735571,24,POINT (37.750441 55.735571)
"109029, Москва г, проезд. Боенский, д. 2",32a0aebe-0757-43e3-8636-985549647198,32a0aebe-0757-43e3-8636-985549647198,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,4564.3,3498.7,-,-,-,,,,,77:04:0001008:1010,4f22b0af-9ade-4f45-bd98-fb5c447e7567,,,37.698855,55.735129,24,POINT (37.698855 55.735129)
"109029, Москва г, проезд. Боенский, д. 4",bcb0a888-6cd7-473e-8e5e-e4d3b352dabc,bcb0a888-6cd7-473e-8e5e-e4d3b352dabc,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,3639.7,3638.5,-,-,-,,,,,77:04:0001008:1011,c959ff0e-7cc0-49bd-9f63-639e1b3808b4,,,37.698797,55.734748,24,POINT (37.698797 55.734748)
"109029, Москва г, ул. Средняя Калитниковская, д. 51, корп. 1",a0599c14-41d6-4af9-b057-949a8aaa811d,a0599c14-41d6-4af9-b057-949a8aaa811d,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,3386.6,2958.9,-,-,-,,,,,77:04:0001008:1012,acd08130-2cb0-4669-bd9c-478d3bb707ba,,,37.7004996,55.7330948,24,POINT (37.7004996 55.7330948)
"109029, Москва г, ул. Средняя Калитниковская, д. 51, корп. 2",12f4c4a6-b1bd-419e-8100-579521d92aa5,0872ed68-8137-4900-8b45-7d2c3c847578,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,3666.7,3664.7,-,-,-,,,,,77:04:0001008:1013,a4ed778c-dcb7-491c-a4d0-9f91fa4e1ee1,,,37.7003259,55.7338001,24,POINT (37.7003259 55.7338001)
"109052, Москва г, пер. Подъёмный, д. 1",590915cb-d908-47ec-bc5f-d72d3e2230e6,8c8ed04a-ab52-4a51-91d9-f698651019a8,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,8890.1,6912.8,-,-,-,,,,,77:04:0001014:1027,f7360bd3-7fdb-49f2-a827-6e1b4b070a4c,,,37.7097511,55.7368296,24,POINT (37.7097511 55.7368296)
"109052, Москва г, пер. Подъёмный, д. 3",3a3dbe8b-2804-4f1d-aa10-922c2797ba0a,686b7787-1a72-4339-befd-71f3bfba51d9,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,3631.8,3631.8,-,-,-,,,,,77:04:0001014:1019,f50f16d8-9d5a-45c5-9435-2a9adb1fdc0d,,,37.7101379,55.7378861,24,POINT (37.7101379 55.7378861)
"109052, Москва г, пер. Подъёмный, д. 5",74a22461-4240-4104-9a54-392b7ae26619,74a22461-4240-4104-9a54-392b7ae26619,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,3639.4,3636.4,-,-,-,,,,,77:04:0001014:1021,65f03f37-c2e2-4ac6-8fa8-df2a4b4b607e,,,37.710338,55.738304,24,POINT (37.710338 55.738304)
"109052, Москва г, пер. Сорокин, д. 3",181ead09-f1f4-4812-b932-643c70d46bde,181ead09-f1f4-4812-b932-643c70d46bde,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,4108.9,3301.9,-,-,-,,,,,77:04:0001014:1042,ed98d04f-b2c6-428e-a5f8-c07d9a1a76fa,,,37.709003,55.737584,24,POINT (37.709003 55.737584)
"109052, Москва г, пер. Сорокин, д. 9",2849854c-6b0e-4aaa-83c2-3851af85c7d3,2849854c-6b0e-4aaa-83c2-3851af85c7d3,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,1348.2,1203.8,-,-,-,,,,,77:04:0001014:1043,8f167553-f0f0-45b9-9dd0-f7e93e007431,,,37.7092669,55.73819599999999,24,POINT (37.7092669 55.73819599999999)
"109052, Москва г, пр-кт. Рязанский, д. 2/1, корп. 2",6aae860e-2b52-4e8c-b38b-9ae26f5474d0,77f3d50a-f5ac-410a-9a44-9597896f29d1,45392000,УО,1177746871389.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СРЕДА""",Многоквартирный,Исправный,98632.3,59734.4,-,-,-,,,,,77:04:0002003:2655,e36727b4-cf1a-4b72-a96b-d4dfd73e4592,,,37.7387999,55.7271109,24,POINT (37.7387999 55.7271109)
"109052, Москва г, пр-кт. Рязанский, д. 2/1, корп. 3",baa96bd5-8a95-4153-ab44-b7482d0242be,0e769cf0-6865-459b-b5b1-74838b436348,45392000,УО,1177746871389.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СРЕДА""",Многоквартирный,Исправный,44651.4,25650.7,-,-,-,,,,,77:04:0002003:4914,3c5adc7e-8fc2-497f-bb40-769904355d07,,,37.7387999,55.7271109,24,POINT (37.7387999 55.7271109)
"109052, Москва г, пр-кт. Рязанский, д. 2/1, корп. 4",9b367e02-b051-4ccb-9053-bffea8eb3b93,3da96859-cfa2-4b63-808a-ca47e9bae4b1,45392000,УО,1177746871389.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СРЕДА""",Многоквартирный,Исправный,42876.0,25692.3,-,-,-,,,,,77:04:0002003:5795,9aa7b33b-bcaf-461a-8dd5-416dd1959b48,,,37.7387999,55.7271109,24,POINT (37.7387999 55.7271109)
"109052, Москва г, пр-кт. Рязанский, д. 2/1, корп. 5",4a121ae7-8499-487e-8f46-10b3cad14c77,4a2aed8d-f231-4227-955b-427405ecdb28,45392000,УО,1177746871389.0,772101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ СРЕДА""",Многоквартирный,Исправный,47224.4,32668.1,-,-,-,,,,,77:04:0002003:6786,1642a747-5e6c-4503-b1ac-77bc10576078,,,37.7387999,55.7271109,24,POINT (37.7387999 55.7271109)
"109052, Москва г, пр-кт. Рязанский, д. 5",5ab750f5-b5f7-4b37-bb8e-43101b025f79,5ab750f5-b5f7-4b37-bb8e-43101b025f79,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,11926.1,10658.4,-,-,-,,,,,77:04:0002002:1050,50c14409-1729-4525-b574-70c8ab395f9d,,,37.7332775,55.7317966,24,POINT (37.7332775 55.7317966)
"109052, Москва г, ул. Верхняя Хохловка, д. 15",941c2ed6-5e8a-40a5-ba82-c6d03e729c1c,941c2ed6-5e8a-40a5-ba82-c6d03e729c1c,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,2478.1,2478.1,-,-,-,,,,,77:04:0001015:1026,f98fc43b-73f0-4410-8950-9a2fbe1c430c,,,37.7173493,55.7335615,24,POINT (37.7173493 55.7335615)
"109052, Москва г, ул. Верхняя Хохловка, д. 17",1e672588-0817-4197-88de-d737f9e2a00a,582d267a-7e49-4700-9ae5-89fb7ae1949c,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,2477.7,2471.7,-,-,-,,,,,77:04:0001015:1027,a79ac8ae-9f95-4c86-b0c6-990589c251c6,,,37.7182692,55.7336369,24,POINT (37.7182692 55.7336369)
"109052, Москва г, ул. Верхняя Хохловка, д. 31",bf7b94a2-1ffa-4fce-97d0-6368f99fcb5c,bf7b94a2-1ffa-4fce-97d0-6368f99fcb5c,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,2469.9,2469.9,-,-,-,,,,,77:04:0001015:1028,b144ac5a-39c3-44c2-a774-e784b330dff5,,,37.7191155,55.7332821,24,POINT (37.7191155 55.7332821)
"109052, Москва г, ул. Верхняя Хохловка, д. 33",afe18318-4c33-4d7b-aae5-1d8e361ab067,afe18318-4c33-4d7b-aae5-1d8e361ab067,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,4084.1,3377.1,-,-,-,,,,,77:04:0001015:1029,c52af993-2125-4403-82a4-11af95854669,,,37.7201783,55.7329759,24,POINT (37.7201783 55.7329759)
"109052, Москва г, ул. Верхняя Хохловка, д. 39/47",ff2f59aa-c5e2-4e8f-9049-5cd9f7e93b19,ff2f59aa-c5e2-4e8f-9049-5cd9f7e93b19,45392000,УО,1157746065454.0,772201001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК НИЖЕГОРОДСКОГО РАЙОНА""",Многоквартирный,Исправный,12839.2,10716.2,-,-,-,,,,,77:04:0001015:1030,d8633a3a-9deb-4464-8c7e-5da585bfc82b,,,37.721616,55.733336,24,POINT (37.721616 55.733336)
