Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"119619, Москва г, ал.. 10-я Чоботовская, д. 4",fa6c97e7-4426-4779-b0b9-a91252d9c590,fa6c97e7-4426-4779-b0b9-a91252d9c590,45322000,Не выбран,,,,Жилой,Исправный,52.0,,-,-,-,,,,,77:07:0015005:1691,6e08d57b-37c2-4543-8f16-7b10ce7f7585,,,37.3541716,55.6535999,25,POINT (37.3541716 55.6535999)
"119619, Москва г, ал.. 10-я Чоботовская, д. 7",a20ecf37-dc47-4001-985f-a4fe0347c5fc,929158c9-0fc8-4601-8f34-3073b616bef2,45322000,Не выбран,,,,Жилой,Исправный,364.4,,-,-,-,,,,,77:07:0015005:1469,d4f0be49-2ced-41a1-9719-6074980870ce,,,37.3542129,55.6531039,25,POINT (37.3542129 55.6531039)
"119619, Москва г, ал.. 10-я Чоботовская, д. 7А",b96bb82a-f0a9-4e2c-8873-434d61b1dc20,3b72025e-1242-4899-9a23-eff37de5242a,45322000,Не выбран,,,,Жилой,Исправный,366.4,,-,-,-,,,,,,aa959002-881b-4ca4-97dd-aba32fce09ce,,,37.354047,55.653377,25,POINT (37.354047 55.653377)
"119619, Москва г, ал.. 10-я Чоботовская, д. 7Б",0a0aad52-54c2-4684-87ae-ed604d030b39,0a0aad52-54c2-4684-87ae-ed604d030b39,45322000,Не выбран,,,,Жилой,Исправный,828.7,,-,-,-,,,,,,fe22d06c-66b9-48ff-ae34-dccba1c57bb5,,,37.3542129,55.6531039,25,POINT (37.3542129 55.6531039)
"119619, Москва г, ал.. 10-я Чоботовская, д. 9",d0f74d68-3db2-4442-b354-17e7aad2bf67,d0f74d68-3db2-4442-b354-17e7aad2bf67,45322000,Не выбран,,,,Жилой,Исправный,142.9,,-,-,-,,,,,77:07:0015005:1680,f084c42f-0dbb-4630-bd18-20226508823c,,,37.3526619,55.653782,25,POINT (37.3526619 55.653782)
"119619, Москва г, ал.. 11-я Чоботовская, д. 1",d3ba638e-0715-48c9-a8da-cae6a5d87515,d3ba638e-0715-48c9-a8da-cae6a5d87515,45322000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,c570a420-6a09-4fde-89a5-9edd42922b5e,,,37.3526727,55.6525624,25,POINT (37.3526727 55.6525624)
"119619, Москва г, ал.. 11-я Чоботовская, д. 10",cb259a3b-1066-4ac5-9d1d-295bd3e3c51a,cb259a3b-1066-4ac5-9d1d-295bd3e3c51a,45322000,Не выбран,,,,Жилой,Исправный,129.8,,-,-,-,,,,,77:07:0015005:1697,26406b3a-b53b-45fb-ab6b-10f6dde2a9ba,,,37.3524419,55.6509349,25,POINT (37.3524419 55.6509349)
"119619, Москва г, ал.. 11-я Чоботовская, д. 11",3bfa7f62-b4b2-43e7-9ac7-6a31f16df14e,3bfa7f62-b4b2-43e7-9ac7-6a31f16df14e,45322000,Не выбран,,,,Жилой,Исправный,147.2,,-,-,-,,,,,нет,d314eaad-ef8d-4b08-8867-bb442132f751,,,37.35499009999999,55.6492563,25,POINT (37.35499009999999 55.6492563)
"119619, Москва г, ал.. 11-я Чоботовская, д. 12",51b51d4a-9d7c-4b57-ad82-b20925a08a9e,51b51d4a-9d7c-4b57-ad82-b20925a08a9e,45322000,Не выбран,,,,Жилой,Исправный,91.3,,-,-,-,,,,,77:07:0015005:1359,a48fc871-3758-4968-88e2-84d09a121c7b,,,37.3527219,55.65056939999999,25,POINT (37.3527219 55.65056939999999)
"119619, Москва г, ал.. 11-я Чоботовская, д. 1-3",79a0943c-b763-49c3-92f0-92d21bb47bc7,79a0943c-b763-49c3-92f0-92d21bb47bc7,45322000,Не выбран,,,,Жилой,Исправный,144.1,,-,-,-,,,,,нет,b9b91d51-8d62-488c-808e-89739facdafc,,,37.3522422,55.6526522,25,POINT (37.3522422 55.6526522)
"119619, Москва г, ал.. 11-я Чоботовская, д. 14, строение 1",5fb8e861-6925-45a6-bd5a-1b4e152911f8,5fb8e861-6925-45a6-bd5a-1b4e152911f8,45322000,Не выбран,,,,Жилой,Исправный,221.7,,-,-,-,,,,,нет,ae70ccce-611f-4de8-b2c9-7c1603596445,,,37.3530089,55.6503154,25,POINT (37.3530089 55.6503154)
"119619, Москва г, ал.. 11-я Чоботовская, д. 16",a9c4c806-a35b-4c7b-bd70-4a4c0befa40a,a9c4c806-a35b-4c7b-bd70-4a4c0befa40a,45322000,Не выбран,,,,Жилой,Исправный,199.0,,-,-,-,,,,,77:07:0015005:1699,9ead6d5d-7aa6-4a77-bea4-7f2b996033f7,,,37.353342,55.650085,25,POINT (37.353342 55.650085)
"119619, Москва г, ал.. 11-я Чоботовская, д. 18",ae7eeb01-2368-459b-99ed-d9ecec88c118,e38ca209-2b72-4a5e-9d61-3f04df80f775,45322000,Не выбран,,,,Жилой,Исправный,198.8,,-,-,-,,,,,77:07:0015005:29218,76acdfb4-6ffb-42f7-8693-6f10fffa716f,,,37.3533548,55.65007,25,POINT (37.3533548 55.65007)
"119619, Москва г, ал.. 11-я Чоботовская, д. 20А, строение 1",9b56f299-cc92-4c9b-bdad-f35df380d63d,76070d59-5fc7-4e04-a8de-3844c596675d,45322000,Не выбран,,,,Жилой,Исправный,,,-,-,-,,,,,,a96626db-ebf4-4fe3-98db-ddd5cfc1b56c,,,37.3542361,55.6493525,25,POINT (37.3542361 55.6493525)
