Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"111141, Москва г, ул. 2-я Владимирская, д. 52, корп. 1",7c017992-d86a-4db4-98d0-0264643457f9,7c017992-d86a-4db4-98d0-0264643457f9,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,3660.8,3660.81,-,-,-,,,,,77:03:0006013:1024,38d49e99-46c0-40b6-a086-d8de65d0a354,,,37.786626,55.74662,48,POINT (37.786626 55.74662)
"111141, Москва г, ул. 2-я Владимирская, д. 52, корп. 2",ff936cda-6ca3-471a-b639-63d9a46da419,51c43702-516d-4757-969b-168694fdd5e9,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,4051.3,3489.45,-,-,-,,,,,77:03:0006013:1025,e6627c15-ca49-4211-af73-37dc886184d5,,,37.78675140000001,55.7461457,48,POINT (37.78675140000001 55.7461457)
"111141, Москва г, ул. 2-я Владимирская, д. 56",837edf7e-a083-4b2b-83e9-115ae0d05190,837edf7e-a083-4b2b-83e9-115ae0d05190,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,3407.7,3159.5,-,-,-,,,,,77:03:0006005:1009,8d1eea65-f3b8-4fc7-8fdd-fb98f17d4b7a,,,37.7879378,55.74457210000001,48,POINT (37.7879378 55.74457210000001)
"111141, Москва г, ул. 2-я Владимирская, д. 58",4c177247-0dc4-47ac-a27d-08d76d4cc971,4c177247-0dc4-47ac-a27d-08d76d4cc971,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,3541.5,3418.0,-,-,-,,,,,77:03:0006005:1011,ca963c2f-8130-411f-8ec0-98bc3dfa468c,,,37.7882221,55.7440113,48,POINT (37.7882221 55.7440113)
"111141, Москва г, ул. Коренная, д. 8, корп. 1",bedff54b-de89-4203-a5e4-24857b9566cf,bedff54b-de89-4203-a5e4-24857b9566cf,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,3647.7,3647.7,-,-,-,,,,,77:03:0006005:1012,5e685605-a967-4229-90d2-2e8fbbae2bd5,,,37.777744,55.739948,48,POINT (37.777744 55.739948)
"111141, Москва г, ул. Коренная, д. 8, корп. 2",2e7548e6-3db9-414e-bb03-191fa7540772,2e7548e6-3db9-414e-bb03-191fa7540772,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,5447.2,5293.2,-,-,-,,,,,77:03:0006005:1013,172011f7-0840-4e6a-9cb5-3c86bf41fd8e,,,37.777989,55.740552,48,POINT (37.777989 55.740552)
"111141, Москва г, ул. Кусковская, д. 17",eaaac618-c027-4135-ad09-65671e112d16,a6cbe1da-9a13-4354-86a0-9c1d29da0794,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,12155.8,12015.5,-,-,-,,,,,77:03:0006005:1091,c9b51dc2-28e7-44fa-8e91-b42c25c2d49b,,,37.77747,55.7393866,48,POINT (37.77747 55.7393866)
"111141, Москва г, ул. Кусковская, д. 17, корп. 1",212de3f9-06b4-4786-9cf8-e1960a1387bc,212de3f9-06b4-4786-9cf8-e1960a1387bc,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,11160.2,11046.8,-,-,-,,,,,77:03:0006005:1087,d6edfdbd-d386-4542-8bc5-1340d9223894,,,37.7786715,55.7395897,48,POINT (37.7786715 55.7395897)
"111141, Москва г, ул. Кусковская, д. 19, корп. 1",c48841f9-e40c-42c4-9108-53840e605812,9ef45e54-3806-4591-9c8e-c946e7533211,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,8980.9,8939.8,-,-,-,,,,,77:03:0006005:1088,c52b090f-4805-497d-ba5b-1cafe435ef1b,,,37.7793042,55.7409143,48,POINT (37.7793042 55.7409143)
"111141, Москва г, ул. Кусковская, д. 19, корп. 2",d4efedfd-80d8-4e21-9801-4394b1e56a50,d4efedfd-80d8-4e21-9801-4394b1e56a50,45309000,УО,5147746375850.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОГИРЕЕВО""",Многоквартирный,Исправный,4442.7,4423.1,-,-,-,,,,,77:03:0006005:1019,e9fd2e03-5a87-49c7-a255-a1a5a33f754e,,,37.7798251,55.7418974,48,POINT (37.7798251 55.7418974)
