Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"111672, Москва г, ул. Городецкая, д. 10",780ce412-1dac-44b5-ba51-def703fdbd9a,780ce412-1dac-44b5-ba51-def703fdbd9a,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8663.8,8645.8,-,-,-,,,,,77:03:0009004:1040,20fe4072-2883-44df-83bc-33ca73052a66,,,37.866434,55.739138,49,POINT (37.866434 55.739138)
"111672, Москва г, ул. Городецкая, д. 11",873c1168-68df-4627-ab55-ad00904fde43,873c1168-68df-4627-ab55-ad00904fde43,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8785.6,8767.5,-,-,-,,,,,77:03:0009004:1041,e4dd76c3-30d1-4759-926b-4c468be04735,,,37.8686877,55.73954389999999,49,POINT (37.8686877 55.73954389999999)
"111672, Москва г, ул. Городецкая, д. 12/17, корп. 1",d1eb2c86-127b-4c2f-8399-5fec30f482c9,d1eb2c86-127b-4c2f-8399-5fec30f482c9,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8757.0,8741.3,-,-,-,,,,,77:03:0009004:1042,2c1c5a8a-89b9-4bff-b809-56a6f697c75e,,,37.867168,55.7382085,49,POINT (37.867168 55.7382085)
"111672, Москва г, ул. Городецкая, д. 12/17, корп. 2",22b15876-c8bf-4048-96b3-500cc18fc3b5,22b15876-c8bf-4048-96b3-500cc18fc3b5,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8758.8,8707.5,-,-,-,,,,,77:03:0009004:1043,c0c034ae-b183-4b5f-b701-848b1cbf702f,,,37.867136,55.738197,49,POINT (37.867136 55.738197)
"111672, Москва г, ул. Городецкая, д. 13/19, корп. 1",df930193-0ef2-4c5c-87ad-82c07470e560,df930193-0ef2-4c5c-87ad-82c07470e560,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8709.1,8659.9,-,-,-,,,,,77:03:0009004:1078,3fa0cb0d-53cd-4b52-a29c-c6ff4f69c072,,,37.868568,55.73891,49,POINT (37.868568 55.73891)
"111672, Москва г, ул. Городецкая, д. 13/19, корп. 2",b9c87b0b-f0b3-4564-a212-fbb2708da0be,b9c87b0b-f0b3-4564-a212-fbb2708da0be,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,8688.5,8672.1,-,-,-,,,,,77:03:0009004:1077,6c964d35-b82e-4bf5-9562-273dcb40ab55,,,37.869107,55.738567,49,POINT (37.869107 55.738567)
"111672, Москва г, ул. Городецкая, д. 8, корп. 1",2bee13bd-d151-4921-a8ff-74b4caed500b,ed3305d9-a2b1-48c7-85a7-7e18c1bca565,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,33830.9,33050.1,-,-,-,,,,,77:03:0009004:1034,9ce78830-86ae-4168-b6cb-7ec46b5f3f92,,,37.8654718,55.74093670000001,49,POINT (37.8654718 55.74093670000001)
"111672, Москва г, ул. Городецкая, д. 8, корп. 2",b07f3024-5c66-4b46-9098-db75f0da530b,b07f3024-5c66-4b46-9098-db75f0da530b,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,7423.8,7374.0,-,-,-,,,,,77:03:0009004:1035,22b3b4ba-d2bb-45e5-a728-78a99ac05675,,,37.8645814,55.7406474,49,POINT (37.8645814 55.7406474)
"111672, Москва г, ул. Городецкая, д. 8, корп. 3",126f4f63-5fae-460c-b5dc-9179b1c2852c,126f4f63-5fae-460c-b5dc-9179b1c2852c,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,13095.4,11219.1,-,-,-,,,,,77:03:0009004:1036,a1528ca1-baa8-4761-afd7-bda42b1f6c9a,,,37.864989,55.739976,49,POINT (37.864989 55.739976)
"111672, Москва г, ул. Городецкая, д. 9, корп. 1",a700bf6d-144e-4b88-b6f4-6293dabc835e,a700bf6d-144e-4b88-b6f4-6293dabc835e,45310000,УО,5137746243916.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА НОВОКОСИНО""",Многоквартирный,Исправный,34300.2,34199.9,-,-,-,,,,,77:03:0009004:1037,5df29241-6b51-43b9-a4e0-9edb8e71d0d4,,,37.8680487,55.7398006,49,POINT (37.8680487 55.7398006)
