Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"117198, Москва г, пр-кт. Ленинский, д. 113/1",52730db8-1f99-46a2-bdae-d1cc699a6cab,52730db8-1f99-46a2-bdae-d1cc699a6cab,45905000,УО,1167746655999.0,772801001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИКО ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ""",Многоквартирный,Исправный,54954.5,46377,нет,нет,-,,,,,77:06:0006001:1058,69a3db8a-d22b-40c5-8647-e53bbeb21997,,,37.4977099,55.6557827,26,POINT (37.4977099 55.6557827)
"117198, Москва г, ул. Академика Опарина, д. 4, корп. 1",f1cc01d4-17e4-48ea-8bb0-c7f2d7fdc0b5,f1cc01d4-17e4-48ea-8bb0-c7f2d7fdc0b5,45905000,УО,1097746100792.0,771701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСГРАД""",Многоквартирный,Исправный,36543.7,28654.9,-,-,-,,,,,77:06:0006004:1043,bafe4fb6-eeae-40e3-be4f-91baa4aa25ea,,,37.500394,55.645723,26,POINT (37.500394 55.645723)
"117198, Москва г, ул. Островитянова, д. 5",648c02aa-b7d7-4920-8403-b395ee17016d,5535a57f-bf8a-451a-913b-b3d3f83f1e5d,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,30338.7,28270.3,-,-,-,,,,,77:06:0006004:1020,5a12f51c-a101-470c-b3a3-13c2890b9cd7,,,37.4942856,55.6449368,26,POINT (37.4942856 55.6449368)
"117198, Москва г, ул. Островитянова, д. 5, корп. 1",f0b16c68-3ae4-4870-983a-07006f09750b,b16461a6-72db-4a88-aa8f-748a27fbd442,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,15295.2,15164.7,-,-,-,,,,,77:06:0006004:1039,e1f6a6e4-e67a-4b6d-b1d3-3cb03a39120b,,,37.49361880000001,55.6458288,26,POINT (37.49361880000001 55.6458288)
"117198, Москва г, ул. Островитянова, д. 5, корп. 2",8cbc0041-ecf0-4026-bd34-ec569afcce8d,6ecaaca0-4b42-4214-a871-db92c15d519c,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,15271.7,15161.9,-,-,-,,,,,77:06:0006004:1044,6a96c9f9-6431-4520-bb44-6f81783cb983,,,37.4950658,55.64639159999999,26,POINT (37.4950658 55.64639159999999)
"117198, Москва г, ул. Островитянова, д. 5, корп. 3",ffe97d77-ca55-4646-950b-c6a4d68f9e97,c88c9278-8aaa-4b84-83db-f0e361ac7aee,45905000,ТСЖ,1077799001136.0,772801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ОСТРОВИТЯНОВА 5-3""",Многоквартирный,Исправный,16183.5,15114,-,-,-,,,,,77:06:0006004:1021,800cbfbb-3ff8-4753-9437-ed52f8541651,,,37.4960972,55.6456883,26,POINT (37.4960972 55.6456883)
"117198, Москва г, ул. Островитянова, д. 9",5eceac64-4ce5-4543-9116-e42058927112,ff69ed1c-48b5-4c00-b919-35a63631bf44,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,28390.6,26490.6,-,-,-,,,,,77:06:0006004:1042,dd1d90e8-a54a-4bfb-8676-7eff1abbc6bb,,,37.4957874,55.6439203,26,POINT (37.4957874 55.6439203)
"117198, Москва г, ул. Островитянова, д. 9, корп. 1",8e123011-4f70-47ed-a1f1-07cec442f8b1,90f1e2b5-48b8-4852-9572-7a2a981bf67e,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,12352.3,11482.2,-,-,-,,,,,77:06:0006004:1038,1bf2abf9-7d83-403c-86df-618f758b4bb9,,,37.49712,55.64446599999999,26,POINT (37.49712 55.64446599999999)
"117198, Москва г, ул. Островитянова, д. 9, корп. 2",06bf5767-9f73-4be7-95e4-87d5bfcb420b,7bda2657-4298-48ef-b48c-2f7550fa5936,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,11844.3,11324.7,-,-,-,,,,,77:06:0006004:1013,ec80b542-f6e3-45c6-a97d-3db40eda7960,,,37.4982504,55.6451426,26,POINT (37.4982504 55.6451426)
"117198, Москва г, ул. Островитянова, д. 9, корп. 3",5f58df06-8c65-4459-9bfe-97a81c4a1130,5dd14497-6888-4dc9-9bc5-db453e609bf6,45905000,УО,1157746480264.0,772801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ОБРУЧЕВСКОГО РАЙОНА""",Многоквартирный,Исправный,9092.7,8659.9,-,-,-,,,,,77:06:0006004:1032,b510f297-5690-4f77-b1b0-c80e7552f573,,,37.4974805,55.64536090000001,26,POINT (37.4974805 55.64536090000001)
