Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108807, Москва г, п. Первомайское, д. Губцево, ул. Озерная, д. 2",16856445-f180-40ba-8fbf-5e31cf57f338,16856445-f180-40ba-8fbf-5e31cf57f338,45955000,Не выбран,,,,Жилой,Исправный,137.5,,-,-,-,,,,,77:18:0191109:173,37c76354-764b-49a0-a525-1840e35e57a4,,,37.4693776,55.68842710000001,50,POINT (37.4693776 55.68842710000001)
"108807, Москва г, п. Первомайское, д. Губцево, ул. Озерная, д. 2Б",4acd30c3-6bec-4162-89a4-517c57eb9f33,4acd30c3-6bec-4162-89a4-517c57eb9f33,45955000,Не выбран,,,,Жилой,Исправный,141.1,,-,-,-,,,,,,3959018b-1374-4dab-a058-00269d16f79f,,,37.4644019,55.6862523,50,POINT (37.4644019 55.6862523)
"108808, Москва г, п. Первомайское, д. Настасьино, ул. Озёрная, д. 5",64d71e9c-e280-4fbd-bbb2-33d35264b9b2,2e0cd860-6d34-460e-b343-03220c180e4c,45955000,Не выбран,,,,Жилой,Исправный,178.5,,-,-,-,,,,,77:18:0180505:360,a9a25703-6e2b-41a1-8a3a-c9288aa926e5,,,37.4659724,55.6858169,50,POINT (37.4659724 55.6858169)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 200",8ec71428-648f-425b-830b-19267f67e20d,8ec71428-648f-425b-830b-19267f67e20d,45952000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,4004248f-a8a1-4faf-b80e-f46783301198,,,37.4262503,55.6933819,50,POINT (37.4262503 55.6933819)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 204",080f8b3a-2e94-4dca-9a04-bba116213a78,9688effe-1a04-4445-a5fc-5b2a2456dcb6,45952000,Не выбран,,,,Жилой,Исправный,210.5,,-,-,-,,,,,50:21:0110113:1324,1cfcd625-82e1-421a-8bcf-e3ca11a42301,,,37.4262503,55.6933819,50,POINT (37.4262503 55.6933819)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 206",7b297aaa-542e-476a-9ee7-66722824bf11,df6e9b1c-5666-480e-847f-2366367d1b4b,45952000,Не выбран,,,,Жилой,Исправный,347.0,,-,-,-,,,,,50:21:0110113:1551,c7d55c49-aa8e-42d0-b46a-194470656d6d,,,37.4262503,55.6933819,50,POINT (37.4262503 55.6933819)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 21",5657979b-5504-43f8-9264-c97f5842398d,5657979b-5504-43f8-9264-c97f5842398d,45952000,Не выбран,,,,Жилой,Исправный,242.5,,-,-,-,,,,,50:21:0110113:1509,464c0fee-bd62-49b1-acba-6b9938cf19bc,,,37.42208249999999,55.7063796,50,POINT (37.42208249999999 55.7063796)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 22",de0f0cea-2986-4f3f-88d9-6403b3ff82d0,5089771d-8614-4b90-9e2f-0ac6048f3192,45952000,Не выбран,,,,Жилой,Исправный,265.1,,-,-,-,,,,,77:17:0110113:355,b78b89bc-9a6c-433a-8a52-9c470268fc3a,,,37.417961,55.703748,50,POINT (37.417961 55.703748)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 27",828629d6-b2db-4d92-839b-3f268beaba2f,b7a427d3-af81-4649-9fd8-eb4fd703eac4,45952000,Не выбран,,,,Жилой,Исправный,555.3,,-,-,-,,,,,77:17:0110113:423,4e16b3c6-910f-4f87-b1de-6fd6f183c33e,,,37.4241938,55.6954763,50,POINT (37.4241938 55.6954763)
"108811, Москва г, п. Московский, д. Мешково, ул. Рябиновая, д. 30",a944e463-0b14-40c2-b356-5475e6dc9889,fee6435e-2cfe-4372-97d0-a8103625ecb2,45952000,Не выбран,,,,Жилой,Исправный,345.7,,-,-,-,,,,,77:17:0110113:529,0b2cfac4-f06a-47f1-a390-a57deb6d0521,,,37.4239934,55.6941972,50,POINT (37.4239934 55.6941972)
