Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108809, Москва г, пер.. Зелёный, д. 10",0ce4a181-ebcd-48ab-b1bc-3e3a84a3ad55,b815791f-2268-41da-bbdb-bceff7a28327,45317000,Не выбран,,,,Жилой,Исправный,30.6,,-,-,-,,,,,77:07:0017003:1573,e3f5fdbd-b810-4dc1-af9d-2f1ce4f12ccb,,,37.7794084,55.74961649999999,51,POINT (37.7794084 55.74961649999999)
"108809, Москва г, пер.. Зелёный, д. 10А",0142a4ae-3bef-40b2-8a7f-345b749b12d4,11948a8f-4bf8-4f3e-9911-27eb7861a673,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,168fbad4-c946-4031-8e34-251a91f9bf07,,,37.7783755,55.7485554,51,POINT (37.7783755 55.7485554)
"108809, Москва г, пер.. Зелёный, д. 10А, строение 2",5a3301b1-4742-4ddb-b0c7-62999165d6dc,4b8ca262-dfb1-4331-ba15-b83270f6ad90,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,3a31b36b-4b4e-4232-a64c-4d6a078d30a8,,,37.7783755,55.7485554,51,POINT (37.7783755 55.7485554)
"108809, Москва г, пер.. Зелёный, д. 11",1fb6e2a6-fe2b-4df5-ab3e-81268f46af90,56d15bf4-5bcf-45d8-ab26-4d73829de6f3,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,4bd20492-33b2-4969-8d91-cafb69b8e970,,,37.7780619,55.750196,51,POINT (37.7780619 55.750196)
"108809, Москва г, пер.. Зелёный, д. 3",1d469daf-1c7c-4b54-8b47-5a8104b4ce12,2775a7eb-2933-4d84-929e-2ab9995b068e,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,04723623-83e7-4e09-8d80-0df30377676c,,,37.7706951,55.7488082,51,POINT (37.7706951 55.7488082)
"108809, Москва г, пер.. Зелёный, д. 4",093087d2-9966-4af5-b23d-d6ad8949f3f1,ca782d72-0720-4427-8c54-333eb5e71238,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,758d930b-4c06-407d-9129-d4438e136a12,,,37.7696148,55.7477563,51,POINT (37.7696148 55.7477563)
"108809, Москва г, пер.. Зелёный, д. 5",6a315c82-196e-439a-aed3-6add1c0bc5e4,a1628a9e-953e-4f9a-843e-13b677e1c2a5,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,aa4627d6-239f-4888-a43b-cbb2016c4fb8,,,37.7749446,55.7495536,51,POINT (37.7749446 55.7495536)
"108809, Москва г, пер.. Зелёный, д. 6",ecc9b80c-ec9a-4b01-9c2b-0ae1a33ba130,19b0907b-855a-4df8-97c1-223184572e8c,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,8868c4af-0514-4c20-882c-2b476c46820e,,,37.77433910000001,55.74756430000001,51,POINT (37.77433910000001 55.74756430000001)
"108809, Москва г, пер.. Зелёный, д. 7",705a83dc-b41e-45e7-8606-07e03b3ab552,4c6d7ad2-9691-4aff-8aae-d1b9a1c832f5,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,749b0dfc-0017-4d91-8d7e-59bb6d27acd4,,,37.7755211,55.74989009999999,51,POINT (37.7755211 55.74989009999999)
"108809, Москва г, пер.. Зелёный, д. 8",33941966-ea95-4fe1-a465-87189cd39359,e5da0201-2c45-4212-8205-9e31a67e7770,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,b1dfef42-3208-42f5-8ff7-dbbcadaec9e7,,,37.7771006,55.748735,51,POINT (37.7771006 55.748735)
"108809, Москва г, пер.. Зелёный, д. 8А",678e6030-c946-4098-a852-f4796b0753df,8e5b572f-1d92-4760-acd9-24e055e11a5f,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,8582af26-0c3e-4aef-bcc9-9b15522da451,,,37.7762582,55.7482769,51,POINT (37.7762582 55.7482769)
"108809, Москва г, пер.. Зелёный, д. 9, строение 1",e5ae2b2d-cf8d-436b-bdc0-36481ec8c7b2,8f9bdb40-4132-48b7-92c1-3c8b49f96d77,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,0b0a680d-f02f-4714-bbd1-69748d978504,,,37.7772363,55.7501881,51,POINT (37.7772363 55.7501881)
"111123, Москва г, ул. 1-я Владимирская, д. 10",fab9363f-8993-4f04-aea7-993ba8ea902f,fab9363f-8993-4f04-aea7-993ba8ea902f,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,4167.1,4128.3,-,-,-,,,,,77:03:0006009:1014,a0356067-420d-4431-995b-e051eb5b9270,,,37.7740162,55.7583758,51,POINT (37.7740162 55.7583758)
"111123, Москва г, ул. 1-я Владимирская, д. 11",16f4e304-1ad6-4dce-a114-b6c17d6fafa7,16f4e304-1ad6-4dce-a114-b6c17d6fafa7,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,5346.5,5326.5,-,-,-,,,,,77:03:0006010:1053,b4d52166-eb3c-4a94-b00f-cc93b016e8f4,,,37.7766874,55.7598571,51,POINT (37.7766874 55.7598571)
"111123, Москва г, ул. 1-я Владимирская, д. 12, корп. 1",1841bef2-4f54-4b32-be0a-9db7c94dbceb,ce3d0a0e-05da-40da-8e4b-ff58ca0a5e32,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,3119.3,2499.9,-,-,-,,,,,77:03:0006009:1015,8aa509b6-0175-4ee7-a7eb-586bd7ad760e,,,37.773929,55.7570299,51,POINT (37.773929 55.7570299)
"111123, Москва г, ул. 1-я Владимирская, д. 12, корп. 2",1b96dc4a-56e8-4922-8d30-47675a67eaae,127925c2-35e0-4eb6-b6ea-09a572abab46,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,3482.6,3107.4,-,-,-,,,,,77:03:0006009:1016,1c3d6623-50f0-4ea0-8912-b40ebcf8ec8e,,,37.773188,55.757456,51,POINT (37.773188 55.757456)
"111123, Москва г, ул. 1-я Владимирская, д. 12, строение 2",4b253b12-2c37-4aef-a590-c8f10e670624,4b253b12-2c37-4aef-a590-c8f10e670624,45312000,Не выбран,,,,Жилой дом блокированной застройки,,,,-,-,-,,,,,,4a025758-e791-49f5-8b09-dde1054d9ebe,,,37.773188,55.757456,51,POINT (37.773188 55.757456)
"111123, Москва г, ул. 1-я Владимирская, д. 14",34b0787b-a99a-41fc-9ffe-9490c5497e0c,34b0787b-a99a-41fc-9ffe-9490c5497e0c,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,5711.8,3823.3,-,-,-,,,,,77:03:0006009:1017,6d305999-1dfd-47b5-9a30-0f0ec1f6dfba,,,37.7750079,55.75689800000001,51,POINT (37.7750079 55.75689800000001)
"111123, Москва г, ул. 1-я Владимирская, д. 16",aca46fa1-4090-4e16-afaa-bb1da74c20b5,e9ac8ce4-9642-4379-8f90-92f29813bf0a,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,4341.8,2877.3,-,-,-,,,,,77:03:0006009:1018,dac88e43-5cb7-442f-85db-26c6cc3dd423,,,37.7751387,55.7562144,51,POINT (37.7751387 55.7562144)
"111123, Москва г, ул. 1-я Владимирская, д. 18, корп. 1",c2bbf0f9-5b77-491d-a21b-b3c3f2c230a6,c2bbf0f9-5b77-491d-a21b-b3c3f2c230a6,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,5695.2,3749.8,-,-,-,,,,,77:03:0006009:1019,5ca22c04-398d-4978-8d16-2f5c11944149,,,37.7758612,55.7554897,51,POINT (37.7758612 55.7554897)
"111123, Москва г, ул. 1-я Владимирская, д. 18, корп. 2",79cab5de-c4c5-4a37-8c24-8af470aebfcf,79cab5de-c4c5-4a37-8c24-8af470aebfcf,45312000,УО,1157746573368.0,772001001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕРОВО""",Многоквартирный,Исправный,3512.2,3395.0,-,-,-,,,,,77:03:0006009:1020,c5c52deb-83aa-4199-8352-1478a4c26a01,,,37.7741585,55.7557785,51,POINT (37.7741585 55.7557785)
