Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108814, Москва г, п. Сосенское, п. Коммунарка, тер СНТ Березки, д. 61, строение 1",2faed899-ee86-41da-bde9-6a1a65a80a07,2faed899-ee86-41da-bde9-6a1a65a80a07,45958000,Не выбран,,,,Жилой,,125.9,,-,-,-,,,,,,2e7310aa-5750-4964-adc9-d17d6948d32f,,,37.6841521,55.716089,52,POINT (37.6841521 55.716089)
"108817, Москва г, п. Внуковское, п. Внуково, ул. Шоссейная, д. 27",06f4c5c8-d4a9-44af-987c-ac8bb3460f44,ae4a214e-fc4f-4244-9fbe-febf902944dc,45941000,Не выбран,,,,Жилой,,523.1,,-,-,-,,,,,,4e4b8619-9224-41c4-913f-8100a9a90dc3,,,37.726171,55.6828273,52,POINT (37.726171 55.6828273)
"109235, Москва г, б-р. Курьяновский, д. 11",bb5bf30c-3235-400b-8ed2-ef4275bbe66d,bb5bf30c-3235-400b-8ed2-ef4275bbe66d,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,222.6,222.6,нет,нет,-,,,,,77:04:0003013:1044,60564177-fc75-4f48-a908-0ebdbd0d88e3,,,37.6984429,55.6547878,52,POINT (37.6984429 55.6547878)
"109235, Москва г, б-р. Курьяновский, д. 12",ba987c2f-8b86-4b4c-a69f-55c95ac13f65,ba987c2f-8b86-4b4c-a69f-55c95ac13f65,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,232.4,232.4,нет,нет,-,,,,,77:04:0003013:1045,63314202-9e86-4d48-b644-27fd83b6a9a4,,,37.6990658,55.6552242,52,POINT (37.6990658 55.6552242)
"109235, Москва г, б-р. Курьяновский, д. 13/4",7daaada1-0837-4f70-85de-9e306775b676,7daaada1-0837-4f70-85de-9e306775b676,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,227.5,227.5,нет,нет,-,,,,,77:04:0003013:1046,9b5ce471-67ee-441c-adde-f68fb77c1239,,,37.6979891,55.655002,52,POINT (37.6979891 55.655002)
"109235, Москва г, б-р. Курьяновский, д. 4/16",efc4e082-74f2-42e3-8349-59171655700b,efc4e082-74f2-42e3-8349-59171655700b,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,232.1,232.1,нет,нет,-,,,,,77:04:0003013:1036,3c20e77c-ff25-4f42-bc3c-89a412e1f8b1,,,37.700781,55.654514,52,POINT (37.700781 55.654514)
"109235, Москва г, б-р. Курьяновский, д. 5",be37888c-05e9-4c0b-be6d-2e878aaef02e,be37888c-05e9-4c0b-be6d-2e878aaef02e,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,222.3,222.3,нет,нет,-,,,,,77:04:0003013:1037,74d422ed-65a1-40fc-b353-fced87d02a2d,,,37.6997937,55.65419989999999,52,POINT (37.6997937 55.65419989999999)
"109235, Москва г, б-р. Курьяновский, д. 6",ee508888-eaaa-4198-84b4-4e7e8af4c56e,ee508888-eaaa-4198-84b4-4e7e8af4c56e,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,223.9,223.9,нет,нет,-,,,,,77:04:0003013:1038,1c05c7d4-6023-4e2e-8a2f-59c08fcf9a1e,,,37.7004166,55.6546363,52,POINT (37.7004166 55.6546363)
"109235, Москва г, б-р. Курьяновский, д. 7/25",aa96ff43-ed34-4e50-91ec-2d98dc958653,aa96ff43-ed34-4e50-91ec-2d98dc958653,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,344.1,228.2,нет,нет,-,,,,,77:04:0003013:1039,a8b83f1e-7306-4cbc-95f9-c9476262b0d4,,,37.6993504,55.6543595,52,POINT (37.6993504 55.6543595)
"109235, Москва г, б-р. Курьяновский, д. 8/23",4b3cdbb4-4d81-43d7-96ac-017fc3126ffb,4b3cdbb4-4d81-43d7-96ac-017fc3126ffb,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,222.3,222.3,нет,нет,-,,,,,77:04:0003013:1040,9ae82e19-4d9c-40df-b438-e12b8508490c,,,37.699976,55.65486,52,POINT (37.699976 55.65486)
"109235, Москва г, б-р. Курьяновский, д. 9/20",87569533-b270-4e71-a590-aed0e1a5076e,87569533-b270-4e71-a590-aed0e1a5076e,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,222.0,222,нет,нет,-,,,,,77:04:0003013:1041,b72f508a-8bca-4971-ba0a-ce7bf93a1d74,,,37.698803,55.654672,52,POINT (37.698803 55.654672)
"109235, Москва г, проезд. 1-й Курьяновский, д. 10",e4a17f70-ba12-427f-8f2b-250b716bd262,e4a17f70-ba12-427f-8f2b-250b716bd262,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,649.8,649.8,нет,нет,-,,,,,77:04:0003013:1049,9b1b38e5-3fa5-45f2-9b57-f158c41b1598,,,37.7009017,55.6560082,52,POINT (37.7009017 55.6560082)
"109235, Москва г, проезд. 1-й Курьяновский, д. 11",49716eac-d9b6-4b96-906c-af025037856b,49716eac-d9b6-4b96-906c-af025037856b,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,236.2,236.2,нет,нет,-,,,,,77:04:0003013:1050,4ac749a1-3dee-463c-925a-526cd36f7338,,,37.7001005,55.65596979999999,52,POINT (37.7001005 55.65596979999999)
"109235, Москва г, проезд. 1-й Курьяновский, д. 13/1",169e8d88-293b-42af-80e0-f00d3fa4bd66,169e8d88-293b-42af-80e0-f00d3fa4bd66,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,239.4,239.4,нет,нет,-,,,,,77:04:0003013:1051,10f2ad49-e5f7-407c-8541-f6951ca77bed,,,37.69971,55.6561612,52,POINT (37.69971 55.6561612)
"109235, Москва г, проезд. 1-й Курьяновский, д. 5",9e23dda4-40aa-4e4f-9c83-cfc0ce6db064,9e23dda4-40aa-4e4f-9c83-cfc0ce6db064,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,237.2,237.2,нет,нет,-,,,,,77:04:0003013:1048,3e2dcc1a-d19f-4fc9-9a99-d29e8e425d7a,,,37.7014513,55.6553818,52,POINT (37.7014513 55.6553818)
"109235, Москва г, проезд. 1-й Курьяновский, д. 8",a4f2a19e-8e46-47d0-adbc-a7a398279a74,a4f2a19e-8e46-47d0-adbc-a7a398279a74,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,648.7,648.7,нет,нет,-,,,,,77:04:0003013:1062,db9bb712-5877-46fa-90bf-ec4eb7a41752,,,37.700011,55.656434,52,POINT (37.700011 55.656434)
"109235, Москва г, ул. 1-я Курьяновская, д. 34А",13d9023f-0eac-447e-b88e-4641179d3f98,548a597d-31eb-49e3-a7d6-d18e1697bcf7,45393000,УО,1147746017275.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПЕЧАТНИКИ""",Многоквартирный,Исправный,2567.7,2540.4,нет,нет,-,,,,,77:04:0003014:1016,b7dfb847-0ae9-4971-8aaa-8ed6e1cd2b9a,,,37.697956,55.6512025,52,POINT (37.697956 55.6512025)
