Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 10",eae3777d-2752-49d2-9cbb-a1937ba112f6,3b55e17a-5452-4f47-bfb5-1d272f6e157f,45942000,Не выбран,,,,Жилой,,232.0,,-,-,-,,,,,,8bd9faae-a5f9-49e9-b8ca-c50730a36fa4,,,37.4481671,55.83147719999999,53,POINT (37.4481671 55.83147719999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 11/1",0ce2c3ca-1b53-4d28-ab1f-b3bf0c9e18f0,9072e87e-0c0f-4d44-acf0-7d62e294f235,45942000,Не выбран,,,,Жилой,,480.0,,-,-,-,,,,,,ae1fef2c-94db-49d4-97a5-63009283c157,,,37.447031,55.834128,53,POINT (37.447031 55.834128)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 12",78203636-34ea-4a46-a9cb-64cff7357df7,0d795564-33f4-49f5-b719-e7a6adc617f3,45942000,Не выбран,,,,Жилой,,100.0,,-,-,-,,,,,,eabd81de-5698-4fc1-8b24-3236e846db6b,,,37.448376,55.8317777,53,POINT (37.448376 55.8317777)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 14",1d0753cc-0db5-4eb1-b6ee-997604dbedda,57ceff3f-d52b-4b85-bc7d-55997453e593,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,1a69af27-49d2-4f0d-81fd-3c168328b3df,,,37.447795,55.83258600000001,53,POINT (37.447795 55.83258600000001)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 15А",1b6f03a0-18bc-40f1-af78-ed5d22a0c7b2,34100a30-c600-40ba-a0ad-250e0ce2fdb0,45942000,Не выбран,,,,Жилой,,253.0,,-,-,-,,,,,,1a2315c3-a29e-4e48-ba37-c03c8ef5f04d,,,37.447483,55.8345546,53,POINT (37.447483 55.8345546)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 17",51c82c5c-1adc-41c4-8254-78cf41e6ebca,bb5d4ef5-797e-461f-8254-01796752a9cf,45942000,Не выбран,,,,Жилой,,476.0,,-,-,-,,,,,,84635b81-2413-43d0-9458-1736661049fd,,,37.4483923,55.83464710000001,53,POINT (37.4483923 55.83464710000001)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 18",46dd6919-0942-4b29-9d9e-8dcb61576d3b,b4530161-f019-49ab-808c-7e502d740e71,45942000,Не выбран,,,,Жилой,,456.0,,-,-,-,,,,,,2b0ec965-e82c-4147-936e-3cbf6f253598,,,37.4478836,55.833351,53,POINT (37.4478836 55.833351)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 1А",7e5cc150-ec51-4b37-a508-023bfe3945a8,153ae488-94ff-4a8a-8d40-728c8349e6e0,45942000,Не выбран,,,,Жилой,,42.5,,-,-,-,,,,,,729cc646-bc2f-41af-92b4-05fa90665e8d,,,37.4481876,55.8241516,53,POINT (37.4481876 55.8241516)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 1Г",c0a2e6cc-1cf3-441b-9ffe-f43800c84dc4,ee4046fd-afa2-4189-99ee-92e6a0641737,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,5e527786-2b14-4fd8-8b22-6d6c29b7b6a0,,,37.4481876,55.8241516,53,POINT (37.4481876 55.8241516)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 20",7a6daea3-dc2c-432d-9200-02f03d73b8e5,4735d7e9-fd7a-42cc-8401-feb930dc0350,45942000,Не выбран,,,,Жилой,,456.0,,-,-,-,,,,,,58826896-aa15-4049-8eca-22280211ffc4,,,37.4481509,55.8336883,53,POINT (37.4481509 55.8336883)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 22",864830b1-01a1-488c-a1bc-86dd8cb87dbf,864830b1-01a1-488c-a1bc-86dd8cb87dbf,45942000,Не выбран,,,,Жилой,,456.0,,-,-,-,,,,,,2ff6ef68-8264-4408-a686-32d00c6bb6a2,,,37.4477046,55.83431659999999,53,POINT (37.4477046 55.83431659999999)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 24",7b274e3a-b06f-41fd-8de3-9f13c0c312da,7b274e3a-b06f-41fd-8de3-9f13c0c312da,45942000,Не выбран,,,,Жилой,,456.0,,-,-,-,,,,,,66617142-a3b2-4688-bd1e-ce64cfbcf8a6,,,37.4483919,55.83464710000001,53,POINT (37.4483919 55.83464710000001)
"108803, Москва г, п. Воскресенское, д. Городище, ул. Вишнёвая, д. 26",80a35601-408b-45d4-b16b-29b426328df3,eb764cfc-3804-4466-9af3-6ab2c3adf414,45942000,Не выбран,,,,Жилой,,,,-,-,-,,,,,,0cd99b7d-cc68-48ff-952b-3b4f945a691a,,,37.4483919,55.83464710000001,53,POINT (37.4483919 55.83464710000001)
