Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"121069, Москва г, пер. Мерзляковский, д. 10",f93d5a5c-81d3-4459-9bf1-c9470c380df4,f93d5a5c-81d3-4459-9bf1-c9470c380df4,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,1677.6,1321,нет,нет,-,,,,,77:01:0001063:1029,c1a5d41a-06b8-4115-b56c-cb75b57a2134,,,37.5991666,55.75473,95,POINT (37.5991666 55.75473)
"121069, Москва г, пер. Мерзляковский, д. 13",ee1a8164-1514-439f-8aa2-ad3c1e41b284,ee1a8164-1514-439f-8aa2-ad3c1e41b284,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,5092.6,4346,нет,нет,-,,,,,77:01:0001063:1032,9b24b0d2-4347-4735-add0-297ea38ee998,,,37.596855,55.756303,95,POINT (37.596855 55.756303)
"121069, Москва г, пер. Мерзляковский, д. 14",b9d42534-a554-4468-82de-fbc401a4f4e3,fb85ac4c-2892-4641-a43a-234801ee20ee,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,421.4,421.4,нет,нет,-,,,,,77:01:0001063:1057,1c531451-996c-4313-afe3-f598c7a0f11c,,,37.5986286,55.755334,95,POINT (37.5986286 55.755334)
"121069, Москва г, пер. Мерзляковский, д. 15",58cfea33-4e2a-4719-a219-8e0c6cf2036a,58cfea33-4e2a-4719-a219-8e0c6cf2036a,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,2592.2,1756,нет,нет,-,,,,,77:01:0001063:1014,c8af5c84-a856-4f2e-982e-c708cbb83419,,,37.596554,55.756752,95,POINT (37.596554 55.756752)
"121069, Москва г, пер. Мерзляковский, д. 18, строение 1",b0c7962c-7baf-4668-8f9c-8a8f2e2e76d7,b0c7962c-7baf-4668-8f9c-8a8f2e2e76d7,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,1143.1,871,нет,нет,-,,,,,77:01:0001063:1055,3ad1958e-9560-4ca3-b503-df89a7bd2094,,,37.598186,55.7559007,95,POINT (37.598186 55.7559007)
"121069, Москва г, пер. Мерзляковский, д. 5/1",209a092d-a193-4790-9785-598f91a1fc59,209a092d-a193-4790-9785-598f91a1fc59,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,3354.1,3066.9,нет,нет,-,,,,,77:01:0001063:1037,21f225bf-b1a2-4757-a736-f3837652a62d,,,37.5984335,55.755032,95,POINT (37.5984335 55.755032)
"121069, Москва г, пер. Мерзляковский, д. 7/2",ece7b0e3-1135-4813-b350-325d2dceeef8,ece7b0e3-1135-4813-b350-325d2dceeef8,45380000,ЖК,1037739287783.0,770301001.0,"Жилищно-строительный кооператив работников науки и техники ""РАНИТ""",Многоквартирный,Исправный,3778.8,3216.9,-,-,-,,,,,77:01:0001063:1028,8aa45330-c217-4e1b-b32d-9581433a86be,,,37.598053,55.755488,95,POINT (37.598053 55.755488)
"121069, Москва г, пер. Скарятинский, д. 7",655a151c-513c-423f-801e-d973a8125547,655a151c-513c-423f-801e-d973a8125547,45380000,ТСЖ,1047703011993.0,770301001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЛЕВ""",Многоквартирный,Исправный,4041.8,,-,-,-,,,,,,4a91938d-b7ff-4646-b2d0-9ea57f741a8a,,,37.5894349,55.7585531,95,POINT (37.5894349 55.7585531)
"121069, Москва г, пер. Скатертный, д. 11",ce234479-b635-4b19-9e65-4f48ae1e7f9f,ce234479-b635-4b19-9e65-4f48ae1e7f9f,45380000,УО,5147746268280.0,770301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА""",Многоквартирный,Исправный,4113.4,3185.9,-,-,-,,,,,77:01:0001063:1042,fcf7f46b-78c5-4d94-a94d-ecc301ad040f,,,37.5952399,55.755727,95,POINT (37.5952399 55.755727)
"121069, Москва г, пер. Скатертный, д. 15",fdc59def-3c87-4bbd-bdbe-0689f14af691,ca6649a2-fa6e-4c62-9723-f35035094d8a,45380000,УО,1037730009448.0,770301001.0,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ПРЕСНЕНСКОГО РАЙОНА,Многоквартирный,Исправный,2256.5,1931.6,нет,нет,-,,,,,77:01:0001063:1043,89751247-9bf6-4e51-a7ca-ff1a591a9059,,,37.594192,55.755962,95,POINT (37.594192 55.755962)
"121069, Москва г, пер. Скатертный, д. 17",6a330b9c-ffa4-4445-8c0e-64b4911a0cf0,6a330b9c-ffa4-4445-8c0e-64b4911a0cf0,45380000,УО,5147746268280.0,770301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК ПРЕСНЕНСКОГО РАЙОНА""",Многоквартирный,Исправный,2060.8,1809,-,-,-,,,,,77:01:0001063:1044,e8f6a39c-6068-4039-a200-55787f083d4b,,,37.593744,55.756078,95,POINT (37.593744 55.756078)
