Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"119415, Москва г, пр-кт. Ленинский, д. 122",b077c1df-abe4-4dae-8170-047190c9b796,b077c1df-abe4-4dae-8170-047190c9b796,45324000,УО,5147746312731.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО""",Многоквартирный,Исправный,8716.8,8273.5,-,-,-,Жилое,,53.0,,77:07:0013007:11224,c29a95b7-0bae-4f9e-825e-23d72772b9bd,22796b45-a0e4-41b0-968d-22699be56bce,,37.51135379999999,55.6661526,9,POINT (37.51135379999999 55.6661526)
"119415, Москва г, пр-кт. Ленинский, д. 126",36641f92-226e-40bd-a45d-541f2772756f,dfcf89cf-0439-4330-896b-bc95373b4c54,45324000,ТСЖ,1077799009298.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""КВАРТ - 126""",Многоквартирный,Исправный,18928.1,10658,-,-,-,,,,,77:07:0013007:1135,f4677d9a-f97d-4c4a-b60d-b9c7c44b6db7,,,37.5108205,55.667358,9,POINT (37.5108205 55.667358)
"119415, Москва г, пр-кт. Ленинский, д. 128, корп. 1",2c54d6fc-1428-4a58-af43-79be6b230508,08081248-244a-4e70-a414-a7ca1cf8131f,45324000,ТСЖ,1027739759079.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""КВАРТ-128""",Многоквартирный,Исправный,32154.4,24391.2,-,-,-,,,,,77:07:0013007:1045,a21b18d5-accf-4f7b-9528-b1f180e75129,,,37.5104914,55.6666385,9,POINT (37.5104914 55.6666385)
"119415, Москва г, пр-кт. Ленинский, д. 130, корп. 1",d86dc428-0bd6-4ed1-9494-b51e23ac15cb,d86dc428-0bd6-4ed1-9494-b51e23ac15cb,45324000,УО,5147746312731.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО""",Многоквартирный,Исправный,5187.1,3946,-,-,-,,,,,77:07:0013007:1096,ae50f8e6-7e2f-4a11-99cd-734073b18016,,,37.508112,55.6681895,9,POINT (37.508112 55.6681895)
"119415, Москва г, пр-кт. Ленинский, д. 130, корп. 2",ee6893ea-6140-4c1c-8d99-0aebc461959d,ee6893ea-6140-4c1c-8d99-0aebc461959d,45324000,УО,5147746312731.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО""",Многоквартирный,Исправный,4563.3,4089.6,-,-,-,,,,,77:07:0013007:1097,e4a4fe7a-7fd6-46ef-8c79-266af5c92aca,,,37.5083662,55.6684839,9,POINT (37.5083662 55.6684839)
"119415, Москва г, пр-кт. Ленинский, д. 134",d60693f5-6c57-4a53-8375-22fe1031ad27,7ef68c37-d1ca-4a26-bc51-c1cf76ba7ef8,45324000,УО,5147746312731.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО""",Многоквартирный,Исправный,33338.0,20656,-,-,-,,,,,77:07:0013007:23501,bfed4131-c687-484a-828f-2f1d75070ea5,,,37.5097818,55.666055,9,POINT (37.5097818 55.666055)
"119415, Москва г, пр-кт. Ленинский, д. 92",31129f8a-d6b4-4405-9ac9-c06e59a51442,31129f8a-d6b4-4405-9ac9-c06e59a51442,45324000,ЖК,1037739606486.0,772901001.0,"ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ЛЕНИНСКИЕ ГОРЫ""",Многоквартирный,Исправный,8662.8,8188.8,-,-,-,,,,,77:07:0013007:1089,796b315d-58d9-4200-a484-441c88c46136,,,37.5176703,55.6704464,9,POINT (37.5176703 55.6704464)
"119415, Москва г, пр-кт. Ленинский, д. 92, корп. 1",bfbbc51e-fc1a-48ed-91b1-836ce0695ddc,bfbbc51e-fc1a-48ed-91b1-836ce0695ddc,45324000,ТСЖ,1057746078587.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""КВАРТ - 94""",Многоквартирный,Исправный,35449.0,25393.2,-,-,-,,,,,,1e20d35f-3a4a-4688-bd3f-b72bb34a268c,,,37.5167769,55.6708076,9,POINT (37.5167769 55.6708076)
"119415, Москва г, пр-кт. Ленинский, д. 94А",baa245d5-3da2-42e2-ab78-798888205b7a,baa245d5-3da2-42e2-ab78-798888205b7a,45324000,УО,5147746312731.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ПРОСПЕКТ ВЕРНАДСКОГО""",Многоквартирный,Исправный,8693.4,8208.5,-,-,-,,,,,77:07:0013007:1090,1cc4cd36-9d31-4ccd-af2b-7b93e87f9432,,,37.5161939,55.6693947,9,POINT (37.5161939 55.6693947)
"119415, Москва г, пр-кт. Ленинский, д. 96",b6e9315b-809d-4a86-8eec-3204f6bce3d7,07afe410-aa8e-45cf-8686-de553080f3f3,45324000,ТСЖ,1077799009870.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""КВАРТ - 96""",Многоквартирный,Исправный,24359.6,12169,-,-,-,,,,,77:07:0013007:1140,b628ca0a-a0ae-4507-a6d1-ce711eeb5905,,,37.5113505,55.6668556,9,POINT (37.5113505 55.6668556)
