Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 11",2cdeeade-e639-4d4b-8796-e2041e6d2027,e7bb33e4-8e13-45b5-80f9-511a8d022d5d,45941000,Не выбран,,,,Жилой дом блокированной застройки,,429.8,,-,-,-,,,,,,de273b71-ac96-419e-bbfb-4291475e4e8f,,,37.5065536,55.7165912,54,POINT (37.5065536 55.7165912)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 12",22ea93f8-bd34-42a7-ae7f-36519ff79dd4,c4317ce9-c700-47f1-82b8-165fa44df1f1,45941000,Не выбран,,,,Жилой,,315.2,,-,-,-,,,,,77:17:0100211:81,b4f65c28-7d9d-4cda-8f65-12cf4a01ac6c,,,37.5069968,55.7167375,54,POINT (37.5069968 55.7167375)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 13",3d3f29b9-f33e-47f1-b2ce-3a84fa4fadb8,bd659670-adc1-4bd9-a92c-7697cf5580f5,45941000,Не выбран,,,,Жилой,,146.2,,-,-,-,,,,,77:17:0100101:985,8b13729f-d329-4620-a45e-9a9ed5f784f9,,,37.5072331,55.7170339,54,POINT (37.5072331 55.7170339)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 17",b67300a1-75d9-4a43-aa0d-53536ed10f6a,52bc3214-e19c-404a-b488-7de4b296cd5b,45941000,Не выбран,,,,Жилой,,433.8,,-,-,-,,,,,,396a74f4-0273-4a6e-a1ae-e77591f7ec5e,,,37.5061075,55.7170552,54,POINT (37.5061075 55.7170552)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 18",35e134fd-cd00-4065-a23b-3659b573b940,76ded332-9abb-478f-a892-8eba2cd0dea8,45941000,Не выбран,,,,Жилой,,361.2,,-,-,-,,,,,,7a9d7c4d-8332-4c54-8cea-03945a9d4a4a,,,37.5056831,55.71740990000001,54,POINT (37.5056831 55.71740990000001)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 21",884c7fd6-6b89-4a53-9434-9ebf99966db5,0688c19e-3717-41e5-a5f5-3f34a87205b6,45941000,Не выбран,,,,Жилой,,273.1,,-,-,-,,,,,77:17:0100211:162,d54a2b61-b01c-4934-aaa7-1da554d19230,,,37.5040765,55.7174761,54,POINT (37.5040765 55.7174761)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 23",111991a4-a373-455d-a18b-764fb99f98d9,f7d34f5d-06b5-4ad6-adc2-d1f87d507703,45941000,Не выбран,,,,Жилой,,400.2,,-,-,-,,,,,77:17:0100101:1022,1ebe18cb-cb92-458b-8a92-f1677fb0914a,,,37.503549,55.717093,54,POINT (37.503549 55.717093)
"108817, Москва г, п. Внуковское, д. Внуково, ул. Минская, д. 25",51f62322-5406-4175-b700-ee9528a1b845,578e5e20-3178-4f14-bf5d-8e1ab02f4659,45941000,Не выбран,,,,Жилой,,586.7,,-,-,-,,,,,77:17:0100101:1024,285b70ef-5523-4488-a0d5-1e101a7dea96,,,37.505405,55.723869,54,POINT (37.505405 55.723869)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дружбы, д. 1",1cd98b98-6f64-432e-afdd-6538b3fe693d,1cd98b98-6f64-432e-afdd-6538b3fe693d,45948000,Не выбран,,,,Жилой,Исправный,114.2,,-,-,-,,,,,,887e132b-8d08-40c7-a97f-e550a0f42270,,,37.5218098,55.7121855,54,POINT (37.5218098 55.7121855)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дружбы, д. 4",94a35460-e119-4a50-8a91-ac7e9d4f47b7,b3b591fc-fbbe-4fda-8e85-679beed64a12,45948000,Не выбран,,,,Жилой,Исправный,79.5,,-,-,-,,,,,,514add10-123f-483a-9e14-5b9e0bb103c7,,,37.5198809,55.7115754,54,POINT (37.5198809 55.7115754)
"108828, Москва г, п. Краснопахорское, д. Раево, ул. Дружбы, д. 5",48ce678c-547b-4d98-96c4-f9e881906597,48ce678c-547b-4d98-96c4-f9e881906597,45948000,Не выбран,,,,Жилой,Исправный,206.8,,-,-,-,,,,,,a261fbc5-5605-4459-850e-917b9fbe1d0e,,,37.5182528,55.7117511,54,POINT (37.5182528 55.7117511)
"119454, Москва г, ул. Лобачевского, д. 92, корп. 4",83d4bd5c-ec3a-4966-82c7-f254d05415a0,83d4bd5c-ec3a-4966-82c7-f254d05415a0,45324000,ТСЖ,1027700159079.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ЛОБАЧЕВСКОГО 92, КОРПУС 4""",Многоквартирный,Исправный,36781.3,34467.1,-,-,-,,,,,77:07:0013006:1038,8ebafef8-73de-4161-bc9e-b6f921a99788,,,37.4842628,55.6826601,54,POINT (37.4842628 55.6826601)
"119530, Москва г, ул. Мосфильмовская, д. 98, корп. 1",b8f38541-7bd6-472f-93d9-0f013ac7e11f,7d0fd09f-dd05-4d95-89c0-189fe663b01a,45325000,УО,1207700168125.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ РАМЕНКИ""",Многоквартирный,Исправный,24971.8,24098.9,-,-,-,,,,,,4a9cbfe7-a83a-414e-92da-c9f9c7a8475c,,,37.531211,55.725306,54,POINT (37.531211 55.725306)
"119530, Москва г, ул. Мосфильмовская, д. 98, корп. 2",636bfef4-3ada-4deb-a0bf-f891718430e9,f7c3eee9-af04-4466-9dca-9be4fefdd0e0,45325000,УО,1207700168125.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ РАМЕНКИ""",Многоквартирный,Исправный,24949.1,24076.6,-,-,-,,,,,,733c85bb-a8c7-4c74-a04f-41b8747e5002,,,37.531211,55.725306,54,POINT (37.531211 55.725306)
"119607, Москва г, пр-кт. Мичуринский, д. 25, корп. 1",218c3dba-5d17-4213-88f4-dd0ef65fbb32,218c3dba-5d17-4213-88f4-dd0ef65fbb32,45325000,УО,5137746236788.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РАМЕНКИ""",Многоквартирный,Исправный,17698.3,17603.6,-,-,-,,,,,77:07:0013004:1050,4fc0f7ff-8425-4040-9e71-c4ff7dfcbf57,,,37.5035554,55.69704059999999,54,POINT (37.5035554 55.69704059999999)
"119607, Москва г, пр-кт. Мичуринский, д. 25, корп. 2",d4a603f0-4c94-4502-8b97-f92cb5df0226,d4a603f0-4c94-4502-8b97-f92cb5df0226,45325000,ТСЖ,1087746498190.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""В РАМЕНКАХ""",Многоквартирный,Исправный,21983.3,20625,-,-,-,,,,,77:07:0013004:1054,9feeecda-6b56-4cb5-be7f-1e2622b103f3,,,37.5042262,55.6964838,54,POINT (37.5042262 55.6964838)
"119607, Москва г, пр-кт. Мичуринский, д. 25, корп. 3",899d9027-b4dc-416e-a910-34987ea239b3,899d9027-b4dc-416e-a910-34987ea239b3,45325000,УО,5137746236788.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РАМЕНКИ""",Многоквартирный,Исправный,21918.5,20450.2,-,-,-,,,,,77:07:0013004:1051,e8984965-ee70-4ede-bf2a-b6c6eb5c3e7c,,,37.503279,55.695511,54,POINT (37.503279 55.695511)
"119607, Москва г, пр-кт. Мичуринский, д. 25, корп. 4",690b55b9-f909-487b-ac3c-d3300eda6826,690b55b9-f909-487b-ac3c-d3300eda6826,45325000,УО,5137746236788.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РАМЕНКИ""",Многоквартирный,Исправный,17655.7,17603.6,-,-,-,,,,,77:07:0013004:1049,81061c67-a0b8-4c7c-a77f-5fa48ababfb1,,,37.504976,55.69533500000001,54,POINT (37.504976 55.69533500000001)
"119607, Москва г, пр-кт. Мичуринский, д. 27, корп. 1",58c51b78-6bae-4d2f-97f1-e2f5a0ff8284,58c51b78-6bae-4d2f-97f1-e2f5a0ff8284,45325000,ТСЖ,1087746221738.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""МИЧУРИНСКИЙ-27""",Многоквартирный,Исправный,16872.3,16089,-,-,-,,,,,77:07:0013004:1061,9ca06a05-b488-4390-9802-0a573d9594fd,,,37.50135230000001,55.6977588,54,POINT (37.50135230000001 55.6977588)
"119607, Москва г, пр-кт. Мичуринский, д. 27, корп. 2",04fdbba0-785f-42ec-bf07-9cf104338669,04fdbba0-785f-42ec-bf07-9cf104338669,45325000,ТСЖ,1077799002962.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""МИЧУРИНСКИЙ ПРОСПЕКТ""",Многоквартирный,Исправный,16882.8,16108,-,-,-,,,,,77:07:0013004:1058,19fa163a-1e3a-45c5-b832-3051686b8b68,,,37.501009,55.696009,54,POINT (37.501009 55.696009)
"119607, Москва г, пр-кт. Мичуринский, д. 27, корп. 3",d30c55ec-9fe8-4ba0-a2da-40635a04374b,d30c55ec-9fe8-4ba0-a2da-40635a04374b,45325000,ТСЖ,1047796004376.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""МИЧУРИНСКОЕ""",Многоквартирный,Исправный,22282.9,21722.00,-,-,-,,,,,77:07:0013004:1052,e8a8f466-cedf-46a9-8593-4df6a5c22a1b,,,37.501258,55.695924,54,POINT (37.501258 55.695924)
"119607, Москва г, пр-кт. Мичуринский, д. 29",729155e0-be00-4086-ad60-33f3c3c0ad21,bf279af6-0267-4d11-9280-9a1921c37aee,45325000,ТСЖ,1027739558351.0,772901001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""СОЛНЕЧНЫЙ БЕРЕГ""",Многоквартирный,Исправный,33008.0,29070.9,-,-,-,,,,,77:07:0013004:1060,d865adc7-46f3-45a1-8ce1-54d7863c6551,,,37.5044122,55.6940573,54,POINT (37.5044122 55.6940573)
"119607, Москва г, пр-кт. Мичуринский, д. 29, корп. 1",8449ac29-b1ab-4241-b527-f491779d5154,8449ac29-b1ab-4241-b527-f491779d5154,45325000,УО,5137746236788.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РАМЕНКИ""",Многоквартирный,Исправный,15118.4,14624.2,-,-,-,,,,,77:07:0013004:1055,c0dd9576-5d69-498c-827e-deb53bb5822e,,,37.4993022,55.69692329999999,54,POINT (37.4993022 55.69692329999999)
"119607, Москва г, пр-кт. Мичуринский, д. 29, корп. 2",513d9fe9-1a9f-4f72-908d-32a0e30d3759,513d9fe9-1a9f-4f72-908d-32a0e30d3759,45325000,УО,5137746236788.0,772901001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РАМЕНКИ""",Многоквартирный,Исправный,11239.2,11169.3,-,-,-,,,,,77:07:0013004:1053,692b64d5-b3ed-4e4d-a76e-8cf1d4587db2,,,37.5044122,55.6940573,54,POINT (37.5044122 55.6940573)
