Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"129128, Москва г, пр-кт. Мира, д. 188",97820f36-5a54-492d-a3d3-2e664c5cdddc,35e0dcb8-b540-49cc-901f-95543efbac77,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,3622.7,3352.0,-,-,-,,,,,77:02:0019004:1006,72c53f05-87f8-4661-9263-4c220c9de3cb,,,37.6556568,55.8335239,10,POINT (37.6556568 55.8335239)
"129128, Москва г, пр-кт. Мира, д. 188А",63f96b98-f7ad-44dd-b5a9-9b96640567a1,63f96b98-f7ad-44dd-b5a9-9b96640567a1,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,4936.0,4096.0,-,-,-,,,,,77:02:0019004:1007,c0893267-0e0a-45a7-a367-eaafaa014a48,,,37.656838,55.8347196,10,POINT (37.656838 55.8347196)
"129128, Москва г, пр-кт. Мира, д. 188Б, корп. 1",0fd71068-7e23-4db0-9911-dac281c14332,48f74e2e-0ae6-4885-9539-84dd72012926,45360000,УО,1147746081922.0,770701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СЕРВИС""",Многоквартирный,Исправный,54804.1,45161.6,нет,нет,-,,,,,77:02:0019004:1954,072f8906-0892-4f0d-ac9d-7dffad069367,,,37.658323,55.835489,10,POINT (37.658323 55.835489)
"129128, Москва г, пр-кт. Мира, д. 188Б, корп. 2",13f18e65-4523-4432-aa77-a73ede4d166f,73ffdd79-ab44-4371-b05a-840f24999be0,45360000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,adaa3ee5-3414-4910-b295-8f2975d88278,,,37.6587557,55.8351597,10,POINT (37.6587557 55.8351597)
"129128, Москва г, пр-кт. Мира, д. 188Б, корп. 3",e9702338-ffe9-43be-90f8-3017161dedb4,208a53eb-56a1-414a-b73a-8f2c71bf3f79,45360000,УО,1147746081922.0,770701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СЕРВИС""",Многоквартирный,Исправный,53253.2,43281.6,нет,нет,-,,,,,77:02:0019004:3217,03cdadeb-1264-4e72-ac3d-1d2f9b1d6408,,,37.658323,55.835489,10,POINT (37.658323 55.835489)
"129128, Москва г, пр-кт. Мира, д. 188Б, корп. 4",5bcd6267-d959-4f88-a44c-30479474391b,315ecdde-6fe3-4aa0-9f7d-a9402b7ba380,45360000,УО,1147746081922.0,770701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИ-СЕРВИС""",Многоквартирный,Исправный,93294.5,77016.5,нет,нет,-,,,,,77:02:0019004:2334,3c38c2dd-5a21-4c12-ad39-3219a4262674,,,37.65895829999999,55.8347343,10,POINT (37.65895829999999 55.8347343)
"129128, Москва г, пр-кт. Мира, д. 190",eb1ef830-0ff8-45bd-8113-28c4ea0c1bca,eb1ef830-0ff8-45bd-8113-28c4ea0c1bca,45360000,ЖК,1037739692968.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СОКОЛ - 1""",Многоквартирный,Исправный,2616.5,2656.0,-,-,-,,,,,77:02:0019001:1008,3c187944-1b6c-4687-a709-37817e252ac1,,,37.6584449,55.836274,10,POINT (37.6584449 55.836274)
"129128, Москва г, пр-кт. Мира, д. 192",1552eb41-372d-43cb-9ebb-2a74e2024b12,1552eb41-372d-43cb-9ebb-2a74e2024b12,45360000,ЖК,1037739605331.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ДЗЕРЖИНЕЦ-2""",Многоквартирный,Исправный,4230.6,3547.1,нет,нет,-,,,,,77:02:0019001:1009,aa5ee867-d496-4c00-a016-aaac8ad2dce6,,,37.659156,55.836592,10,POINT (37.659156 55.836592)
"129128, Москва г, пр-кт. Мира, д. 194",b8914499-6cb6-47c7-bfa3-dad69c788b1b,b8914499-6cb6-47c7-bfa3-dad69c788b1b,45360000,ЖК,1037716012278.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ВДНХ""",Многоквартирный,Исправный,3274.9,1613.0,-,-,-,,,,,77:02:0019001:1010,7273d67e-9830-4229-8d31-f116302cc15d,,,37.6595719,55.83709959999999,10,POINT (37.6595719 55.83709959999999)
"129128, Москва г, пр-кт. Мира, д. 196",d49f1bc8-697c-4dd0-96f7-d461b5f50ab9,d49f1bc8-697c-4dd0-96f7-d461b5f50ab9,45360000,ЖК,1037700202341.0,771601001.0,"ЖИЛИЩНО - СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ДЕЛЬФИН""",Многоквартирный,Исправный,4247.8,4248.0,-,-,-,,,,,77:02:0019001:1011,c3699d52-1182-4eea-a744-25a8ae62fb21,,,37.661306,55.8370123,10,POINT (37.661306 55.8370123)
"129128, Москва г, пр-кт. Мира, д. 198",0fa20da9-ac9b-4d12-8c93-487ab78afb51,0fa20da9-ac9b-4d12-8c93-487ab78afb51,45360000,ЖК,1037716030725.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""СМЕНА""",Многоквартирный,Исправный,3227.6,2447.0,-,-,-,,,,,77:02:0019001:1012,df39227e-d630-46c6-941f-1d34648e7c0d,,,37.6605046,55.8377834,10,POINT (37.6605046 55.8377834)
"129128, Москва г, пр-кт. Мира, д. 198, корп. 2",5c16a910-cd2b-40fc-937d-972be9fd987c,5c16a910-cd2b-40fc-937d-972be9fd987c,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,6002.2,5185.0,-,-,-,,,,,77:02:0019001:1013,4856993f-46be-42b3-a64e-0f870dc4891a,,,37.661815,55.837355,10,POINT (37.661815 55.837355)
"129128, Москва г, пр-кт. Мира, д. 200",d1473d3d-c3b1-4813-bb31-6f58ef4866be,d1473d3d-c3b1-4813-bb31-6f58ef4866be,45360000,ЖК,1037739536097.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""МАРС""",Многоквартирный,Исправный,3526.5,3526.5,-,-,-,,,,,77:02:0019001:1014,b8665fbb-6154-4d35-a70b-b456f77b7ebe,,,37.661273,55.8381763,10,POINT (37.661273 55.8381763)
"129128, Москва г, пр-кт. Мира, д. 200, корп. 2",3e3e44b0-417c-420c-b972-29f0b603d5f9,3e3e44b0-417c-420c-b972-29f0b603d5f9,45360000,ЖК,1037739209870.0,771601001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ФЛОРА""",Многоквартирный,Исправный,3627.8,3627.8,-,-,-,,,,,77:02:0019001:1015,7cc2e439-ad60-4ac3-aa85-95ce12d8c8b7,,,37.6625781,55.83777809999999,10,POINT (37.6625781 55.83777809999999)
"129128, Москва г, пр-кт. Мира, д. 202",56288b5e-56d9-44e7-9dcd-a05ff50eb1bd,56288b5e-56d9-44e7-9dcd-a05ff50eb1bd,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,2579.5,2580.0,-,-,-,,,,,77:02:0019001:1016,74b689ef-ee9c-4402-a40f-8ee476616e7b,,,37.661617,55.838625,10,POINT (37.661617 55.838625)
"129128, Москва г, пр-кт. Мира, д. 202А",1765ada3-281b-49ad-ac77-b1df2c44da9d,1765ada3-281b-49ad-ac77-b1df2c44da9d,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,3385.2,3385.0,-,-,-,,,,,77:02:0019001:1017,410a8582-cdbd-4199-ace9-b44808135e14,,,37.66256,55.83843700000001,10,POINT (37.66256 55.83843700000001)
"129128, Москва г, проезд. Будайский, д. 1",c7201e53-3694-4181-bbcb-4c70c5f249e2,c7201e53-3694-4181-bbcb-4c70c5f249e2,45360000,УО,5137746226888.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА РОСТОКИНО""",Многоквартирный,Исправный,3902.8,2720.0,-,-,-,,,,,77:02:0019002:1000,5761558e-f2d8-4eb5-a109-790207d57b15,,,37.665052,55.834776,10,POINT (37.665052 55.834776)
