Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"109117, Москва г, ул. Окская, д. 3, корп. 1",0857b1e2-ad9a-4d83-986e-5d9bddde1790,0857b1e2-ad9a-4d83-986e-5d9bddde1790,45394000,ТСЖ,1067746856517.0,772101001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ПЕРСПЕКТИВА""",Многоквартирный,Исправный,42255.3,40125,-,-,-,,,,,77:04:0002006:1278,ac489d87-88bb-45c2-b7b6-1035b5a94e87,,,37.7549756,55.712885,77,POINT (37.7549756 55.712885)
"109117, Москва г, ул. Окская, д. 3, корп. 2",317ecaa5-0573-467c-b920-017fb4d54b6e,317ecaa5-0573-467c-b920-017fb4d54b6e,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,20236.3,19378.7,-,-,-,,,,,77:04:0002006:1291,d74db077-562a-4c51-96c6-658b5b16873a,,,37.754689,55.71383700000001,77,POINT (37.754689 55.71383700000001)
"109117, Москва г, ул. Окская, д. 5, корп. 1",c4de4359-f20b-4c54-be4b-0d8ed02a2fef,c4de4359-f20b-4c54-be4b-0d8ed02a2fef,45394000,ТСЖ,1067746856517.0,772101001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ПЕРСПЕКТИВА""",Многоквартирный,Исправный,41754.5,39648,-,-,-,,,,,77:04:0002006:1292,974bae88-5193-4f8f-b0a5-c08fdfd197ea,,,37.7568054,55.7131687,77,POINT (37.7568054 55.7131687)
"109117, Москва г, ул. Окская, д. 5, корп. 3",670154b1-a3e5-46ea-97a1-848a1608bb83,670154b1-a3e5-46ea-97a1-848a1608bb83,45394000,ТСЖ,1067746856517.0,772101001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""ПЕРСПЕКТИВА""",Многоквартирный,Исправный,20227.0,19367,-,-,-,,,,,77:04:0002006:1290,e0f0a990-9399-4621-95d5-46a7a1ec5b6f,,,37.7567239,55.7148264,77,POINT (37.7567239 55.7148264)
"109125, Москва г, б-р. Волжский, д. 11",1ccacd5b-6106-4c10-9938-b54769025c78,1ccacd5b-6106-4c10-9938-b54769025c78,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,40509.3,38829.3,-,-,-,,,,,77:04:0002006:1280,030f179a-d407-49cc-bee8-dbd708cc0da4,,,37.7466422,55.7147708,77,POINT (37.7466422 55.7147708)
"109125, Москва г, б-р. Волжский, д. 13",feb78d54-30bd-4666-b8b3-7262ab904571,889321f8-a821-44c7-a3e7-601ef8a0fefe,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,30362.3,29528.2,-,-,-,,,,,77:04:0002006:1140,9269d56e-dc9f-415a-a0f5-347509e6fb52,,,37.7486916,55.7118148,77,POINT (37.7486916 55.7118148)
"109125, Москва г, б-р. Волжский, д. 13, корп. 1",ac46b2c9-56c9-4567-92f3-cf21c6702c60,ac46b2c9-56c9-4567-92f3-cf21c6702c60,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,10959.9,10953,-,-,-,,,,,77:04:0002006:1029,00903838-bcdd-47ee-9a73-8fd9bdbf34d4,,,37.74894219999999,55.7123669,77,POINT (37.74894219999999 55.7123669)
"109125, Москва г, б-р. Волжский, д. 3, корп. 1",83bd3c04-bb95-45bb-8c85-9a3be464191c,83bd3c04-bb95-45bb-8c85-9a3be464191c,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,13493.1,12920.2,-,-,-,,,,,77:04:0002006:1288,d38e5fb2-05e9-43e2-85d4-27da4b729fdf,,,37.74485749999999,55.7185881,77,POINT (37.74485749999999 55.7185881)
"109125, Москва г, б-р. Волжский, д. 3, корп. 2",830b322d-8499-4b11-b392-ccb0a057d479,830b322d-8499-4b11-b392-ccb0a057d479,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,13485.7,12912.4,-,-,-,,,,,77:04:0002006:1289,672cc5c2-1118-4e4c-b184-9a2fc5c7b90d,,,37.744409,55.71857499999999,77,POINT (37.744409 55.71857499999999)
"109125, Москва г, б-р. Волжский, д. 5, корп. 1",00b03de3-952d-48d2-92b8-9113bd8d0050,00b03de3-952d-48d2-92b8-9113bd8d0050,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,20267.1,19362.5,-,-,-,,,,,77:04:0002006:1284,480d2464-0c66-4ca9-93a1-48243fbdbcf1,,,37.7449889,55.717758,77,POINT (37.7449889 55.717758)
"109125, Москва г, кв-л 95-й Волжский Бульвар, корп. 3",ff1c8a72-c1fb-4c86-895d-893d04f02354,ff1c8a72-c1fb-4c86-895d-893d04f02354,45395000,УО,5137746243960.0,772301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ТЕКСТИЛЬЩИКИ""",Многоквартирный,Исправный,15207.3,15093.4,-,-,-,,,,,77:04:0002019:1027,38593381-3d81-412e-8315-b51b3c36e5b9,,,37.7444799,55.718335,77,POINT (37.7444799 55.718335)
"109125, Москва г, ул. Васильцовский Стан, д. 10, корп. 1",b91f010f-9e28-4572-82eb-1c311c07c412,b91f010f-9e28-4572-82eb-1c311c07c412,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,20219.4,19391.2,-,-,-,,,,,77:04:0002006:1279,3f2aa3f7-09ea-439f-8ef2-1f49d73052f2,,,37.7536833,55.715732,77,POINT (37.7536833 55.715732)
"109125, Москва г, ул. Васильцовский Стан, д. 11",befe3dd9-bc55-47ce-94f8-d89eb8be053e,befe3dd9-bc55-47ce-94f8-d89eb8be053e,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,41973.5,39893.2,-,-,-,,,,,77:04:0002006:1281,60c55a12-88db-402a-8c47-740b90cffb42,,,37.7514192,55.71663659999999,77,POINT (37.7514192 55.71663659999999)
"109125, Москва г, ул. Васильцовский Стан, д. 3, корп. 1",57369130-821e-4b1d-b3c0-2484fc3c4f35,57369130-821e-4b1d-b3c0-2484fc3c4f35,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,20166.2,19312.6,-,-,-,,,,,77:04:0002006:1295,62faf67c-b0c4-4d1c-852e-29bc7505f780,,,37.751356,55.71304,77,POINT (37.751356 55.71304)
"109125, Москва г, ул. Васильцовский Стан, д. 5, корп. 1",f22cca63-4759-4068-acc9-636ae93f826d,f22cca63-4759-4068-acc9-636ae93f826d,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,15271.0,14524,-,-,-,,,,,77:04:0002006:1293,77e92442-7865-40b3-bfca-a94e0055fe06,,,37.750728,55.713855,77,POINT (37.750728 55.713855)
"109125, Москва г, ул. Васильцовский Стан, д. 5, корп. 2",13b83b66-41d7-471d-9c9a-4954361634ee,13b83b66-41d7-471d-9c9a-4954361634ee,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,17475.4,16458.5,-,-,-,,,,,77:04:0002006:1294,c520f2ef-6961-4eae-aade-d1e291d04856,,,37.749405,55.71414100000001,77,POINT (37.749405 55.71414100000001)
"109125, Москва г, ул. Васильцовский Стан, д. 7, корп. 1",2dcbb02e-40b8-4350-8053-2c982dc2be7c,2dcbb02e-40b8-4350-8053-2c982dc2be7c,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,15345.0,14590.4,-,-,-,,,,,77:04:0002006:1282,e5305a72-7cd6-4ac3-9bf5-dcfbb367a816,,,37.75005700000001,55.71490799999999,77,POINT (37.75005700000001 55.71490799999999)
"109125, Москва г, ул. Васильцовский Стан, д. 9",ef0838ec-ee87-4f79-83a6-7d69a6c35ea0,ef0838ec-ee87-4f79-83a6-7d69a6c35ea0,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,15315.9,14551.5,-,-,-,,,,,77:04:0002006:1283,063eed0c-3ccd-4b9e-b91b-d40bd692bf16,,,37.7510796,55.7159448,77,POINT (37.7510796 55.7159448)
"109125, Москва г, ул. Окская, д. 1, корп. 1",4384ad6d-e844-4555-b24b-7bb72664281f,4384ad6d-e844-4555-b24b-7bb72664281f,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,42263.4,40133.9,-,-,-,,,,,77:04:0002006:1277,6762d077-f24c-4e05-9698-7b2ab4c71aee,,,37.7509802,55.7117334,77,POINT (37.7509802 55.7117334)
"109125, Москва г, ул. Саратовская, д. 22",af3db9f2-737d-4028-8d4e-64d34f6c32ee,e6e2d317-f231-4749-9505-c08a42b725c6,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,60745.6,58233.4,-,-,-,,,,,77:04:0002006:1285,485e55c1-f0a9-4162-8eae-7a2321c2b6e3,,,37.7468783,55.716568,77,POINT (37.7468783 55.716568)
"109125, Москва г, ул. Саратовская, д. 24",517ec3f3-3cd2-4c56-a56e-8822ade53570,7d1372ed-37ac-4de0-a35b-244837cb85c9,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,20213.8,19352.6,-,-,-,,,,,77:04:0002006:1286,4923f67f-df40-44a6-81a6-606bba3d7d3a,,,37.7493693,55.7174771,77,POINT (37.7493693 55.7174771)
"109125, Москва г, ул. Саратовская, д. 31",41f50110-78fc-40b4-85db-3cd0ec15529c,ce231e59-0cce-42b7-a36a-d5de40d76840,45394000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,38174.8,36477,-,-,-,,,,,77:04:0002006:1287,efae7814-b177-43e1-9e5f-4b044dacde9f,,,37.7466852,55.718546,77,POINT (37.7466852 55.718546)
"109377, Москва г, пр-кт. Рязанский, д. 32",8ac65283-4bfe-4f28-ab6c-b56d1e633e49,8ac65283-4bfe-4f28-ab6c-b56d1e633e49,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,2037.0,1388,-,-,-,,,,,77:04:0002013:1043,e05fe56c-87be-48bf-b9d8-311166a1a7b8,,,37.7858362,55.7171694,77,POINT (37.7858362 55.7171694)
"109377, Москва г, пр-кт. Рязанский, д. 34",26890582-21d2-48c7-b8e7-fd2bdb0f2143,26890582-21d2-48c7-b8e7-fd2bdb0f2143,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,5446.4,3752.1,-,-,-,,,,,77:04:0002013:1052,0073fd41-575d-4473-8ba8-570ba04a9ab6,,,37.78705619999999,55.7173226,77,POINT (37.78705619999999 55.7173226)
"109377, Москва г, пр-кт. Рязанский, д. 36",ad092094-d926-4a1c-bf8f-21ddcbada2c2,ad092094-d926-4a1c-bf8f-21ddcbada2c2,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,3068.2,2290.4,-,-,-,,,,,77:04:0002013:1053,54a13ade-d492-4090-89d7-410448dce2b1,,,37.7878378,55.71693879999999,77,POINT (37.7878378 55.71693879999999)
"109377, Москва г, пр-кт. Рязанский, д. 38",1fdba7c8-109c-4fd1-8155-4e1cbf29db52,1fdba7c8-109c-4fd1-8155-4e1cbf29db52,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,5295.2,3986.4,-,-,-,,,,,77:04:0002013:1054,c51d88a9-7dd6-4c20-8a2e-ccfc219e1a63,,,37.7884733,55.7173203,77,POINT (37.7884733 55.7173203)
"109377, Москва г, пр-кт. Рязанский, д. 40/2",120f23fe-1552-48ca-94b7-fc01ae543b40,17776fa3-759f-4cc6-acbc-18dfc7ec43c6,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,5861.2,4265,-,-,-,,,,,77:04:0002013:1055,c4efa20a-2854-447c-8a1f-9bda0d50ba1a,,,37.790069,55.717256,77,POINT (37.790069 55.717256)
"109377, Москва г, пр-кт. Рязанский, д. 42/1",b06bbd0e-535d-45a6-a7e0-131a95a206bb,b06bbd0e-535d-45a6-a7e0-131a95a206bb,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,4443.5,4374.2,-,-,-,,,,,77:04:0002013:1056,d997f2fa-bc2f-43b3-96fe-a5ef2d5c307a,,,37.7904619,55.7167466,77,POINT (37.7904619 55.7167466)
"109377, Москва г, пр-кт. Рязанский, д. 44",acc7f9e6-bf8e-4ff2-bc47-78deea192836,acc7f9e6-bf8e-4ff2-bc47-78deea192836,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,4305.7,4260.4,-,-,-,,,,,77:04:0002013:1057,3055478d-b9ea-47a4-98d4-5140ad213ee2,,,37.7912683,55.7165915,77,POINT (37.7912683 55.7165915)
"109377, Москва г, пр-кт. Рязанский, д. 48",420e9ed2-b46d-4c45-972f-9e1c26d20d1e,62c23c21-6a8a-47d8-87c1-6692217a668b,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,4285.7,4046,-,-,-,,,,,77:04:0002013:1058,ef0b7c84-c0aa-43b4-b373-12a2fc1736bb,,,37.793393,55.71628279999999,77,POINT (37.793393 55.71628279999999)
"109377, Москва г, пр-кт. Рязанский, д. 50",15a6506a-0692-4ed9-8149-38a818a9da5d,15a6506a-0692-4ed9-8149-38a818a9da5d,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,2554.3,2510,-,-,-,,,,,77:04:0002013:1019,7324dbf6-174d-4496-9b93-4ee249304776,,,37.7941015,55.71628159999999,77,POINT (37.7941015 55.71628159999999)
"109377, Москва г, пр-кт. Рязанский, д. 52",50ceed34-b5ab-4474-b710-bddb20aa0655,50ceed34-b5ab-4474-b710-bddb20aa0655,45394000,УО,1157746494982.0,772101001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РЯЗАНСКОГО РАЙОНА""",Многоквартирный,Исправный,4414.0,4405.7,-,-,-,,,,,77:04:0002013:1020,e175c10e-7143-40c5-8dca-db18bd240687,,,37.79665749999999,55.71524179999999,77,POINT (37.79665749999999 55.71524179999999)
