Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108806, Москва г, п. Новофедоровское, д. Пахорка, ул. Снежная, д. 10, строение 1",b75d57ac-9ff7-4068-a144-f875d9690ed5,b6171bd2-ad5e-412f-a79e-9b5727ad83e3,45954000,Не выбран,,,,Жилой,Исправный,148.7,,-,-,-,,,,,77:21:0140407:282,9403ffa3-5099-45c5-aa00-0367d7cd222e,,,37.644154,55.849393,11,POINT (37.644154 55.849393)
"108806, Москва г, п. Новофедоровское, д. Пахорка, ул. Снежная, д. 12",6b2c984b-8e11-4c96-9591-a24c5751306d,4d6e225b-b47c-44b3-a235-b91c9481d770,45954000,Не выбран,,,,Жилой,Исправный,66.4,,-,-,-,,,,,77:21:0140407:166,a786999c-946d-41df-8d1c-4b444a34824e,,,37.643398,55.849708,11,POINT (37.643398 55.849708)
"108830, Москва г, п. Вороновское, д. Бакланово, ул. Ивовая, д. 11",f7c29df9-c8f7-4877-9489-655241f4724e,cfcf7921-2539-4336-bec7-c365423f10b1,45943000,Не выбран,,,,Жилой,,83.0,,-,-,-,,,,,,8486ad31-1469-4158-8838-ae8848dfc88d,,,37.645826,55.8607166,11,POINT (37.645826 55.8607166)
"108830, Москва г, п. Вороновское, д. Бакланово, ул. Ивовая, д. 16",7cf96128-a2ee-4ec5-8e49-f5b272ecd6f8,ad68a860-55f5-4b75-a969-9d5998759120,45943000,Не выбран,,,,Жилой,,64.5,,-,-,-,,,,,,52b64f98-c365-4ede-b60f-f3eb5963fda5,,,37.6464118,55.86039539999999,11,POINT (37.6464118 55.86039539999999)
"129323, Москва г, проезд. 1-й Ботанический, д. 1",e5aac01a-60b5-4756-b902-01cc027b9007,e5aac01a-60b5-4756-b902-01cc027b9007,45361000,УО,5137746246314.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СВИБЛОВО""",Многоквартирный,Исправный,2023.4,1321.0,-,-,-,,,,,77:02:0014011:1009,38395a08-8625-4820-a690-aa24dd96c824,,,37.6341611,55.8501002,11,POINT (37.6341611 55.8501002)
"129323, Москва г, проезд. 1-й Ботанический, д. 3",64dc1b31-ca16-4f46-aa4e-9873299bd578,64dc1b31-ca16-4f46-aa4e-9873299bd578,45361000,УО,5137746246314.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СВИБЛОВО""",Многоквартирный,Исправный,1537.3,968.0,-,-,-,,,,,77:02:0014011:1011,3ea7fb56-d5ec-43ee-8cc7-507a56262b33,,,37.6342514,55.8509348,11,POINT (37.6342514 55.8509348)
"129323, Москва г, проезд. 1-й Ботанический, д. 3А",9ee44b74-da99-41cd-9a7e-cdd7c007d0d8,9ee44b74-da99-41cd-9a7e-cdd7c007d0d8,45361000,УО,1087746440396.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СВИБЛОВ ГРАД""",Многоквартирный,Исправный,2598.1,2598.1,нет,нет,-,,,,,77:02:0014011:1012,1765f3a1-0f57-427b-be62-bce6d09794d0,,,37.6335193,55.8510443,11,POINT (37.6335193 55.8510443)
"129323, Москва г, проезд. 1-й Ботанический, д. 5",a0c322de-bc42-4c05-8d66-a60c3f0c30c6,a0c322de-bc42-4c05-8d66-a60c3f0c30c6,45361000,УО,1087746440396.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СВИБЛОВ ГРАД""",Многоквартирный,Исправный,6302.5,5855.0,нет,нет,-,,,,,77:02:0014011:1138,fd435226-8033-4282-afe8-ea8fa02a51a9,,,37.6342821,55.8516036,11,POINT (37.6342821 55.8516036)
"129323, Москва г, проезд. 2-й Ботанический, д. 4",240841bf-283d-4b16-a40d-dc8405df999d,240841bf-283d-4b16-a40d-dc8405df999d,45361000,ТСЖ,1037739535668.0,771601001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""2-ОЙ БОТАНИЧЕСКИЙ ПР., Д.4""",Многоквартирный,Исправный,9217.6,9181.4,нет,нет,-,,,,,77:02:0014011:1135,d296239d-8aae-41ce-b6e1-d9c502114f47,,,37.6387398,55.850396,11,POINT (37.6387398 55.850396)
"129323, Москва г, проезд. 2-й Ботанический, д. 6",5f1a6abc-1b8e-4ee8-95bd-383582da4d1a,5f1a6abc-1b8e-4ee8-95bd-383582da4d1a,45361000,УО,5137746246314.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СВИБЛОВО""",Многоквартирный,Исправный,1545.0,948.0,-,-,-,,,,,77:02:0014011:1013,c16078cc-a81a-4e0e-acba-38f5ead35987,,,37.6386689,55.8509492,11,POINT (37.6386689 55.8509492)
"129323, Москва г, проезд. Лазоревый, д. 1",26ee98ea-d147-4452-aeaa-4441dd337530,9c29b26d-6edd-4527-a429-99b443fea795,45361000,УО,1187746454620.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОТАНИЧЕСКИЙ САД-1 СЕРВИС""",Многоквартирный,Исправный,59945.0,29419.3,-,-,-,,,,,77:02:0014011:15808,15197372-2e75-4692-babd-a90748c0d533,,,37.63889899999999,55.8487076,11,POINT (37.63889899999999 55.8487076)
"129323, Москва г, проезд. Лазоревый, д. 10",4bc109e5-4bb1-43f0-ac7f-d6673007426a,4bc109e5-4bb1-43f0-ac7f-d6673007426a,45361000,УО,1087746440396.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СВИБЛОВ ГРАД""",Многоквартирный,Исправный,6466.4,5323.0,нет,нет,-,,,,,77:02:0014011:1057,45016680-2d29-4e85-a984-0bb477393d3f,,,37.6330384,55.8498674,11,POINT (37.6330384 55.8498674)
"129323, Москва г, проезд. Лазоревый, д. 12",dc4b6601-5c0c-4ffc-92d2-a14d93f99861,dc4b6601-5c0c-4ffc-92d2-a14d93f99861,45361000,УО,5137746246314.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СВИБЛОВО""",Многоквартирный,Исправный,2019.2,1016.0,-,-,-,,,,,77:02:0014011:1010,c894b7c5-9c10-4981-b240-af2cdf8c7e91,,,37.6323929,55.850056,11,POINT (37.6323929 55.850056)
"129323, Москва г, проезд. Лазоревый, д. 13",3edd6e45-7411-49b2-90fe-748af9311cee,3edd6e45-7411-49b2-90fe-748af9311cee,45361000,УО,5137746246314.0,771601001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СВИБЛОВО""",Многоквартирный,Исправный,1612.8,999.0,-,-,-,,,,,77:02:0014011:1058,a88bf2aa-1aba-401f-b977-c109ce821449,,,37.6337187,55.85299819999999,11,POINT (37.6337187 55.85299819999999)
"129323, Москва г, проезд. Лазоревый, д. 14",7db9422b-12f4-421d-bccd-f62889e9a755,7db9422b-12f4-421d-bccd-f62889e9a755,45361000,УО,1087746440396.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СВИБЛОВ ГРАД""",Многоквартирный,Исправный,3612.1,3612.0,нет,нет,-,,,,,77:02:0014011:1025,c9f554de-e959-432d-92f6-cca6bc6428a0,,,37.6320151,55.85055029999999,11,POINT (37.6320151 55.85055029999999)
"129323, Москва г, проезд. Лазоревый, д. 16",439bb4ce-ebf4-47fb-8be9-b490bbc79912,439bb4ce-ebf4-47fb-8be9-b490bbc79912,45361000,УО,1087746440396.0,771601001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""СВИБЛОВ ГРАД""",Многоквартирный,Исправный,3609.9,3609.9,нет,нет,-,,,,,77:02:0014011:1027,5a1a59c8-9056-47b0-8c6b-3d6e69d4a274,,,37.6324735,55.8511825,11,POINT (37.6324735 55.8511825)
