Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"117216, Москва г, б-р. Дмитрия Донского, д. 11",534be86e-65b7-4c14-ae66-a983375ef789,534be86e-65b7-4c14-ae66-a983375ef789,45906000,УО,1207700201741.0,772701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЛЯРИС СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,25605.9,21597.1,-,-,-,,,,,77:06:0011004:1051,752ac7f1-a328-4cd2-bb3d-6b0d065b486a,,,37.5762496,55.5667218,56,POINT (37.5762496 55.5667218)
"117216, Москва г, б-р. Дмитрия Донского, д. 11, корп. 1",88ce0181-15f1-41cf-a18f-730f70c85931,88ce0181-15f1-41cf-a18f-730f70c85931,45906000,УО,1207700201741.0,772701001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЛЯРИС СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,8694.9,8654,-,-,-,,,,,77:06:0011004:1050,5f48c98a-a274-4997-b481-2e59b01d26a3,,,37.5774332,55.5669816,56,POINT (37.5774332 55.5669816)
"117216, Москва г, б-р. Дмитрия Донского, д. 11, корп. 2",3dee6459-0857-41bc-8532-67d33171fe49,3dee6459-0857-41bc-8532-67d33171fe49,45906000,УО,5147746230264.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,19323.2,18915.8,нет,нет,-,,,,,77:06:0011004:1048,9f7a89f7-6a8e-4487-b583-96e0c600b936,,,37.57857740000001,55.5662414,56,POINT (37.57857740000001 55.5662414)
"117216, Москва г, б-р. Дмитрия Донского, д. 12",771f5b7f-dff5-4581-8954-1b376af655da,771f5b7f-dff5-4581-8954-1b376af655da,45906000,УО,5147746230264.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,15011.9,14539.7,нет,нет,-,,,,,77:06:0011005:1012,7235dccd-f7d2-43cc-aa06-2c785e25a0b6,,,37.5724459,55.566033,56,POINT (37.5724459 55.566033)
"117216, Москва г, б-р. Дмитрия Донского, д. 13",c155165b-316b-469f-9aad-9c3492bcbd4c,c155165b-316b-469f-9aad-9c3492bcbd4c,45906000,УО,5147746230264.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,11272.4,10814,нет,нет,-,,,,,77:06:0011006:1006,217e61d6-579c-4ca9-bc81-c02ffe4e59f3,,,37.5749536,55.5652347,56,POINT (37.5749536 55.5652347)
"117216, Москва г, б-р. Дмитрия Донского, д. 15",dfbbf0b3-eaa3-4c31-a390-c3bc680bb47b,dfbbf0b3-eaa3-4c31-a390-c3bc680bb47b,45906000,ТСЖ,1087746238194.0,772701001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""СОЮЗ-25""",Многоквартирный,Исправный,8628.9,4111.3,-,-,-,,,,,77:06:0011006:1007,153ea26d-f1f5-4722-962b-96a936bea19b,,,37.574865,55.564047,56,POINT (37.574865 55.564047)
"117216, Москва г, б-р. Дмитрия Донского, д. 16",37845560-3511-401a-a3af-bd8535840ce1,37845560-3511-401a-a3af-bd8535840ce1,45906000,УО,5147746230264.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,12729.4,8065.8,нет,нет,-,,,,,77:06:0011005:1041,e227f2e4-59e6-4e71-b1a3-5dba1914a048,,,37.5707681,55.5637956,56,POINT (37.5707681 55.5637956)
"117216, Москва г, б-р. Дмитрия Донского, д. 17",c63e78ed-d767-4106-97fc-21ae4fa72afc,c63e78ed-d767-4106-97fc-21ae4fa72afc,45906000,ЖК,1027739599953.0,772701001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""БУТОВО-2""",Многоквартирный,Исправный,14963.7,14275.2,-,-,-,,,,,77:06:0011006:1008,717eeb53-4926-4264-90ed-56759156606f,,,37.5737804,55.563767,56,POINT (37.5737804 55.563767)
"117216, Москва г, б-р. Дмитрия Донского, д. 18/4",e2665bb5-699b-4b3b-8dd5-e4cfcbd05e2c,e2665bb5-699b-4b3b-8dd5-e4cfcbd05e2c,45906000,УО,5147746230264.0,772701001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ БУТОВО""",Многоквартирный,Исправный,11052.4,10408.8,нет,нет,-,,,,,77:06:0011005:1045,8f7caa21-c9c5-43ec-9557-84749576d793,,,37.57045470000001,55.5629954,56,POINT (37.57045470000001 55.5629954)
"117216, Москва г, б-р. Дмитрия Донского, д. 9, корп. 1",d87b5262-fac6-48b1-8234-07c1543e908d,d87b5262-fac6-48b1-8234-07c1543e908d,45906000,ТСЖ,1027739917105.0,772701001.0,"ЖИЛИЩНЫЙ КООПЕРАТИВ ""СОЮЗ - 2""",Многоквартирный,Исправный,19861.8,18055.3,-,-,-,,,,,77:06:0011004:1019,c2870a0a-cca5-4c19-8d47-d7d4a4e058b6,,,37.5776553,55.56854999999999,56,POINT (37.5776553 55.56854999999999)
