Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 14",a76e222c-3dbc-40d3-8362-2e7d35a6fe75,6db3da94-9903-48e9-85eb-69bd39b3cf4e,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,b3f42725-1991-41c3-b434-cce61b54356f,,,37.6604205,55.8873563,57,POINT (37.6604205 55.8873563)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 31",b78e8db7-2d8b-41cd-9cce-8ab782d1169b,ed10b7ff-d711-47ad-9602-0d1fc898bbd7,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,21b8508d-d864-4d5f-8b56-288f0d050aed,,,37.6777919,55.8878163,57,POINT (37.6777919 55.8878163)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 33",4fe4f0d1-d934-4053-8010-1378f7b5bd0f,bb87a24e-7485-407e-8391-8e00696dfada,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,1b342baa-a7bd-4978-bdd9-7250a925d7af,,,37.6427128,55.8889241,57,POINT (37.6427128 55.8889241)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 34",85c7b15c-fed8-477f-8fda-67928eb8f7de,002b3f6d-3fa0-4b74-a504-701891975212,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,5b5d991a-cf87-46e3-ae04-488647151713,,,37.64335519999999,55.88830979999999,57,POINT (37.64335519999999 55.88830979999999)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 36",f71c24e1-f4f5-41f0-bf94-86f93939065d,ce346d86-67bd-4b6a-847b-74f815f17698,45947000,Не выбран,,,,Жилой,Исправный,99.6,,-,-,-,,,,,77:18:0170312:17,e8de3102-81ce-4836-81c9-9c90d954a9c0,,,37.64335519999999,55.88830979999999,57,POINT (37.64335519999999 55.88830979999999)
"108804, Москва г, п. Кокошкино, х. Брёхово, ул. Широкая, д. 41",4c2d308f-cdb1-45f5-b3f3-1634cdecd7c5,08bb0d9f-a727-4974-8825-74c65d64377c,45947000,Не выбран,,,,Жилой,Исправный,50.0,,-,-,-,,,,,,ec62301d-6d9a-48be-8a16-8fd7bc21f10f,,,37.64335519999999,55.88830979999999,57,POINT (37.64335519999999 55.88830979999999)
"127081, Москва г, ул. Полярная, д. 25, корп. 1",c904d713-4506-481c-8049-7eb9a48f0de8,e5ac84c2-4ccd-4645-bf5e-cb8b0ff25d27,45364000,УО,1197746169675.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ СИРИУС""",Многоквартирный,Исправный,31969.9,21066.4,нет,нет,-,,,,,,55ebc22c-497f-4841-bdd0-4af4b4694a97,,,37.636529,55.882165,57,POINT (37.636529 55.882165)
"127081, Москва г, ул. Полярная, д. 27, корп. 1",90b0d5a7-f4f6-42f8-8a22-cdfbb4ab4345,e8163d40-91cb-44dc-a113-5f375eee0baf,45364000,УО,1197746430287.0,771901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УК ВИТЯЗЬ""",Многоквартирный,Исправный,31998.8,20741.3,нет,нет,-,,,,,77:02:0005006:3961,9f178bec-0de3-4b04-b607-7e2697f8b09a,,,37.6375935,55.88235299999999,57,POINT (37.6375935 55.88235299999999)
"127081, Москва г, ул. Полярная, д. 27, корп. 2",8f989d9b-1957-4da7-933d-ddf4486625e9,9ef6fceb-7e8d-4ab3-a5d9-317085815945,45364000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,23411.6,15595.9,нет,нет,-,,,,,77:02:0005006:1947,a98b364b-e5a8-4215-b660-7b5b109d29fa,,,37.6367204,55.8826838,57,POINT (37.6367204 55.8826838)
"127081, Москва г, ул. Полярная, д. 27, корп. 3",253b02ae-4d38-4166-a5da-463efde34af0,5e592c9f-83bf-4ead-b0f3-d84ad2025a90,45364000,УО,1027700082266.0,773401001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК-КОМФОРТ""",Многоквартирный,Исправный,30579.3,20669.6,-,-,-,,,,,77:02:0005006:1459,08805a5a-bfa9-47ee-9bd1-d436c5176fd4,,,37.6350511,55.8823889,57,POINT (37.6350511 55.8823889)
