Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"125363, Москва г, б-р. Химкинский, д. 16, корп. 1",a9da0b76-304c-4b05-a560-c8646ab87a6c,a9da0b76-304c-4b05-a560-c8646ab87a6c,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,23081.6,18966.7,-,-,-,,,,,77:08:0003008:1047,2efbea3b-ea80-4f79-bf6d-80249449037c,,,37.4429421,55.8520178,58,POINT (37.4429421 55.8520178)
"125363, Москва г, б-р. Химкинский, д. 16, корп. 2",4e5676c7-888f-4e3c-ba85-fba201180485,4e5676c7-888f-4e3c-ba85-fba201180485,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,7004.7,7004.7,-,-,-,,,,,77:08:0003008:1048,ea63cf8b-4d57-4bbb-bb55-678189a11be3,,,37.4432044,55.8531577,58,POINT (37.4432044 55.8531577)
"125363, Москва г, б-р. Химкинский, д. 16, корп. 3",9a381c1b-ddf6-4d5f-a831-f699f9949df0,9a381c1b-ddf6-4d5f-a831-f699f9949df0,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,6985.0,6985,-,-,-,,,,,77:08:0003008:1049,8d980223-a52b-4378-8735-c6527c06e3c5,,,37.442374,55.853051,58,POINT (37.442374 55.853051)
"125363, Москва г, б-р. Химкинский, д. 16, корп. 4",31f4c1b8-431c-4e5b-b077-bf1cd969a5b8,31f4c1b8-431c-4e5b-b077-bf1cd969a5b8,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,7029.4,7029.4,-,-,-,,,,,77:08:0003008:1050,5c270a89-b2e1-4b2b-a700-0e68fae562fd,,,37.4415084,55.8530494,58,POINT (37.4415084 55.8530494)
"125363, Москва г, б-р. Химкинский, д. 16, корп. 5",864dc267-7d3c-4efb-99c7-867333f7839a,864dc267-7d3c-4efb-99c7-867333f7839a,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,7051.2,7051.2,-,-,-,,,,,77:08:0003008:1051,ec47eb45-f7df-4094-b5ed-afdd171f224f,,,37.440724,55.852888,58,POINT (37.440724 55.852888)
"125363, Москва г, ул. Героев Панфиловцев, д. 2",09a20eac-e933-4c67-9615-a49c5fb52949,09a20eac-e933-4c67-9615-a49c5fb52949,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,7042.1,6965.7,-,-,-,,,,,77:08:0003008:1012,12c832ec-d774-4828-9ce8-b2970cdfe1ab,,,37.4402169,55.852252,58,POINT (37.4402169 55.852252)
"125363, Москва г, ул. Героев Панфиловцев, д. 4",3eac04da-43d9-42af-8451-4f13c04b4e80,3eac04da-43d9-42af-8451-4f13c04b4e80,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,4010.1,3661.3,-,-,-,,,,,77:08:0003008:1034,7683c7d5-6bd8-4849-9004-27d5b0786b36,,,37.439787,55.853264,58,POINT (37.439787 55.853264)
"125364, Москва г, б-р. Химкинский, д. 14, корп. 1",53520875-5bb1-4822-b5cd-f180ec8c382a,53520875-5bb1-4822-b5cd-f180ec8c382a,45369000,УО,5147746421169.0,773301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНОЕ ТУШИНО""",Многоквартирный,Исправный,11298.1,9393.2,-,-,-,,,,,77:08:0003008:1046,44678f9d-c569-4d0b-a470-c900ae07fe80,,,37.4466613,55.85364939999999,58,POINT (37.4466613 55.85364939999999)
"125364, Москва г, б-р. Химкинский, д. 14, корп. 2",a0b3a80a-6631-48f3-b381-4f5f05576895,a0b3a80a-6631-48f3-b381-4f5f05576895,45369000,УО,1147746500626.0,773301001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СХОДНЕНСКАЯ-1""",Многоквартирный,Исправный,10002.4,9402.1,-,-,-,,,,,77:00:0000000:41761,b0abb26c-a097-4bfd-ac8a-f51fb5c32e62,,,37.4459616,55.85312039999999,58,POINT (37.4459616 55.85312039999999)
"125364, Москва г, б-р. Химкинский, д. 14, корп. 2, строение 1",5ab8ea70-a655-4b03-bb6a-db48653202e0,5ab8ea70-a655-4b03-bb6a-db48653202e0,45369000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,ed663727-bd31-41ba-8274-41f2ba784e1a,,,37.4467117,55.8536954,58,POINT (37.4467117 55.8536954)
