Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 1",17f2c639-778e-4d48-864a-ddef05e7ca95,1e9ee998-f82c-4c64-9364-5ef0c62ce8f1,45946000,УО,1125074002899.0,775101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ШИШКИН ЛЕС""",Многоквартирный,Исправный,4605.5,4607.3,-,-,-,,,,,50:27:0000000:27326,7733ae00-eea0-48bc-bb98-217cb89ef237,,,37.5245731,55.9386902,83,POINT (37.5245731 55.9386902)
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 2",db933f0d-3828-4ec0-a069-3274b32d0d78,4ab89e55-6ac9-4176-9bc3-2d17822df720,45946000,УО,1125074002899.0,775101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ШИШКИН ЛЕС""",Многоквартирный,Исправный,3062.9,3062.9,-,-,-,,,,,50:27:0000000:31922,a327e522-1833-4c9a-9020-6c67fe4f41f5,,,37.5249034,55.9385215,83,POINT (37.5249034 55.9385215)
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 3",124d9c5f-5a6d-4f6e-b29b-982ffc6f2051,60b46a65-8069-4359-94a5-ed246192395a,45946000,УО,1125074002899.0,775101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ШИШКИН ЛЕС""",Многоквартирный,Исправный,4430.1,4430.1,-,-,-,,,,,50:27:0000000:22692,d69fb812-2382-4aa7-9e0c-016e68ff7ad9,,,37.5252229,55.93840770000001,83,POINT (37.5252229 55.93840770000001)
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 3А, корп. 1",1e40ac9a-6c27-4a76-ae4c-73c102197914,0cec71d9-408e-4b7c-be62-52db98c4d1b0,45946000,ЖК,1095074005960.0,775101001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""КЛЕНОВСКИЙ""",Многоквартирный,Исправный,4942.6,,-,-,-,,,,,50:27:0000000:31924,f30151e7-5841-41b1-bd93-a9ea70dea335,,,37.5252229,55.93840770000001,83,POINT (37.5252229 55.93840770000001)
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 3А, корп. 2",8ae1032f-12a4-43e8-af7f-daee2c0bc1e9,df82a24b-8df4-4741-a56e-97bdb10fbfc1,45946000,ЖК,1095074005960.0,775101001.0,"ЖИЛИЩНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""КЛЕНОВСКИЙ""",Многоквартирный,Исправный,2957.5,,-,-,-,,,,,77:22:0030617:741,1e746e63-d505-4786-8c59-2c1667ec5169,,,37.5252229,55.93840770000001,83,POINT (37.5252229 55.93840770000001)
"108829, Москва г, п. Кленовское, с. Кленово, ул. Мичурина, д. 4",1ced5b78-626a-472b-b612-8488634adcf6,7d343ef1-a975-4f67-83e1-f96d1235027a,45946000,УО,1125074002899.0,775101001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ШИШКИН ЛЕС""",Многоквартирный,Исправный,4380.8,4380.8,-,-,-,,,,,77:22:0030617:742,5929817d-86b2-4274-adeb-a9016dda0d77,,,37.5254785,55.9383166,83,POINT (37.5254785 55.9383166)
"127204, Москва г, аллея. Долгопрудная, д. 14, корп. 1",9d370fd8-379b-4f11-872c-f4d52dcabd12,322dc4f1-2fe7-4f0b-833b-06eebc26f371,45363000,УО,5147746334137.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНЫЙ""",Многоквартирный,Исправный,27857.9,25705.4,нет,нет,-,,,,,,7dea408b-9751-44fe-817a-d0d03a3e277e,,,37.5298816,55.9421097,83,POINT (37.5298816 55.9421097)
"127204, Москва г, аллея. Долгопрудная, д. 14, корп. 2",5a1cfb39-c583-45ef-a9b8-53609874c834,1eb3a57a-510b-4495-b2d1-a64c1e6a9771,45363000,УО,5147746334137.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНЫЙ""",Многоквартирный,Исправный,15930.1,14903.7,нет,нет,-,,,,,,5469802b-87ce-40f2-8beb-436f01222300,,,37.5268875,55.9415491,83,POINT (37.5268875 55.9415491)
"127204, Москва г, аллея. Долгопрудная, д. 14, корп. 3",5ad0131f-02f7-4aad-9464-d5d70ad48426,b9daa874-2615-4041-9f23-004bb35f2331,45363000,УО,1197746062084.0,771501001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ИНФОРМАТ""",Многоквартирный,Исправный,31274.9,18061.2,-,-,-,,,,,77:02:0025001:1271,6506003a-61bb-46c8-b59a-28aaf4151149,,,37.5248934,55.94163589999999,83,POINT (37.5248934 55.94163589999999)
"127204, Москва г, аллея. Долгопрудная, д. 14, корп. 4",72a867e6-d6bf-4c2f-aa52-e03124ec4dc8,3ed3dbfd-87a1-4e59-b605-c98f1bfd6fbb,45363000,УО,5147746334137.0,771501001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СЕВЕРНЫЙ""",Многоквартирный,Исправный,21882.5,20139.1,нет,нет,-,,,,,,26186c15-060a-4d32-b90e-69bd16ff5c82,,,37.5268875,55.9415491,83,POINT (37.5268875 55.9415491)
