Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"125057, Москва г, пер. Малый Песчаный, д. 2",ea1c257f-2753-49a2-8d7a-0aa9d5e19132,ea1c257f-2753-49a2-8d7a-0aa9d5e19132,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,11133.6,819.2,-,-,-,,,,,77:09:0005001:1098,18ad14df-d67e-4b6a-b2fe-029556276a8a,,,37.5069594,55.8025606,60,POINT (37.5069594 55.8025606)
"125057, Москва г, пер. Малый Песчаный, д. 4",f22639d9-206f-4447-aa9f-800cc5ad97a6,f8662fce-2dc1-4485-b440-590ed981db53,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,4369.0,4112.6,-,-,-,,,,,77:09:0005001:1099,afc5c3f1-6ef5-4b45-9dc6-8243803456ae,,,37.50597399999999,55.804139,60,POINT (37.50597399999999 55.804139)
"125057, Москва г, пер. Малый Песчаный, д. 6",5acd8d12-9449-462f-a306-c61ba329743d,a3273732-56c1-4a38-9216-7e21c63faea1,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,3169.7,3169.7,-,-,-,,,,,77:09:0005001:1101,c0202657-d7a7-4a1b-bfd4-88a397c16f2c,,,37.50557879999999,55.8045856,60,POINT (37.50557879999999 55.8045856)
"125057, Москва г, пер. Малый Песчаный, д. 8",1a598298-aaa9-4bd4-bcc4-ee4136e01729,95aba556-a7b4-41a4-b355-83b31cedd8fe,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,3169.4,3169.4,-,-,-,,,,,77:09:0005001:1103,8336370f-f283-4de9-913e-545e7b1b7c5b,,,37.5053863,55.8049593,60,POINT (37.5053863 55.8049593)
"125057, Москва г, пер. Песчаный, д. 2/11",a578155b-31e9-421c-a554-d6203915be0b,a578155b-31e9-421c-a554-d6203915be0b,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,5370.8,5320.2,-,-,-,,,,,77:09:0005002:1032,378c29f0-c3a7-4e3d-9832-7b0f15d85a79,,,37.509369,55.80124199999999,60,POINT (37.509369 55.80124199999999)
"125057, Москва г, пер. Чапаевский, д. 8",77469c14-c8f1-4ccd-a399-d764457689fe,77469c14-c8f1-4ccd-a399-d764457689fe,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,6780.8,5121.5,-,-,-,,,,,77:09:0005003:1026,158cb20c-5f97-49c8-b320-5934992f9013,,,37.5191125,55.8007724,60,POINT (37.5191125 55.8007724)
"125057, Москва г, пр-кт. Ленинградский, д. 65",8bf109b4-501f-4554-944a-740b59f23a29,8bf109b4-501f-4554-944a-740b59f23a29,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,4966.7,3248,нет,нет,-,,,,,77:09:0005003:1023,b061117a-1208-4ecf-baa8-6f0c04aa0827,,,37.5192166,55.8031427,60,POINT (37.5192166 55.8031427)
"125057, Москва г, пр-кт. Ленинградский, д. 67, корп. 1",d2b9ad51-8f87-44f5-8dfb-d3c4e25b8b4e,d2b9ad51-8f87-44f5-8dfb-d3c4e25b8b4e,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,3204.3,2372.4,нет,нет,-,,,,,77:09:0005003:1024,1e964a06-9969-4746-87b8-da3cae798cbb,,,37.5185249,55.803019,60,POINT (37.5185249 55.803019)
"125057, Москва г, пр-кт. Ленинградский, д. 69, строение 1",23220912-1bdd-47bd-924b-398259ea8ea2,23220912-1bdd-47bd-924b-398259ea8ea2,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,15174.7,12906.6,-,-,-,,,,,77:09:0005002:1062,fdf2afb1-296c-4dc5-8590-a1757fe45313,,,37.5176966,55.8028583,60,POINT (37.5176966 55.8028583)
"125057, Москва г, пр-кт. Ленинградский, д. 69, строение 2",7d655c33-6fa2-4e21-b554-3af0ab712e95,7d655c33-6fa2-4e21-b554-3af0ab712e95,45345000,УО,1147746015042.0,774301001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛ""",Многоквартирный,Исправный,1253.0,1076.4,нет,нет,-,,,,,77:09:0005002:1063,d0d5b5d5-b0a2-4353-bed9-dbaacd7e78e5,,,37.51690730000001,55.8034455,60,POINT (37.51690730000001 55.8034455)
