Адрес ОЖФ,Идентификационный код адреса дома в ГИС ЖКХ,Глобальный уникальный идентификатор дома по ФИАС,Код ОКТМО,Способ управления,"ОГРН организации, осуществляющей управление домом","КПП организации, осуществляющей управление домом","Наименование организации, осуществляющей управление домом",Тип дома,Состояние,Общая площадь дома,Жилая площадь в доме,Дом находится в собственности субъекта Российской Федерации и в полном объеме используется в качестве общежития,Дом находится в муниципальной собственности и в полном объеме используется в качестве общежития,Тип общежития,Тип помещения (блока),Дата сноса объекта,Номер помещения (блока),Номер комнаты,Кадастровый номер,Глобальный уникальный идентификатор дома,Глобальный уникальный идентификатор помещения,Глобальный уникальный идентификатор комнаты,lon,lat,area_num,geometry
"107014, Москва г, пер. 2-й Полевой, д. 2",727641e6-449f-4213-a1e8-8c18dea3b120,727641e6-449f-4213-a1e8-8c18dea3b120,45315000,УО,1157746588273.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛЬНИКИ""",Многоквартирный,Исправный,15613.8,3781.3,-,-,-,,,,,77:03:0003005:1025,221a7f64-e346-4867-a2c2-2fb55ba893b1,,,37.6812767,55.791875,13,POINT (37.6812767 55.791875)
"107014, Москва г, пер. 2-й Полевой, д. 2, корп. 3",c98e47f3-a5cd-4868-b7d3-d5d78d92e73f,c98e47f3-a5cd-4868-b7d3-d5d78d92e73f,45315000,ТСЖ,1027739491670.0,771801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ ""СОКОЛЬНИКИ""",Многоквартирный,Исправный,8580.5,8021.3,-,-,-,,,,,77:03:0003005:1027,d84a3dfc-5a82-4948-87ee-b3fbecc178e0,,,37.6827512,55.7921036,13,POINT (37.6827512 55.7921036)
"107014, Москва г, пер. 2-й Полевой, д. 4",f26ee594-918c-434f-8abf-dcd22b5f18ca,f26ee594-918c-434f-8abf-dcd22b5f18ca,45315000,УО,1167746299820.0,773001001.0,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ ВЫСОТНЫХ АДМИНИСТРАТИВНЫХ И ЖИЛЫХ ДОМОВ,Многоквартирный,Исправный,15073.6,13698.1,-,-,-,,,,,77:03:0003005:1014,38d4a36b-e957-4485-ac61-efd87177c5c9,,,37.6827029,55.791633,13,POINT (37.6827029 55.791633)
"107014, Москва г, пер. Полевой, д. 4",6265da03-cd58-42a8-8940-2f5a576cd371,d549d062-d11e-4be3-bd46-e24233a4a5f5,45317000,Не выбран,,,,Жилой,,,,-,-,-,,,,,нет,c849d1e9-2240-422e-a831-d85910a68042,,,37.6797029,55.8011131,13,POINT (37.6797029 55.8011131)
"107014, Москва г, пл. Сокольническая, д. 9",dbbbaef5-0661-4634-b01a-147e944583c9,dbbbaef5-0661-4634-b01a-147e944583c9,45315000,УО,1157746588273.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛЬНИКИ""",Многоквартирный,Исправный,39133.5,22638.3,-,-,-,,,,,77:03:0003005:1048,ec22f856-ecb3-49a6-88c9-c239981ef52d,,,37.68036790000001,55.7911572,13,POINT (37.68036790000001 55.7911572)
"107014, Москва г, проезд. Попов, д. 1, корп. 1",e9af729c-ef28-4273-9eeb-5570a3902963,e9af729c-ef28-4273-9eeb-5570a3902963,45315000,ТСЖ,1207700152868.0,771801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""ЖК НА ЯУЗЕ""",Многоквартирный,Исправный,25306.8,15848.5,-,-,-,,,,,77:03:0003007:1038,f4b5fa3b-2f61-46ae-99d5-0ecf02e24222,,,37.69633839999999,55.784458,13,POINT (37.69633839999999 55.784458)
"107014, Москва г, проезд. Попов, д. 1, корп. 2",6feda402-3cdc-4aa9-93fe-9b4142d303da,6feda402-3cdc-4aa9-93fe-9b4142d303da,45315000,ТСЖ,1207700152868.0,771801001.0,"ТОВАРИЩЕСТВО СОБСТВЕННИКОВ НЕДВИЖИМОСТИ ""ЖК НА ЯУЗЕ""",Многоквартирный,Исправный,9402.9,8640.5,-,-,-,,,,,77:03:0003007:1039,a2acaae1-037a-4c75-9a25-5d006bc8c962,,,37.6963419,55.7840694,13,POINT (37.6963419 55.7840694)
"107014, Москва г, проезд. Попов, д. 4",d796abd1-a21f-4394-827c-9ff12a5b608a,36abce4d-1f55-4789-afd2-99325b2780cc,45315000,УО,1057746700274.0,772901001.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИСЕРВИС""",Многоквартирный,Исправный,76798.6,35215.26,нет,нет,-,,,,,77:03:0003007:1116,8a6cf95f-d8f4-4ed3-b4b0-8945fd400ccb,,,37.6972844,55.785763,13,POINT (37.6972844 55.785763)
"107014, Москва г, просек. Поперечный, д. 17, строение 19",2022d584-fbf6-4f8e-ba15-5d69d1fb91ed,2022d584-fbf6-4f8e-ba15-5d69d1fb91ed,45315000,Не выбран,,,,Многоквартирный,,,,-,-,-,,,,,,9c7d7071-4ccd-4cc7-a595-0af24064960d,,,37.667433,55.807005,13,POINT (37.667433 55.807005)
"107014, Москва г, ул. 1-я Боевская, д. 2/12, строение 3",58111ed2-0712-44d9-ba64-bf09a7d9c84d,58111ed2-0712-44d9-ba64-bf09a7d9c84d,45315000,УО,1157746588273.0,771801001.0,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛЬНИКИ""",Многоквартирный,Исправный,3502.0,1634.4,-,-,-,,,,,77:03:0003008:1008,de638241-2cdc-42fe-9f2a-800d0b0b9a65,,,37.69148,55.792415,13,POINT (37.69148 55.792415)
